Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Pollinate,B,1,1,29.3,312,2025-07-20,DARW,OPEN,18.17,18.17,18.17,7.22,0.75,Quick Shadow,1,10.1
"",B,2,1,29.6,312,2025-07-09,DARW,2/3,18.21,17.95,17.95,,3.75,LUKA MAGIC,2,61.5
"",B,5,8,29.6,312,2025-07-06,DARW,OPEN,18.62,17.98,17.98,,9.25,Lucy's Chance,5,20.4
"",B,1,4,29.3,312,2025-06-25,DARW,3/4,18.15,18.15,17.69,7.21,0.125,Pursuit,1,11.4
"",B,2,7,29.4,312,2025-06-22,DARW,4,18.5,18.26,18.08,,3.5,TERRITORY ROSE,2,22.8
2. Quick Shadow,D,2,2,31.3,312,2025-07-20,DARW,OPEN,18.21,18.17,18.17,,0.75,Pollinate,2,1.5
"",D,2,5,31.6,312,2025-07-13,DARW,1/2,18.12,17.77,17.77,,5.0,LUKA MAGIC,2,8.8
"",D,3,7,31.6,312,2025-07-06,DARW,OPEN,18.45,17.98,17.98,,6.5,Lucy's Chance,3,2.2
"",D,2,4,31.7,312,2025-06-22,DARW,OPEN,18.27,18.08,18.08,,2.5,Lucy's Chance,2,1.6
"",D,3,7,31.7,312,2025-06-15,DARW,1/2,18.41,18.21,18.21,,2.75,It's A Zoo,3,5.0
4. Nora's Boy,D,2,5,31.7,312,2025-07-23,DARW,2/3,18.09,18.07,18.07,,0.25,Hyper Viper,2,2.1
"",D,1,5,31.5,383,2025-07-20,DARW,OPEN,22.1,22.1,22.09,10.95,1.0,Aston Mystic,1,11.6
"",D,4,5,31.9,537,2025-07-13,DARW,FFA,31.73,31.25,31.25,,6.75,Zipping Kimble,4,26.0
"",D,3,1,31.9,383,2025-07-09,DARW,2/3/4,22.35,22.1,22.1,,3.5,Blue Art,3,10.2
"",D,8,3,31.7,537,2025-07-06,DARW,FFA,31.97,31.16,31.16,,11.5,BEAUTIFUL STORY,8,31.7
5. Topology Man,D,1,2,32.1,312,2025-07-20,DARW,4,18.21,18.21,18.17,7.19,1.5,HAPPY INTENTION,1,14.5
"",D,2,1,32.1,312,2025-07-13,DARW,4/5,18.38,18.29,17.77,,1.25,Queen's Gamble,2,6.9
"",D,1,4,32.5,312,2025-07-06,DARW,5/M,18.4,18.4,17.98,7.21,1.0,Black And Classy,1,6.2
"",D,3,5,32.6,312,2025-06-22,DARW,5/M,18.59,18.1,18.08,,7.0,Enigma Green,3,6.2
"",D,4,7,32.4,312,2025-06-15,DARW,5/M,18.71,18.47,18.21,,3.5,Zombie Boss,4,6.6
7. NOT BAD YOURSELF,B,5,2,26.4,383,2025-06-08,DARW,FFA,22.68,22.01,21.82,,9.5,Bull's Chance,5,5.8
"",B,5,4,26.3,537,2025-06-01,DARW,FFA,32.03,31.49,31.49,,7.75,LUKA MAGIC,5,9.5
"",B,2,1,26.5,312,2025-05-25,DARW,FFA,18.15,18.02,18.02,,1.75,LUKA MAGIC,2,4.2
"",B,2,2,26.7,312,2025-05-14,DARW,OPEN,18.0,17.8,17.8,,2.75,BERNARDO'S BABY,2,2.7
"",B,3,8,26.4,383,2025-05-11,DARW,BT8,22.71,22.49,22.28,,3.0,Bart's Chance,3,10.7
8. Black Iron,D,3,5,31.4,312,2025-07-20,DARW,OPEN,18.3,18.17,18.17,,1.75,Pollinate,3,8.2
"",D,3,7,31.6,312,2025-07-13,DARW,3/4,18.27,18.21,17.77,,0.75,SO NAIVE,3,7.8
"",D,6,3,31.5,383,2025-07-06,DARW,4/5,22.86,22.26,22.17,,8.5,Kelmar Soxy,6,12.3
"",D,1,2,31.3,383,2025-06-29,DARW,5,22.4,22.4,21.82,11.1,0.25,Canya Keep Cool,1,7.3
"",D,2,3,31.0,383,2025-06-22,DARW,5,22.53,22.48,22.2,,0.75,Weeona Blaze,2,13.5
