Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. ASTON CASTLE,D,4,8,33.4,460,2025-07-25,GEE,Grade 5,26.234,25.873,25.693,6.73725,5.5,PAW LEON,4,6.0
"",D,4,7,33.2,450,2025-07-16,BAL,Grade 5,25.866,25.698,25.226,,2.75,Mr. Kia Ora,4,10.0
"",D,2,6,33.1,460,2025-07-11,GEE,Grade 5,25.919,25.787,25.588,6.65375,2.0,GO GO EVIE,2,8.0
"",D,4,7,33.3,485,2025-07-07,HOR,Grade 5,27.739,27.498,27.221,8.0185,3.75,DELICIOUS,4,10.0
"",D,1,1,33.7,450,2025-07-01,BAL,Grade 5,25.681,25.681,25.647,6.73,5.25,Destini Lorenzo,1,2.2
2. INGA BUDDY,D,3,4,30.4,460,2025-07-22,GEE,Grade 5,26.256,25.994,25.852,6.765,4.0,OFF THE BEER,3,3.0
"",D,2,6,30.2,425,2025-07-19,BEN,Grade 5,24.393,24.251,24.132,,2.25,MISS MELEE,2,3.0
"",D,7,7,30.0,390,2025-07-10,WAR,Mixed 3/4,22.82,22.008,22.008,,12.25,MISCHIEF MATE,7,14.0
"",D,3,2,30.3,390,2025-07-03,WAR,Mixed 4/5,22.382,21.88,21.88,,7.5,LIGHTNING RANGE,3,10.0
"",D,1,8,30.3,390,2025-06-26,WAR,Grade 5,22.09,22.09,21.771,8.63,5.25,Bert Deeds,1,4.8
3. BIG DUKE,D,2,8,34.8,300,2025-07-25,HEA,Grade 5 T3,17.22,17.155,16.8397,,1.0,ONE KNEE NONI,2,6.5
"",D,2,3,34.6,525,2025-07-16,MEA,Grade 5 T3,30.628,30.422,29.974,,3.25,ASTON HOOKED,2,3.8
"",D,3,4,35.1,350,2025-07-11,HEA,Grade 5 T3,19.608,19.526,19.526,6.58,1.25,REDGUM WARS,3,15.0
"",D,4,8,35.0,400,2025-07-03,WAR,Grade 5 Heat,23.357,23.067,23.036,8.855,4.5,ATHENIAN GODDESS,4,8.0
"",D,5,8,34.6,460,2025-06-13,WAR,Grade 5,26.587,26.014,25.695,,8.75,PAW QUANDA,5,8.0
4. MANDOLIN STORM,B,3,8,29.1,400,2025-07-22,GEE,Grade 5,22.922,22.633,22.604,8.705,4.5,GO ME GO,3,4.2
"",B,1,4,28.9,400,2025-07-15,GEE,Grade 5,22.679,22.679,22.679,8.605,2.0,MADDY GIBLET,1,3.0
"",B,7,7,29.3,525,2025-07-09,MEA,Grade 5,31.593,30.68,30.145,5.28325,13.75,DOONGALLA FLASH,7,12.0
"",B,4,5,29.2,425,2025-07-02,BEN,Grade 5,24.717,24.436,24.131,6.83625,4.25,PERFECT LIAM,4,1.9
"",B,1,3,28.4,400,2025-06-24,GEE,Grade 5,22.615,22.615,22.605,8.56,8.0,LITTLE FAST BULL,1,3.6
6. NEED YOU NOW,D,2,3,33.9,450,2025-07-21,BAL,Grade 5 T3,25.777,25.647,25.61,6.59,2.0,If He Could,2,16.0
"",D,4,3,34.2,425,2025-07-16,BEN,Grade 5 T3,24.712,24.294,23.987,,6.25,CHERRY TIME,4,6.5
"",D,1,6,34.3,460,2025-07-10,WAR,Grade 5 T3,26.506,26.506,26.291,6.6,3.0,Excavator Ticket,1,3.0
"",D,2,3,33.9,400,2025-07-01,GEE,Grade 5,23.048,23.041,22.644,8.525,0.25,GOT IMMUNITY,2,3.4
"",D,3,2,34.0,350,2025-06-25,HEA,Grade 5,19.837,19.491,19.491,6.695,5.25,Cash Now,3,5.5
7. ROSCOE BALE,D,6,8,30.0,450,2025-07-21,SHE,Grade 5,25.748,25.431,24.844,6.94925,4.75,FIGURE IT OUT,6,7.5
"",D,2,8,30.9,390,2025-07-09,BAL,Grade 5 Heat,22.603,22.125,22.065,,7.25,Wario,2,4.8
"",D,4,1,30.8,400,2025-07-04,GEE,Mixed 4/5,22.635,22.491,22.491,,2.25,GAS LANTERN,4,7.5
"",D,6,4,30.7,425,2025-06-27,BEN,Grade 5,24.499,24.299,23.682,,3.0,SPEEDY KHE SANH,6,3.6
"",D,3,1,30.4,425,2025-06-20,BEN,Grade 5,24.28,24.036,23.851,6.7125,3.75,PAW RIVAL,3,4.8
8. INSANE,D,5,6,31.7,450,2025-07-17,WAR,Grade 5,26.028,25.506,25.151,,8.0,DELICIOUS,5,6.0
"",D,6,4,31.5,450,2025-07-10,WAR,Grade 5,26.143,25.844,25.354,,4.5,AMRON BOBBY,6,4.6
"",D,1,1,31.5,450,2025-06-30,BAL,Grade 5 T3,25.641,25.641,25.557,,3.25,PRETTY PANAMA,1,4.6
"",D,3,5,31.5,400,2025-06-17,GEE,Grade 5,23.051,22.604,22.526,8.525,6.75,MR. PERSUADER,3,3.6
"",D,6,8,31.5,450,2025-06-12,WAR,Restricted Win Heat,25.957,25.524,24.946,6.695,6.5,WINNING STEPS,6,8.0
