Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Brunswick Flyer,D,7,5,36.4,457,2025-07-26,QOT,5,26.22,25.68,25.6,4.66,7.75,Professor Starr,8877,15.0
"",D,3,8,35.3,550,2025-05-24,QOT,5,30.72,30.36,30.36,9.27,5.25,Mepunga Smokey,4443,11.0
"",D,4,6,35.4,600,2025-05-19,QTT,5,35.07,34.79,34.79,9.76,4.0,Zipping Dalila,7754,21.0
"",D,4,6,35.8,600,2025-05-12,QTT,5,34.56,34.06,34.06,9.66,7.0,Backcreek Benny,5444,5.5
"",D,3,7,35.5,600,2025-05-01,APTH,5,35.26,34.73,34.73,10.35,7.5,Seriously,753,3.2
2. Kisses For Me,B,2,7,27.1,350,2025-07-28,QST,5,19.3,19.14,19.08,4.01,2.25,Bush Bouquet,3222,1.7
"",B,2,5,27.1,350,2025-07-25,QST,5,19.2,19.13,18.79,3.97,1.0,Ruby Slipper,222,1.8
"",B,1,8,27.2,350,2025-07-21,QST,6,19.41,19.41,18.99,4.01,1.25,My Cujo,2111,1.55
"",B,4,2,26.6,520,2025-06-28,QTT,M/6,30.34,29.78,29.76,5.23,8.0,Dixie Lad,5334,5.0
"",B,5,1,27.2,520,2025-06-02,QTT,6,30.76,30.08,29.76,5.27,9.75,Goldstar Dozer,5655,2.6
3. Maximus Malt,D,5,1,30.8,390,2025-08-01,QOT,5,22.42,21.87,21.49,6.08,7.75,Hold The Gavel,355,4.6
"",D,1,6,30.9,366,2025-07-27,CAPA,5,20.23,20.23,19.72,,1.5,Cunning Kick,221,3.9
"",D,1,2,31.1,390,2025-07-22,QOT,6,22.04,22.04,21.59,6.05,1.5,Stitch Rules,221,4.4
"",D,3,1,30.9,390,2025-07-15,QOT,6,21.98,21.77,21.77,6.05,3.0,Strut,233,8.5
"",D,2,5,31.0,390,2025-07-08,QOT,6,22.16,22.07,22.07,6.08,1.25,She Lies Easy,112,5.0
4. Becky Dutton,B,8,4,29.3,520,2025-07-31,QTT,5,31.13,29.75,29.35,5.25,19.75,Bluey Is Boujee,7778,13.0
"",B,5,4,29.4,366,2025-07-27,CAPA,5,20.3,19.97,19.72,,4.75,Zipping Sweeny,635,41.0
"",B,2,3,29.4,366,2025-07-20,CAPA,5,19.79,19.7,19.43,,1.25,Masked Singer,112,6.0
"",B,4,3,29.1,520,2025-06-30,QTT,5,30.61,30.38,30.2,5.06,3.25,Bad And Bertha,1114,4.6
"",B,6,4,28.9,520,2025-06-23,QTT,4/5,30.88,29.9,29.74,,14.0,MISS HAZEL,2556,3.3
5. Oxley Flyer,B,5,9,26.6,520,2025-08-07,QTT,5,30.24,29.77,28.99,5.17,6.5,Loving Angel,3555,34.0
