Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Darryl's Choice,B,3,2,27.7,340,2025-07-10,HOBT,INV,19.55,19.36,19.3,,2.5,Fossil Bluff,33,2.1
"",B,1,2,27.6,278,2025-07-07,LCTN,INV,16.14,16.14,16.14,5.07,1.0,Fossil Bluff,1,2.25
"",B,1,2,27.5,340,2025-07-03,HOBT,FTAMA,19.53,19.53,19.52,5.17,0.75,Hyper Force,1,4.4
"",B,4,5,27.5,340,2025-06-26,HOBT,INV,19.69,19.25,19.25,5.19,6.25,Gravitational,4,4.6
"",B,2,3,27.7,340,2025-06-19,HOBT,FFA,19.41,19.4,19.4,5.12,0.125,Gravitational,2,5.0
2. Roxy Rocker,B,8,5,31.1,278,2025-07-14,LCTN,FTAMA,16.61,16.07,16.07,5.15,7.75,April Cruiser,28,4.0
"",B,1,4,31.6,340,2025-07-08,HOBT,MI4/5MA,19.65,19.65,19.39,5.18,0.75,Gas Lock,1,2.15
"",B,5,7,31.1,340,2025-07-03,HOBT,FTAMA,19.87,19.53,19.52,5.24,4.75,Darryl's Choice,5,6.0
"",B,1,5,30.8,278,2025-06-23,LCTN,4,16.23,16.23,16.23,5.2,1.5,Wynburn Sweetie,1,5.5
"",B,1,6,31.1,340,2025-06-12,HOBT,INV,19.56,19.56,19.4,5.17,0.125,BIG TEXAN,1,3.4
3. Peterina,B,3,6,29.2,278,2025-07-14,LCTN,FTAMA,16.48,16.07,16.07,5.2,5.75,April Cruiser,3,11.0
"",B,7,3,29.3,278,2025-07-07,LCTN,INV,16.81,16.14,16.14,5.19,9.5,Darryl's Choice,27,9.0
"",B,5,6,29.5,278,2025-07-01,LCTN,FFA,16.36,15.96,15.91,5.04,5.75,Willow Can,35,11.0
"",B,8,6,29.3,340,2025-06-26,HOBT,INV,20.08,19.25,19.25,5.27,11.75,Gravitational,8,21.0
"",B,2,1,28.8,278,2025-06-09,LCTN,FFA,16.23,16.2,16.03,5.1,0.5,MAKE IT POP,2,8.0
4. Love Is Gone,D,5,1,29.2,340,2025-07-10,HOBT,INV,19.63,19.36,19.3,,3.75,Fossil Bluff,5,5.0
"",D,4,4,29.1,278,2025-07-07,LCTN,INV,16.43,16.14,16.14,5.17,4.25,Darryl's Choice,4,6.0
"",D,4,1,29.3,340,2025-06-19,HOBT,FFA,19.56,19.4,19.4,5.21,2.25,Gravitational,4,5.0
"",D,2,1,29.5,515,2025-06-16,LCTN,3/4,30.46,30.45,30.3,5.17,0.125,Secrets Revealed,52,5.5
"",D,4,3,29.5,340,2025-06-12,HOBT,INV,19.65,19.56,19.4,5.25,1.25,Roxy Rocker,4,6.0
5. Paco,D,5,2,33.0,278,2025-07-14,LCTN,FTAMA,16.56,16.07,16.07,5.1,7.0,April Cruiser,25,7.5
"",D,6,1,33.0,278,2025-07-07,LCTN,INV,16.78,16.14,16.14,5.22,9.25,Darryl's Choice,6,5.5
"",D,1,4,32.8,278,2025-07-01,LCTN,MI4/5MA,16.09,16.09,15.91,5.03,3.75,It's A Scotch,1,1.55
"",D,8,6,33.1,340,2025-06-24,HOBT,5,19.9,19.54,19.3,5.15,5.25,Simply Danger,8,16.0
"",D,4,6,32.8,278,2025-06-09,LCTN,FFA,16.51,16.2,16.03,5.18,4.25,MAKE IT POP,4,31.0
6. Lady Juliette,B,6,7,28.3,515,2025-07-14,LCTN,INV,30.21,29.76,29.38,5.05,6.25,Seattle,26,16.0
"",B,6,6,28.3,515,2025-06-23,LCTN,FFA,30.57,29.7,29.61,5.22,12.25,Stella Shadows,46,13.0
"",B,1,6,28.1,278,2025-06-10,LCTN,INV,16.01,16.01,15.91,5.02,1.5,CHALUPA BATMAN,1,1.75
"",B,1,1,28.7,278,2025-05-26,LCTN,FFA,16.11,16.11,16.08,5.06,2.0,BIG TEXAN,1,4.8
"",B,4,8,28.5,278,2025-05-19,LCTN,INV,16.33,15.97,15.97,5.06,5.25,MAKE IT POP,4,6.5
7. Fossil Bluff,D,7,8,32.4,278,2025-07-14,LCTN,FTAMA,16.6,16.07,16.07,5.18,7.5,April Cruiser,7,7.0
"",D,1,5,32.2,340,2025-07-10,HOBT,INV,19.36,19.36,19.3,,0.75,Hyper Force,1,21.0
"",D,2,7,32.4,278,2025-07-07,LCTN,INV,16.22,16.14,16.14,5.14,1.0,Darryl's Choice,2,19.0
"",D,4,8,32.1,340,2025-07-03,HOBT,FTAMA,19.75,19.53,19.52,5.34,3.0,Darryl's Choice,4,41.0
"",D,7,7,32.3,340,2025-06-26,HOBT,INV,19.96,19.25,19.25,5.24,10.0,Gravitational,27,51.0
8. BIG TEXAN,D,6,8,30.2,340,2025-07-10,HOBT,INV,19.65,19.36,19.3,,4.25,Fossil Bluff,6,6.5
"",D,5,5,30.0,278,2025-07-07,LCTN,INV,16.51,16.14,16.14,5.14,5.25,Darryl's Choice,5,5.5
"",D,6,4,30.4,340,2025-06-26,HOBT,INV,19.86,19.25,19.25,5.25,8.75,Gravitational,6,6.5
"",D,3,4,30.5,340,2025-06-19,HOBT,FFA,19.5,19.4,19.4,5.13,1.5,Gravitational,3,7.5
"",D,2,7,30.6,340,2025-06-12,HOBT,INV,19.57,19.56,19.4,5.13,0.125,Roxy Rocker,2,5.0
