Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. RED EMPEROR,D,3,7,33.2,488,2025-08-07,MAND,5/6,28.34,27.73,27.73,5.91,8.75,Incredible King,4343,11.0
"",D,2,1,33.0,488,2025-07-31,MAND,6,27.97,27.9,27.71,5.82,1.0,MAXIMUM HUGHES,1112,3.5
"",D,5,9,32.8,400,2025-07-17,MAND,6,23.08,22.69,22.69,6.45,5.5,Ginny Riggs,355,3.8
"",D,4,2,32.9,400,2025-07-10,MAND,6,22.99,22.8,22.8,6.5,2.5,Kaadadjan,544,4.8
"",D,8,10,33.2,520,2025-06-11,CANN,5/6,30.82,30.06,29.87,5.68,10.75,West On Gnocchi,78888,19.0
2. PONTICELLI,B,6,3,30.2,488,2025-08-13,MAND,5/6,28.82,28.47,28.47,,5.0,Sunset Sapphire,8886,11.0
"",B,5,1,30.0,400,2025-08-07,MAND,5/6,22.92,22.46,22.46,6.5,6.5,Impress Hawkins,555,8.0
"",B,3,2,29.9,601,2025-07-09,CANN,4/5,35.44,35.25,35.25,9.97,2.5,Ballistic Bliss,223333,4.0
"",B,4,7,29.7,520,2025-07-02,CANN,5/6,30.51,29.95,29.95,5.63,8.0,Sunset Owlet,46654,18.0
"",B,7,4,29.6,488,2025-06-19,MAND,5/6,28.36,27.68,27.68,6.09,9.75,Girls Like You,7757,5.5
3. Bluey Hook,B,8,1,23.9,488,2025-08-15,MAND,5,31.01,27.68,27.35,5.89,47.5,Another James,5888,10.0
"",B,2,8,23.5,488,2025-08-07,MAND,5/6,28.25,27.73,27.73,5.88,7.5,Incredible King,3432,17.0
"",B,7,6,23.0,400,2025-07-10,MAND,6,23.18,22.8,22.8,6.48,5.25,Kaadadjan,357,8.0
"",B,2,1,23.1,400,2025-06-12,MAND,6,23.04,22.5,22.5,6.48,7.75,Yunderup Sun,422,3.5
"",B,5,7,22.6,488,2025-05-29,MAND,6,28.47,27.93,27.93,5.87,7.75,King Kuna,3455,4.8
4. Tina Said So,D,6,8,31.5,381,2025-08-14,CANN,6,22.69,22.0,21.92,6.86,9.75,Wild Mood,5566,23.0
"",D,3,4,31.7,300,2025-08-07,MAND,6,17.57,17.41,16.99,6.86,2.25,Aussie Bluff,63,71.0
"",D,4,5,31.7,300,2025-07-18,MAND,6,18.25,17.69,17.44,7.23,8.0,Predator Gundi,74,23.0
"",D,6,2,32.1,520,2025-06-25,CANN,5/6,31.41,30.02,29.88,5.64,19.75,West On Gnocchi,36626,71.0
"",D,7,9,31.2,520,2025-06-18,CANN,5/6,30.92,30.1,29.9,5.72,11.75,White Cliffs,58677,101.0
5. SIN CITY MARV,D,8,6,29.9,509,2025-08-11,NOR,6,30.61,29.68,29.68,6.17,13.25,WALKING EASY,78888,10.0
"",D,7,3,29.8,400,2025-07-31,MAND,6,23.37,22.97,22.69,6.47,5.75,Piggy Parkinson,377,2.6
"",D,2,2,30.0,400,2025-07-24,MAND,6,22.98,22.8,22.8,6.5,2.5,Durango Monelli,432,3.0
"",D,6,2,29.8,488,2025-07-17,MAND,5/6,28.41,27.89,27.89,6.04,7.5,COME FIND ME,7666,8.0
"",D,6,6,29.8,488,2025-07-10,MAND,5,28.18,27.86,27.86,5.87,4.5,Sunset Owlet,3666,23.0
6. New Hope,D,8,7,32.4,400,2025-08-12,MAND,5/6,23.41,22.72,22.48,6.55,9.75,Ammunition,878,71.0
"",D,8,2,32.3,300,2025-07-31,MAND,6,17.85,17.31,17.04,6.95,7.75,Star Zitto,68,6.0
"",D,7,5,32.4,488,2025-07-17,MAND,5/6,28.68,27.89,27.89,6.02,11.25,COME FIND ME,5777,14.0
"",D,8,7,32.6,488,2025-07-10,MAND,5,28.38,27.86,27.86,6.14,7.5,Sunset Owlet,8888,23.0
"",D,6,7,33.2,509,2025-06-30,NOR,5,30.27,29.76,29.68,5.97,7.25,Don't Tell Dasha,66666,12.0
7. Maidstone Dip,D,6,8,34.8,488,2025-08-12,MAND,4/5,28.21,27.66,27.66,6.01,7.75,Girls Like You,7676,41.0
