Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. VERSNELLEN,D,3,8,30.2,525,2025-06-21,MEA,Grade 5,30.303,30.014,30.014,5.1,4.5,PAW ZURI,3,14.0
"",D,4,1,30.2,515,2025-06-12,SAN,Grade 4,29.859,29.563,29.432,,4.5,PAW PHELPS,4,2.8
"",D,2,3,30.1,515,2025-06-05,SAN,Grade 4,29.596,29.522,29.344,,1.25,PEAKY JOE,2,4.6
"",D,4,7,30.1,525,2025-05-31,MEA,Grade 5,30.332,29.892,29.892,5.1775,6.75,INTREPID BALE,4,8.5
"",D,3,4,30.2,515,2025-05-23,SAN,Mixed 4/5,29.53,29.35,29.35,,2.75,PAW VINCE,3,6.0
2. EXTRADITED,D,6,3,28.3,525,2025-06-21,MEA,Mixed 4/5,30.693,30.133,30.014,5.12675,8.5,XENI BALE,6,3.4
"",D,3,3,28.0,460,2025-06-13,GEE,Group Listed,25.9,25.404,25.404,6.65125,7.5,Matt Loch,3,16.0
"",D,1,1,27.8,500,2025-06-06,BEN,S/E Heat,28.183,28.183,28.183,,0.5,PEPPER RUSH,1,2.6
"",D,8,2,27.6,525,2025-05-31,MEA,Grade 4,30.496,29.911,29.892,5.3225,8.75,NEO DEVERE,8,3.8
"",D,6,2,27.8,525,2025-05-24,MEA,Free For All,30.748,30.125,30.1,,9.5,EXCAVATION,6,6.0
3. PRISON BREAK,D,2,7,33.8,525,2025-06-21,MEA,Grade 5,30.25,30.158,30.014,5.1825,1.5,COME TO PARTY,2,3.6
"",D,2,8,33.1,525,2025-06-14,MEA,Grade 5,30.231,30.121,29.917,5.10675,1.75,Delicate,2,12.0
"",D,3,7,33.0,525,2025-06-07,MEA,Grade 5,30.312,29.925,29.914,,6.0,SHE'S WIRED,3,3.2
"",D,1,1,33.3,525,2025-05-28,MEA,Mixed 4/5,30.448,30.448,30.028,5.1875,5.5,ZIPPING MINAJ,1,5.5
"",D,2,7,33.0,525,2025-05-21,MEA,Mixed 4/5,30.34,30.086,29.968,5.2225,4.0,PAW TORONTO,2,8.5
4. KNURLING,D,4,7,34.5,525,2025-06-21,MEA,Mixed 4/5,30.523,30.133,30.014,5.181,6.0,XENI BALE,4,8.5
"",D,3,2,34.6,525,2025-06-14,MEA,Grade 5 Final,30.213,29.917,29.917,5.24425,4.5,Spring Regency,3,8.0
"",D,1,8,34.4,525,2025-06-04,MEA,Grade 5 Heat,30.256,30.256,29.847,5.177,2.0,Wynburn Solstice,1,10.0
"",D,6,3,34.4,525,2025-05-31,MEA,Mixed 4/5,30.506,29.933,29.892,,8.75,PAW WHISTLER,6,16.0
"",D,8,2,34.2,450,2025-05-25,BAL,Mixed 4/5,26.026,25.475,24.737,,8.25,Lyndl Said No,8,4.6
6. SHAYNA BALE,B,3,8,28.3,525,2025-06-14,MEA,Mixed 4/5,30.535,30.299,29.917,5.17675,3.75,DOONGALLA DON,3,12.0
"",B,5,8,28.3,525,2025-06-07,MEA,Grade 5,30.429,29.914,29.914,,7.75,WERRIS BALE,5,15.0
"",B,6,5,28.1,525,2025-05-31,MEA,Free For All,30.513,29.968,29.892,5.14,8.25,PAW XANTIPPE,6,21.0
"",B,7,7,28.0,525,2025-05-24,MEA,Free For All,30.866,30.125,30.1,,11.25,EXCAVATION,7,18.0
"",B,1,2,28.1,525,2025-05-17,MEA,Grade 5,30.409,30.409,30.395,,1.25,MARRAKESH,1,13.0
7. MACKINAW PEACH,B,4,6,31.2,525,2025-06-21,MEA,Free For All,30.392,30.273,30.014,5.1775,2.0,PEPPER RUSH,4,15.0
"",B,4,4,31.1,515,2025-06-12,SAN,Mixed 3/4,29.975,29.564,29.432,,6.25,Field Day,4,10.0
"",B,4,1,31.3,460,2025-06-07,GEE,Mixed 4/5,25.93,25.598,25.598,6.5075,5.0,Tarawi Therese,4,3.0
"",B,3,1,31.1,525,2025-05-31,MEA,Grade 4,30.198,29.911,29.892,5.13,4.5,NEO DEVERE,3,3.2
"",B,1,4,30.9,515,2025-05-23,SAN,Grade 5,29.464,29.464,29.35,,3.5,White Crest,1,4.6
8. FERRET'S KNOCK,B,1,5,27.2,460,2025-06-13,GEE,Group Listed,25.677,25.677,25.404,6.647,1.25,DEAR CARLA LOU,1,5.5
"",B,1,1,27.1,450,2025-06-05,BAL,S/E Heat,25.295,25.295,24.991,,3.25,CERULEAN POPPY,1,3.6
"",B,5,5,26.8,500,2025-03-28,BEN,Grade 5 Final,28.742,28.228,28.143,,7.75,DYNAMITE DOUG,5,7.0
"",B,2,3,26.8,500,2025-03-21,BEN,Grade 5 Heat,28.507,28.406,27.991,,1.75,DYNAMITE DOUG,2,2.8
"",B,1,7,26.8,425,2025-03-14,BEN,Restricted Win Final,23.579,23.579,23.579,,3.5,ESSENCE,1,4.0
