Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Binnaway Sands,B,3,5,27.9,395,2025-08-03,MBR,6,23.19,23.02,22.07,5.29,2.25,Big Merv,3,2.4
"",B,1,1,27.6,342,2025-07-29,AP/K,TG5+W,19.7,19.7,19.6,4.58,1.25,BIG BOSS GIBLET,1,3.2
"",B,3,1,27.3,342,2025-07-25,AP/K,TG5+W,20.19,19.75,19.58,4.75,6.25,LET'S GO PIES,3,1.4
"",B,4,2,27.9,342,2025-07-14,AP/K,5,20.13,19.6,19.25,4.69,7.5,Beast Best,4,3.7
"",B,7,2,27.7,400,2025-06-29,GAWL,5,23.82,23.11,22.8,8.87,10.0,Bing Bong Raider,2777,6.0
2. LET'S GO KAY,B,4,6,28.7,300,2025-07-29,MBS,5,17.33,16.93,16.75,4.56,5.75,Techno Kelli,4,41.0
"",B,6,2,29.0,300,2025-07-22,MBS,5,17.08,16.48,16.38,4.55,8.5,Is He Lucky,6,71.0
"",B,5,3,29.1,395,2025-06-20,MBR,6,23.34,22.35,22.0,5.3,14.0,NAUGHTY NORM,5555,51.0
"",B,4,2,29.0,300,2025-06-17,MBS,5,17.2,17.0,16.53,4.58,2.75,Beast Best,4,10.0
"",B,5,6,28.5,395,2025-06-13,MBR,6,23.1,22.57,22.12,5.14,7.5,No Fines,5,34.0
4. Razzle Berries,B,6,1,26.6,300,2025-08-05,MBS,6,17.14,16.64,16.48,4.68,7.0,WHITE OWL,6,34.0
"",B,3,7,26.2,342,2025-08-02,AP/K,TG5+W,19.96,19.81,19.56,4.65,2.0,SHAKA GOES BANG,3,15.0
"",B,3,7,26.1,342,2025-07-29,AP/K,TG5+W,19.98,19.73,19.6,4.71,3.5,Just Zorro,3,26.0
"",B,4,3,26.4,342,2025-07-25,AP/K,TG1-4W,20.18,19.93,19.58,4.74,3.5,COUNTRY CRUSADER,4,4.0
"",B,1,5,26.3,342,2025-07-22,AP/K,TG1-4W,19.97,19.97,19.54,4.7,0.031,Once A Diva,1,3.0
5. One Margarita,B,1,3,25.6,300,2025-08-05,MBS,5,16.69,16.69,16.48,4.45,1.5,Sketchy Toby,1,2.4
"",B,3,1,25.7,300,2025-07-29,MBS,5,17.13,16.93,16.75,4.53,2.75,Techno Kelli,3,2.8
"",B,1,4,25.1,400,2025-06-25,GAWL,TG1-4W,23.13,23.13,22.87,8.76,6.25,Demi Rose,1111,1.65
"",B,5,4,26.0,531,2025-06-04,GAWL,6,31.69,30.86,30.86,3.32,11.75,Josie Dakota,22345,8.5
"",B,1,2,26.0,400,2025-05-25,GAWL,6,23.14,23.14,22.68,,2.5,Built For Glory,1,3.6
7. Todd's Luka,D,4,2,32.7,395,2025-08-03,MBR,6,22.86,22.44,22.07,5.23,6.0,Brother Bilo,4,13.0
"",D,3,5,32.8,395,2025-07-27,MBR,6,22.96,22.68,22.25,5.19,4.0,DAINTREE BULLET,3,7.5
"",D,5,5,32.2,342,2025-07-21,AP/K,5,20.05,19.79,19.26,4.61,3.75,Techno Kelli,5,12.0
"",D,2,6,32.1,342,2025-07-14,AP/K,5,20.03,19.6,19.25,4.64,6.0,Beast Best,2,6.5
"",D,2,4,32.3,300,2025-07-08,MBS,6,16.83,16.58,16.44,4.53,3.5,Don't Talk Back,2,12.0
8. Ocean Fury,B,1,1,31.2,395,2025-08-03,MBR,M,22.81,22.81,22.07,5.23,1.75,Nardo,1,2.5
"",B,2,2,31.1,395,2025-07-27,MBR,M,23.12,23.04,22.25,,1.0,Finniss Honour,2,5.5
"",B,2,6,31.0,395,2025-07-20,MBR,M,22.99,22.7,22.03,,4.25,Royal Waldorf,2,6.5
