Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Nicko Jack,D,4,6,31.3,297,2025-08-07,DAPT,FFA,17.22,17.06,17.06,5.38,2.25,Corless Insane,444,10.0
"",D,1,5,31.5,365,2025-07-28,NOWR,NG1-4,20.76,20.76,20.58,8.66,0.25,Banjo's Express,21,3.8
"",D,3,1,31.5,365,2025-07-21,NOWR,FFA,20.85,20.45,20.45,8.65,5.75,Where's Fernando,23,5.0
"",D,5,7,31.5,297,2025-07-17,DAPT,FFA,17.46,17.04,17.02,,6.0,Canya Supersonic,455,16.0
"",D,1,4,31.2,365,2025-07-07,NOWR,NG1-4,20.72,20.72,20.52,8.6,0.125,Check This Out,31,7.5
2. War Hawk,D,5,2,38.5,365,2025-08-04,NOWR,4/5,21.26,20.73,20.4,9.02,7.5,Luna Zeal,65,5.0
"",D,1,8,38.7,365,2025-07-28,NOWR,5,20.79,20.79,20.58,8.69,0.25,Bobby Ville,31,3.3
"",D,1,6,38.4,324,2025-07-17,RICS,M2/M3,18.12,18.12,17.69,7.23,0.125,Venus Banner,3431,5.0
"",D,2,1,38.4,365,2025-07-07,NOWR,5,20.89,20.52,20.52,8.69,5.25,Glorified,32,2.5
"",D,4,7,38.3,365,2025-06-30,NOWR,NG1-4,21.27,20.64,20.38,8.89,9.0,Check This Out,74,6.5
4. Be Wowed,D,1,7,35.5,400,2025-08-05,BUL,NG1-4,22.96,22.96,22.23,6.57,0.75,YOGEN BALE,3211,3.0
"",D,1,8,35.7,324,2025-07-31,RICS,3/4,17.87,17.87,17.59,7.07,1.5,Mighty Lad,6111,1.45
"",D,4,7,35.5,324,2025-07-24,RICS,NG1-4,17.63,17.51,17.51,6.99,1.75,Logie Magic,7444,6.5
"",D,6,6,36.0,350,2025-06-27,GOUL,5,20.29,19.65,19.65,,9.25,Saint Omagh,5666,2.25
"",D,1,3,35.9,365,2025-06-23,NOWR,5,20.98,20.98,20.47,8.88,3.75,Skedaddle Boss,21,1.15
5. Skedaddle Maple,B,6,3,27.7,520,2025-08-04,NOWR,5,30.27,29.65,29.63,4.27,8.75,Zipping Zodiac,356,14.0
"",B,1,2,27.5,520,2025-07-28,NOWR,5,29.8,29.8,29.49,4.3,2.5,Motor City Sonny,111,2.8
"",B,5,3,27.3,520,2025-07-14,NOWR,4/5,30.4,29.75,29.75,4.37,9.25,Ashby Chai,245,4.0
"",B,3,5,27.3,520,2025-07-07,NOWR,4/5,30.17,29.62,29.62,4.34,7.75,Skedaddle Arlo,333,7.0
"",B,6,3,27.0,520,2025-06-28,W/PK,NG,30.47,29.7,29.48,5.62,11.0,Summer Quinn,3666,71.0
7. Nicko King,D,5,3,33.2,520,2025-08-07,DAPT,4/5,30.72,30.03,29.96,5.5,9.75,Fancy Bella,3355,21.0
"",D,6,1,33.5,520,2025-07-28,NOWR,5,30.08,29.78,29.49,4.33,4.25,Blue Linkin,446,6.5
"",D,4,3,33.3,365,2025-07-21,NOWR,5,20.75,20.52,20.45,8.69,3.25,Fancy Bentley,64,15.0
"",D,1,5,32.9,365,2025-07-14,NOWR,5,20.78,20.78,20.54,8.64,1.0,Skedaddle Boss,21,4.8
"",D,5,1,32.6,365,2025-07-07,NOWR,NG1-4,21.09,20.72,20.52,8.68,5.25,Nicko Jack,55,19.0
8. Banjo's Express,D,7,2,36.1,297,2025-07-31,DAPT,NG1-4,17.6,16.9,16.9,5.53,10.0,Forners Storm,777,5.5
"",D,2,4,36.0,365,2025-07-28,NOWR,NG1-4,20.78,20.76,20.58,8.66,0.25,Nicko Jack,32,2.9
"",D,2,4,36.3,297,2025-07-24,DAPT,3/4,17.1,16.96,16.91,5.48,2.0,Dynamic Sunny,722,7.0
"",D,4,7,36.0,365,2025-07-07,NOWR,NG1-4,20.91,20.72,20.52,8.67,2.5,Nicko Jack,44,4.8
"",D,2,3,36.1,365,2025-06-30,NOWR,NG1-4,20.71,20.64,20.38,8.75,1.0,Check This Out,42,7.0
