Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. HONEY BUNNY,B,6,8,25.7,525,2025-06-11,MEA,Grade 5 T3,32.149,30.528,30.153,5.29,24.25,Our Jojo,6,2.5
"",B,6,1,25.9,400,2025-06-06,WAR,Grade 5 Non Penalty Heat,23.469,22.382,22.382,8.775,16.25,Myall Mate,6,4.2
"",B,7,8,26.3,460,2025-04-11,WAR,Grade 5,26.381,25.945,25.674,,6.75,CATCH SOME RAYS,7,8.0
"",B,2,1,26.0,525,2025-04-02,MEA,Grade 5 T3,30.464,30.314,30.054,5.20925,2.25,Secret Emgrand,2,3.5
"",B,6,7,25.4,525,2025-03-26,MEA,Restricted Win,31.136,30.162,30.162,,14.75,DESIRABILITY,6,5.0
2. Our Tiger Norma,D,6,2,34.3,510,2025-06-18,SAL,Grade 5,29.668,29.076,29.076,9.6075,9.0,SMOOTH PRINCE,6,10.0
"",D,6,5,33.9,510,2025-06-11,SAL,Grade 5,29.506,29.168,29.168,9.4625,5.25,Royal Magpie,6,10.0
"",D,3,1,33.5,510,2025-06-04,SAL,Grade 5 T3,29.45,28.999,28.999,,6.75,WARRIOR ETHAN,3,6.0
"",D,1,7,34.0,510,2025-05-28,SAL,Grade 5,29.453,29.453,29.453,9.87,0.5,LAKEVIEW KIM,1,3.6
"",D,5,7,34.0,510,2025-05-21,SAL,Grade 5 T3,29.589,29.172,29.06,9.576,6.25,Mixed Dozen,5,8.0
3. WARRIOR ETHAN,D,3,9,35.2,510,2025-06-29,SAL,Grade 5,29.252,28.849,28.849,9.49,6.25,PAW QUANDA,3,6.0
"",D,4,7,34.6,640,2025-06-22,SAL,Grade 5,37.249,36.625,36.625,6.13,9.5,IF ONLY,4,26.0
"",D,4,1,35.1,435,2025-06-18,SAL,Grade 5 Heat,25.179,24.805,24.481,5.418,5.75,DREAM ON ALLAN,4,5.5
"",D,5,2,35.1,460,2025-06-10,WAR,Mixed 4/5,26.53,26.169,25.931,,5.5,CANYA JIVE,5,10.0
"",D,1,7,35.1,510,2025-06-04,SAL,Grade 5 T3,28.999,28.999,28.999,,5.25,BANDARI,1,10.0
4. ELLE GEM,B,4,6,29.0,460,2025-06-26,WAR,Grade 5 T3,26.392,26.286,26.286,,1.75,BAGGIO,4,10.0
"",B,7,7,29.0,460,2025-06-19,WAR,Grade 5 T3,26.639,26.102,26.09,6.8435,8.25,Mighty Hercules,7,10.0
