Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Fire Motto,B,8,6,26.3,525,2025-08-13,TARE,NG,31.51,30.33,30.13,4.03,16.75,Spritely Sian,4578,101.0
"",B,5,7,24.5,520,2025-06-29,RICH,4/5,30.9,30.0,30.0,4.45,12.75,Zipping Braddock,35555,26.0
"",B,8,8,24.5,515,2025-06-27,GRDN,5,30.55,29.92,29.35,5.12,9.0,Fascinate John,6888,19.0
"",B,8,7,24.5,515,2025-06-21,GRDN,4/5,30.79,29.49,29.49,5.1,18.5,Rosa Marie,4688,81.0
"",B,1,6,24.5,400,2025-06-13,GRDN,5,23.39,23.39,22.79,11.48,4.75,Let's Trot Vixen,131,2.8
2. Cold Cold Night,D,1,3,34.2,515,2025-08-15,GRDN,5,29.82,29.82,29.49,4.98,1.0,Zipper On Time,1111,9.0
"",D,2,7,34.0,515,2025-08-09,GRDN,5,29.9,29.76,29.76,5.05,2.0,My Bread Roll,4222,13.0
"",D,5,7,34.0,520,2025-08-02,W/PK,5,30.66,30.1,29.56,5.66,8.0,Just Ken,5545,26.0
"",D,5,1,33.9,525,2025-07-30,TARE,MX,31.3,30.67,30.2,4.25,9.0,Sunshine Rhonda,6765,2.0
"",D,8,6,33.9,525,2025-07-23,TARE,NG,31.02,30.12,30.09,4.06,12.75,Spritely Sian,6678,81.0
4. Glenreagh Burner,D,3,5,34.3,411,2025-08-12,CASO,5,23.71,23.15,23.15,8.76,8.0,Excellent,15433,81.0
"",D,5,4,34.5,350,2025-08-05,GRAF,M3,20.72,20.24,19.75,4.37,6.75,Bundy Trigger,7885,19.0
"",D,8,4,33.9,525,2025-07-23,TARE,NG,30.95,30.22,30.09,4.07,10.25,Heroic Federer,7788,101.0
"",D,7,6,34.0,300,2025-07-09,TARE,M2/M3,18.22,17.45,17.19,6.7,11.0,Petrichor,757,10.0
"",D,5,8,34.1,525,2025-07-02,TARE,4/5,31.69,30.57,30.57,3.98,16.0,Just Savage,2335,19.0
5. Zipping Mario,D,3,8,32.8,300,2025-08-13,TARE,5,17.84,17.66,17.51,6.75,2.5,Let's Trot Vixen,763,7.0
"",D,5,3,33.1,400,2025-08-09,GRDN,5,23.42,22.98,22.71,11.47,6.25,Ava's Milo,655,18.0
"",D,5,4,33.9,400,2025-07-26,GRDN,5,23.82,23.19,22.76,11.55,9.0,My Cupcake,875,15.0
"",D,6,7,34.2,400,2025-07-18,GRDN,5,23.35,23.0,23.0,11.68,5.0,Bedale,766,26.0
"",D,3,1,34.3,400,2025-07-11,GRDN,5,23.35,23.03,22.74,11.43,4.5,Snidely Whiplash,853,2.6
7. Mickey Dawn,B,8,9,25.1,525,2025-08-13,TARE,NG,31.39,30.3,30.13,4.11,15.5,Rosa Marie,7788,101.0
"",B,2,3,25.0,300,2025-08-09,TARE,5,17.95,17.79,17.5,6.7,2.25,Go Elvis,542,17.0
"",B,6,9,25.7,300,2025-07-20,TARE,5,18.29,18.1,17.34,6.92,2.5,FORETOPMAN,776,6.5
"",B,7,7,25.8,300,2025-07-05,TARE,5,18.16,17.89,17.52,6.7,3.75,Park Key Paw,767,18.0
"",B,4,1,26.3,300,2025-06-21,TARE,5,18.21,17.8,17.37,6.68,5.75,Red Jenny,454,4.4
8. Out The Will,B,6,2,25.6,411,2025-08-12,CASO,5,24.04,23.64,23.15,8.93,5.75,Rita Dutton,57766,4.6
"",B,4,3,25.6,525,2025-07-23,TARE,NG,30.87,30.09,30.09,3.98,11.0,Apache Tiger,1244,34.0
"",B,4,8,25.4,400,2025-07-14,MAIT,5,22.93,22.65,22.24,5.37,4.0,Located,2234,18.0
"",B,1,2,25.4,525,2025-07-09,TARE,5,30.65,30.65,30.55,3.92,2.0,Spunky Monkey,1111,2.1
"",B,2,7,25.6,525,2025-07-02,TARE,4/5,30.64,30.57,30.57,3.93,1.0,Just Savage,1112,13.0
