Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Go Forward Sky,B,2,1,25.6,520,2025-08-16,W/PK,5,30.03,29.85,29.66,5.61,2.5,Trunkey Shearer,4412,4.8
"",B,7,7,25.9,720,2025-08-07,W/PK,5,42.87,41.88,41.88,16.44,14.0,I'M Sally,4337,13.0
"",B,5,7,25.8,720,2025-07-31,W/PK,4/5,42.72,41.95,41.95,16.22,11.0,Suribachi,1235,61.0
"",B,2,6,25.9,600,2025-07-26,GRDN,5,35.22,35.13,35.13,9.73,1.25,Wild Octane,7322,2.25
"",B,3,7,25.7,720,2025-07-19,W/PK,5,42.54,42.39,41.97,16.09,2.0,Prowess,2113,9.5
2. Winifred Nora,B,5,4,30.9,720,2025-08-07,W/PK,5,42.82,41.88,41.88,16.82,13.25,I'M Sally,6665,3.3
"",B,4,4,31.0,720,2025-07-31,W/PK,4/5,42.47,41.95,41.95,16.47,7.5,Suribachi,4454,17.0
"",B,1,8,31.2,720,2025-07-24,W/PK,5,42.19,42.19,42.19,16.46,2.0,Sneaky Tycoon,4221,3.9
"",B,6,7,31.9,710,2025-06-26,QTT,OPEN,42.68,41.24,41.24,4.74,20.5,RED DIRT ROAD,4446,34.0
"",B,7,6,31.7,710,2025-06-19,QTT,5,42.75,42.09,41.33,4.87,9.25,ROMANTIC RED,6777,5.0
3. Mister O'Brien,D,8,3,31.7,720,2025-08-14,W/PK,NG,42.79,41.92,41.92,16.64,12.25,LADY WILSON,1558,101.0
"",D,4,6,31.5,720,2025-08-07,W/PK,5,42.74,41.88,41.88,16.74,12.25,I'M Sally,3554,23.0
"",D,3,6,31.3,520,2025-07-31,W/PK,M3,30.6,30.4,29.67,5.83,2.75,Freydis,6753,11.0
"",D,4,8,31.8,520,2025-07-17,W/PK,M3,30.97,30.44,29.63,5.77,7.5,Crafty Chap,3324,4.6
"",D,5,2,31.8,520,2025-07-12,W/PK,M2/M3,30.29,29.86,29.56,5.74,6.0,Total Faith,6655,15.0
4. Miss Bansky,B,1,1,28.6,720,2025-08-16,W/PK,5,42.46,42.46,42.46,16.17,2.5,Prowess,1111,3.1
"",B,2,2,28.4,720,2025-08-07,W/PK,5,42.58,41.88,41.88,16.34,10.0,I'M Sally,5222,31.0
"",B,2,4,28.6,600,2025-07-31,DAPT,5,34.68,34.66,34.66,9.61,0.25,Sneaky Tycoon,1222,10.0
"",B,3,1,28.8,600,2025-07-26,GRDN,5,35.6,35.13,35.13,9.89,6.5,Wild Octane,3753,2.4
"",B,7,6,28.5,622,2025-07-18,RICH,5,36.3,35.7,35.7,9.81,8.5,Promises Three,2467,51.0
6. Rugged Ethics,D,2,5,30.1,600,2025-08-16,GRDN,5,35.06,34.95,34.95,9.71,1.5,Curyo Dancer,1332,3.6
"",D,1,8,30.1,400,2025-08-12,BUL,5,22.53,22.53,22.17,6.62,3.0,Calla Muffin,4331,3.3
"",D,3,2,30.2,520,2025-08-09,W/PK,5,30.26,30.04,29.56,5.7,3.0,Nola Keeping,6543,12.0
"",D,5,4,30.3,515,2025-08-05,BUL,5,29.23,28.91,28.91,12.5,4.5,Cumbria George,1455,5.5
"",D,5,2,30.3,520,2025-07-24,W/PK,5,30.35,29.95,29.65,5.64,5.75,Sir Tick,5565,7.5
7. Pink Panama,B,5,8,27.0,520,2025-08-16,W/PK,5,30.29,29.85,29.66,5.71,6.25,Trunkey Shearer,7775,12.0
"",B,4,7,27.0,720,2025-07-19,W/PK,5,42.59,41.97,41.97,16.61,8.75,Suribachi,4444,19.0
"",B,4,3,26.9,720,2025-07-10,W/PK,5,42.62,42.57,42.57,16.44,0.75,Go Forward Sky,4434,7.5
"",B,4,1,27.0,720,2025-07-05,W/PK,NG,42.48,41.85,41.85,16.65,9.0,Alakazam,6664,9.5
"",B,3,7,26.5,720,2025-06-28,W/PK,5,42.1,41.9,41.74,16.36,2.75,Mia Magnifico,4333,4.8
8. Free Moe Diva,B,4,4,25.0,720,2025-08-16,W/PK,5,42.94,42.46,42.46,16.89,6.75,Miss Bansky,6554,4.6
"",B,1,2,25.2,720,2025-07-31,W/PK,MX,43.01,43.01,41.95,16.46,2.25,Prowess,1111,10.0
"",B,1,2,25.5,622,2025-07-25,RICH,MX,36.4,36.4,35.24,10.03,0.25,Smart Aussie,5221,4.8
"",B,5,4,25.3,603,2025-07-15,GOSF,5,35.62,35.06,35.06,9.63,8.0,Vito's Poolish,66665,9.5
"",B,4,7,25.1,622,2025-07-11,RICH,5,36.73,36.26,36.26,10.07,6.5,Derry,6554,7.0
