Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Call Me Sweety,B,5,7,24.9,300,2025-07-15,CASO,5,17.8,17.4,17.01,2.47,5.75,Bugatti Rico,355,14.0
"",B,4,2,25.6,300,2025-04-10,CASO,5,17.48,17.07,16.94,2.57,5.75,Fire Scream,4644,12.0
"",B,1,5,25.4,320,2025-04-05,PPK,5,18.57,18.57,18.32,,2.25,Flying Rick,1,5.0
"",B,5,8,25.7,300,2025-04-01,CASO,5,17.42,16.94,16.67,2.61,6.75,Sparklin' Chic,7355,14.0
"",B,8,6,26.0,300,2025-01-30,CASO,5,17.82,17.05,16.58,2.61,11.0,Megan Turtle,688,13.0
2. Butcher,D,7,1,29.7,300,2025-07-17,CASO,5,18.24,17.34,16.82,2.45,12.75,Malmsteen,377,10.0
"",D,4,2,29.7,300,2025-07-15,CASO,5,17.6,17.03,17.01,2.6,8.25,Not Sorry,744,9.0
"",D,2,1,29.6,300,2025-07-03,CASO,5,17.3,16.91,16.91,2.54,5.5,Nanny's Boy,6322,6.0
"",D,4,1,30.0,300,2025-06-26,CASO,5,17.39,17.08,16.8,2.51,4.25,STILTON MILEY,344,3.3
"",D,6,7,30.0,300,2025-06-24,CASO,5,17.69,17.03,16.92,2.48,9.25,Misty Bonus,366,21.0
3. Bentley Harris,D,5,8,27.6,450,2025-07-13,GRAF,5,26.47,25.56,25.48,9.37,13.0,Lady Jacqueline,4455,4.6
"",D,8,5,27.6,450,2025-07-08,GRAF,5,26.42,25.69,25.34,9.28,10.25,Striped Mac,6888,19.0
"",D,1,4,28.2,411,2025-07-01,CASO,5,23.52,23.52,23.01,8.61,3.5,Tony Tarks,1111,2.8
"",D,7,4,28.3,352,2025-06-25,QOT,5,20.34,19.75,19.59,3.75,8.25,Wilpena,237,13.0
"",D,8,7,27.6,484,2025-05-30,CASO,5,29.26,27.81,27.49,2.84,20.75,Swift Grant,788888,5.5
4. Terror Toro,B,7,4,27.2,411,2025-07-15,CASO,5,24.48,23.53,23.04,9.11,13.5,Whispering Sally,777,3.3
"",B,4,2,27.0,411,2025-06-24,CASO,5,24.03,23.62,23.62,8.89,5.75,Nirmada,54444,2.7
"",B,2,2,26.9,350,2025-06-17,GRAF,5,20.38,20.18,19.77,4.17,2.75,Daniel Keeping,5532,3.5
"",B,4,4,27.0,411,2025-06-12,CASO,5,24.11,23.8,23.48,9.04,4.25,Keeper,56344,4.4
"",B,6,3,26.8,411,2025-06-05,CASO,5,24.1,23.4,23.06,8.78,10.0,Kooringa Millie,43366,2.5
5. Lilly Bonus,B,5,3,24.0,411,2025-07-15,CASO,5,24.14,23.49,23.04,8.62,9.25,Trendy Art,255,19.0
"",B,6,3,24.1,411,2025-07-01,CASO,5,24.5,23.55,23.01,8.96,13.5,Aussie Crawl,466,16.0
"",B,3,7,24.1,300,2025-06-26,CASO,5,17.31,17.08,16.8,2.5,3.25,STILTON MILEY,433,3.6
"",B,7,3,24.1,411,2025-06-19,CASO,5,24.61,23.8,23.2,9.37,11.5,Keeper,77777,10.0
"",B,7,5,24.0,300,2025-06-12,CASO,5,17.63,16.92,16.88,2.53,10.0,Hi Jessie,6777,8.5
6. Delta Sands,B,5,7,26.0,300,2025-07-15,CASO,5,17.64,17.03,17.01,2.5,8.75,Not Sorry,355,2.7
"",B,5,5,26.2,350,2025-07-10,GRAF,5,20.28,20.17,19.89,4.09,1.5,Aussie Storm,5,6.0
"",B,4,5,26.4,350,2025-06-29,GRAF,5,20.47,20.09,19.73,4.14,5.25,Miss Me,2454,4.8
"",B,5,4,26.4,350,2025-06-21,GRAF,5,20.43,19.74,19.58,4.18,9.75,Fire Me Up,5555,12.0
"",B,2,7,25.6,350,2025-06-01,GRAF,5,20.38,20.19,19.97,4.14,2.5,Brindle Bonus,2,4.2
7. Chief Beach,D,7,4,28.9,300,2025-07-17,CASO,5,17.83,16.9,16.82,2.54,13.25,Burringbar Fox,477,101.0
"",D,6,4,28.8,350,2025-07-06,GRAF,M1/M2/M3,20.9,19.88,19.88,4.38,14.5,Rushforth Ally,7666,101.0
"",D,5,3,29.0,300,2025-07-01,CASO,5,17.62,16.87,16.87,2.56,10.5,Malmsteen,6555,101.0
"",D,7,8,29.2,411,2025-06-26,CASO,5,24.94,23.72,23.27,9.54,17.25,Last To Know,87777,51.0
"",D,6,5,29.4,300,2025-06-24,CASO,M2/M3,17.56,17.19,16.92,2.61,5.25,Star Slate,8666,101.0
8. Kingsbrae Nola,B,3,5,27.8,300,2025-07-17,CASO,5,17.15,16.9,16.82,2.55,3.5,Burringbar Fox,633,4.6
"",B,7,9,27.9,450,2025-07-10,GRAF,NG,25.65,25.02,25.01,9.07,9.0,Badger's Beast,6577,101.0
"",B,4,8,27.9,450,2025-07-06,GRAF,4/5,25.97,25.35,25.06,9.28,8.75,Western Lies,1664,5.5
"",B,4,6,27.5,366,2025-06-22,CAPA,5,19.99,19.89,19.49,,1.5,Idea's Girl,654,15.0
"",B,5,3,27.8,457,2025-06-17,QOT,4/5,26.12,25.51,25.51,4.42,8.75,Titanium Blue,4455,17.0
9. Mum's Bugatti,D,7,5,31.5,411,2025-07-15,CASO,5,24.37,23.48,23.04,8.97,12.75,Tarawi Favorite,677,81.0
"",D,7,4,32.2,350,2025-07-06,GRAF,5,21.02,20.25,19.88,4.32,11.0,BELLE EXTRA,6887,18.0
"",D,5,3,32.9,350,2025-06-29,GRAF,5,20.87,20.12,19.73,4.22,10.5,Full Twist,2255,61.0
"",D,8,4,33.2,300,2025-06-24,CASO,5,17.95,17.22,16.92,2.54,10.25,Neat And Sweet,2688,9.0
"",D,5,4,32.7,484,2025-01-30,CASO,MX,28.75,27.67,27.67,2.83,15.5,Mrs. Jacobs,3455,41.0
10. Blue Machine,D,8,2,28.5,352,2025-07-08,QOT,6,21.76,19.77,19.71,4.4,28.25,Scotch You,888,31.0
"",D,8,2,29.3,395,2025-06-18,APWE,6,23.92,22.97,22.82,11.0,13.5,At The Pond,58,51.0
"",D,7,4,29.1,395,2025-06-04,APWE,6,24.03,23.4,22.45,11.18,9.0,Harry's Hill,77,23.0
"",D,5,2,29.2,352,2025-05-27,QOT,6,20.8,20.27,19.91,4.14,7.5,Lucky Fireball,745,41.0
"",D,8,8,30.0,288,2025-03-13,IPTH,NOV,18.16,17.66,16.86,6.37,7.0,Jilliby Yoda,88,14.0
