Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. White And Black,B,2,1,23.5,297,2025-07-03,DAPT,5,17.23,16.92,16.91,5.35,4.25,Lure Detective,122,3.1
"",B,4,3,23.7,297,2025-06-26,DAPT,5,17.55,17.06,16.98,5.5,7.0,Second To None,544,6.0
"",B,2,1,23.7,297,2025-06-19,DAPT,5,17.48,17.44,17.07,5.45,0.75,Spring Breezing,322,2.9
"",B,3,7,23.8,297,2025-03-20,DAPT,5,17.28,16.82,16.71,5.5,6.5,Forners Storm,533,23.0
"",B,3,1,24.1,297,2025-03-13,DAPT,5,17.48,17.05,16.89,5.41,6.0,Sunnybrook,433,5.0
2. Just Stop It,B,7,4,26.1,365,2025-07-07,NOWR,5,21.51,20.83,20.52,8.92,9.75,Fancy Bentley,67,101.0
"",B,7,1,26.0,297,2025-07-03,DAPT,5,18.05,17.55,16.91,5.62,7.0,Tofu Tommy,677,9.5
"",B,2,8,25.9,365,2025-06-30,NOWR,5,21.33,21.03,20.38,8.82,4.25,Another Siam,22,26.0
"",B,5,1,25.9,297,2025-06-26,DAPT,5,17.77,17.21,16.98,5.52,8.0,XENA GIBLET,455,8.5
"",B,7,5,25.9,365,2025-06-23,NOWR,5,21.75,20.94,20.47,9.19,11.5,Cumbria Meg,77,26.0
3. Teresa's Angel,B,4,5,27.9,297,2025-07-03,DAPT,5,17.69,17.55,16.91,5.46,2.0,Tofu Tommy,244,2.9
"",B,3,5,28.2,297,2025-06-26,DAPT,5,17.38,17.06,16.98,5.48,4.5,Second To None,333,12.0
"",B,4,1,28.4,297,2025-06-19,DAPT,5,17.85,17.27,17.07,5.69,8.25,Geostorm,844,2.9
"",B,1,3,28.3,297,2025-06-12,DAPT,5,17.28,17.28,16.92,5.43,1.75,Vision,111,5.5
"",B,3,6,27.3,297,2025-04-03,DAPT,5,17.61,16.94,16.92,5.61,9.5,Forners Storm,533,26.0
4. Run Rebel Run,D,3,6,31.4,350,2025-05-09,GOUL,5,20.36,19.68,19.54,,9.75,Calypso Ethics,4533,12.0
"",D,4,6,31.8,350,2025-04-25,GOUL,5,20.27,19.67,19.56,,8.5,Cambridge King,4444,34.0
"",D,5,1,32.0,400,2025-04-19,DUBO,5,24.06,23.92,22.91,9.35,2.0,Grand Artist,7255,3.4
"",D,1,1,30.7,350,2023-10-13,GOUL,5,20.35,20.35,19.84,6.61,2.5,Nordic Viking,111,1.5
"",D,2,2,30.8,350,2023-10-06,GOUL,5,20.05,20.0,19.7,,0.75,Cook Model,2422,2.7
5. Leichhardt Roar,D,6,6,32.2,340,2025-06-24,BUL,5,20.22,19.46,19.33,,10.75,Tarawi Lock,6656,51.0
"",D,7,8,32.3,340,2025-06-17,BUL,5,20.06,19.43,19.12,3.5,9.0,Tarawi Lock,6667,51.0
"",D,7,5,32.3,400,2025-06-10,BUL,5,23.28,22.76,22.49,6.81,7.5,Rebel's Lass,8887,71.0
"",D,4,8,32.3,340,2025-06-03,BUL,5,19.75,19.34,18.96,3.45,5.75,Victory Bravo,6664,31.0
"",D,3,6,31.9,365,2025-05-26,NOWR,5,21.16,20.74,20.3,8.8,6.0,Skedaddle Arlo,53,51.0
6. Tofu Tommy,D,1,8,38.2,297,2025-07-03,DAPT,5,17.55,17.55,16.91,5.56,1.25,Anjo Panda,411,3.7
"",D,1,8,38.0,297,2025-06-19,DAPT,M,17.44,17.44,17.07,5.5,1.75,Bonsai Boy,211,1.95
"",D,2,1,37.8,297,2025-06-12,DAPT,M,17.49,17.46,16.92,5.56,0.5,Ferocious Willow,422,1.45
"",D,2,4,38.0,297,2025-06-05,DAPT,M,17.64,17.6,16.96,5.52,0.75,Where's Harry,222,4.6
7. Aston Aisling,B,1,6,26.1,297,2025-07-03,DAPT,M,17.36,17.36,16.91,5.5,0.75,Carpark Indy,211,9.5
"",B,4,4,25.9,320,2025-06-29,RICH,M,18.87,18.21,18.18,2.32,9.25,Late In Winter,8854,26.0
"",B,2,3,25.9,297,2025-06-26,DAPT,M,17.77,17.54,16.98,5.63,3.25,French Houdini,722,19.0
"",B,3,4,25.8,401,2025-06-18,RICH,M,23.31,23.0,22.71,6.86,4.25,Greta,4333,21.0
"",B,4,8,26.0,297,2025-06-12,DAPT,M,17.82,17.46,16.92,5.79,5.25,Ferocious Willow,644,4.6
8. Osti In Fashion,B,5,7,29.6,457,2025-05-14,TEMA,5,26.49,26.07,25.51,,6.0,Cheerful Cow,5,21.0
"",B,6,4,29.2,457,2025-05-07,TEMA,5,26.21,25.83,25.62,,5.25,Flash On By,6,18.0
"",B,5,7,28.9,520,2025-04-24,DAPT,5,30.75,30.1,29.62,5.6,9.25,Flashed Over,5555,51.0
"",B,8,2,29.3,440,2025-04-11,GOUL,5,25.47,24.76,24.64,,10.0,Aussie Blend,8788,101.0
"",B,5,6,28.7,365,2025-04-07,NOWR,5,21.34,20.68,20.49,8.94,9.25,Shanti Bay,55,19.0
