Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Annihilating,D,4,7,32.2,350,2025-07-16,GRAF,NG1-4,20.4,20.03,20.0,4.27,5.25,Brodies Tiger,6654,4.8
"",D,1,2,32.1,350,2025-07-13,GRAF,NG1-4,20.12,20.12,20.05,4.18,2.25,Impress Amber,5611,4.2
"",D,4,4,32.6,350,2025-07-08,GRAF,NG1-4,20.29,19.98,19.98,4.12,4.25,Kooringa Rafael,5544,5.0
"",D,1,5,32.1,350,2025-07-06,GRAF,4/5,20.06,20.06,19.88,4.12,0.25,Brodies Tiger,1,3.9
"",D,1,3,32.1,350,2025-06-29,GRAF,5,20.07,20.07,19.73,4.17,3.0,Chad's A Star,3311,2.4
2. Impress Amber,B,2,1,28.1,350,2025-07-13,GRAF,NG1-4,20.28,20.12,20.05,4.08,2.25,Annihilating,2232,6.5
"",B,3,8,28.4,350,2025-07-08,GRAF,NG1-4,20.08,19.98,19.98,4.08,1.5,Kooringa Rafael,1213,9.0
"",B,6,6,28.2,350,2025-06-29,GRAF,NG1-4,20.56,19.94,19.73,4.33,8.75,Rushforth Ally,6,34.0
"",B,2,4,28.2,350,2025-06-17,GRAF,5,20.26,20.06,19.77,4.17,2.75,Orson Storm,2322,1.8
"",B,1,8,28.3,350,2025-06-10,GRAF,5,20.18,20.18,20.1,4.11,2.5,Exonerate,1,1.6
3. Brodies Tiger,D,1,4,32.8,350,2025-07-16,GRAF,NG1-4,20.03,20.03,20.0,4.1,1.75,Lamia Stud,1111,4.4
"",D,1,3,32.5,350,2025-07-10,GRAF,4/5,19.89,19.89,19.89,4.11,5.5,Sunset Panama,1,1.5
"",D,2,3,32.5,350,2025-07-06,GRAF,4/5,20.08,20.06,19.88,4.11,0.25,Annihilating,2,2.6
"",D,3,7,32.6,350,2025-06-29,GRAF,NG1-4,20.16,19.94,19.73,4.13,3.0,Rushforth Ally,3,26.0
"",D,2,4,33.0,350,2025-06-15,GRAF,FFA,19.97,19.87,19.73,4.1,1.5,Orara Doug,1212,6.5
4. Lamia Stud,D,2,1,35.8,350,2025-07-16,GRAF,NG1-4,20.16,20.03,20.0,4.18,1.75,Brodies Tiger,3322,26.0
"",D,3,2,36.3,350,2025-07-10,GRAF,4/5,20.51,19.89,19.89,4.18,8.75,Brodies Tiger,3,8.0
"",D,3,5,36.0,331,2025-06-29,APSU,4,19.39,19.12,18.99,7.28,3.75,Magique Noir,43,12.0
"",D,1,7,35.7,350,2025-06-10,GRAF,5,20.46,20.46,20.1,4.24,0.75,Clock The Zipper,6631,3.1
"",D,5,1,35.8,300,2025-06-05,CASO,4/5,17.22,16.75,16.75,2.57,6.5,Loongana Lilly,6555,8.5
6. Noble Gambler,D,1,4,29.6,300,2025-07-17,CASO,NG1-4,16.9,16.9,16.82,2.43,4.5,Luna Anne,211,9.0
"",D,3,6,29.5,350,2025-06-10,GRAF,NG1-4,20.46,20.16,20.1,4.27,4.25,My Monroe,3,19.0
"",D,3,2,29.4,350,2025-05-04,GRAF,NG1-4,20.23,19.95,19.95,4.12,4.0,Divorce Source,4533,15.0
"",D,1,6,29.5,350,2025-04-27,GRAF,4/5,20.23,20.23,20.04,,0.031,Fly Tom,1,10.0
"",D,6,1,29.6,350,2025-04-22,GRAF,NG1-4,20.56,20.03,20.03,,7.5,Robell Clyde,6,41.0
7. Lumbar Puncture,D,3,7,30.1,350,2025-07-16,GRAF,5,20.36,20.0,20.0,4.13,5.25,Miss Me,4543,5.5
"",D,1,7,29.9,350,2025-07-13,GRAF,5,20.07,20.07,20.05,4.11,4.75,Phantom Bill,1,4.0
"",D,2,2,29.9,350,2025-07-08,GRAF,5,20.5,20.31,19.98,4.23,2.5,Bundy Damage,6722,2.1
"",D,5,7,29.9,350,2025-06-29,GRAF,5,20.7,20.07,19.73,4.29,9.0,Annihilating,7885,4.8
"",D,5,1,29.9,350,2025-06-21,GRAF,5,20.58,20.36,19.58,4.2,3.0,Looks A Picture,6565,3.3
8. Unique,B,4,4,26.2,390,2025-07-11,QOT,FFA,22.15,21.77,21.72,5.98,5.25,Milo Davis,124,11.0
"",B,6,7,26.1,395,2025-06-18,APWE,FFA,23.12,22.82,22.82,10.68,4.25,Rusty Demon,56,9.5
"",B,7,5,26.1,352,2025-06-12,QOT,1/2,20.41,19.7,19.63,,10.0,Paris Will Wait,7,6.5
"",B,2,8,26.1,390,2025-06-06,QOT,FFA,21.96,21.75,21.75,6.01,3.0,Dark Photon,222,3.4
"",B,5,5,26.0,331,2025-05-29,APTH,FFA,19.24,18.92,18.89,7.25,4.5,Tuta Pebbles,45,10.0
