Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Inter Cyborg,D,1,5,29.9,435,2025-07-02,SAL,Grade 5 T3,25.233,25.233,24.796,5.28,1.75,RUPTURED,1,6.5
"",D,3,6,30.2,400,2025-06-26,WAR,Grade 5 T3,23.352,23.136,22.805,8.665,3.25,PAW HULL,3,4.6
"",D,4,3,30.1,300,2025-06-22,HEA,Grade 5,17.095,16.822,16.519,,4.25,RUXTON SHINE,4,7.0
"",D,8,6,30.3,400,2025-06-10,WAR,Grade 5,23.523,22.92,22.592,8.74,9.0,HARLEY,8,10.0
"",D,2,3,30.8,400,2025-06-05,WAR,Grade 5,23.094,23.091,22.545,8.63,0.25,SKY BLAZER,2,6.0
2. In Their Honour,D,4,6,32.4,350,2025-06-27,HEA,Grade 5 T3,19.714,19.485,19.485,6.7435,3.5,FIRING CHIEF,4,5.5
"",D,1,1,32.2,350,2025-06-20,HEA,Grade 5 T3,19.834,19.834,19.295,6.67,0.75,JAZZ HANDS,1,10.0
"",D,2,2,32.3,390,2025-06-16,WAR,Grade 5,23.2,22.88,22.192,,5.0,Wairua's Way,2,16.0
"",D,6,2,33.0,450,2025-06-09,BAL,Grade 5 T3,26.47,25.939,25.727,,8.0,Remember What,6,5.0
"",D,3,1,32.2,450,2025-06-02,BAL,Grade 5 T3,26.118,25.737,25.307,6.71,5.75,DARRA RUBY,3,14.0
3. Myall Mannered,D,2,5,33.3,350,2025-07-04,HEA,Grade 5 T3,19.652,19.414,19.397,6.65,3.75,ALL IN OLLIE,2,5.5
"",D,2,4,33.0,350,2025-06-25,HEA,Grade 5,19.791,19.491,19.491,6.66,4.5,Cash Now,2,4.6
"",D,4,9,33.2,350,2025-06-20,HEA,Grade 5 T3,19.649,19.295,19.295,6.753,5.5,Simply Stylish,4,8.0
"",D,4,1,32.6,350,2025-06-15,HEA,Grade 5,19.562,19.399,19.165,6.732,2.5,ZINZAN CHARLIE,4,2.8
"",D,5,4,32.5,350,2025-06-06,HEA,Grade 5 T3,19.737,19.577,19.389,6.78225,2.5,Aussie Savannah,5,2.8
4. Wandana Lad,D,6,4,30.6,425,2025-06-29,BEN,Grade 5,24.857,24.383,23.624,6.907,7.25,GO GO JEFF,6,12.0
"",D,4,5,31.2,350,2025-06-25,HEA,Grade 5,19.889,19.491,19.491,6.71425,6.0,Cash Now,4,10.0
"",D,4,5,30.9,350,2025-06-20,HEA,Grade 5 T3,20.035,19.834,19.295,6.677,3.0,In Their Honour,4,8.5
"",D,3,3,31.3,300,2025-06-13,HEA,Grade 5 T3,17.322,17.266,16.99,4.14125,1.0,Sidewinder,3,8.0
"",D,3,3,31.5,350,2025-06-08,HEA,Grade 5,19.927,19.636,19.342,6.72,4.5,CAPED CRUSADER,3,18.0
5. Cash Now,D,1,3,36.2,515,2025-06-30,SAN,Grade 5 No Penalty,29.814,29.814,29.444,,4.0,LADY TEQUILA,1,10.0
"",D,1,3,36.2,350,2025-06-25,HEA,Grade 5,19.491,19.491,19.491,6.69675,4.5,Myall Mannered,1,6.5
"",D,8,5,36.0,515,2025-06-16,SAN,Grade 5 Heat,31.008,29.864,29.724,,17.25,HERE COMES JOJO,8,26.0
"",D,7,8,36.1,515,2025-06-09,SAN,Grade 5 No Penalty,31.06,30.137,29.916,5.2575,14.0,UPTIGHT,7,10.0
"",D,2,4,36.0,515,2025-06-02,SAN,Grade 5 No Penalty,29.994,29.917,29.593,5.12,1.25,WINCKIE BALE,2,18.0
6. Jebediah,D,3,6,31.4,390,2025-06-30,SHE,S/E Veteran,22.418,22.066,21.894,8.637,5.5,Silky Sauce,3,5.0
"",D,1,8,31.4,400,2025-06-24,GEE,Grade 5,22.969,22.969,22.605,8.717,0.25,ROOSTER LEGS,1,6.5
"",D,5,9,31.6,460,2025-06-17,WAR,S/E Veteran,26.555,26.471,25.776,6.62175,1.5,Mick Says So,5,6.0
"",D,4,8,31.8,300,2025-05-30,HEA,Grade 5 T3,17.223,17.12,16.953,4.02375,1.75,ZINZAN PAPER,4,5.5
"",D,4,4,31.7,400,2025-05-24,GEE,Mixed 4/5,23.344,22.568,22.537,,11.75,MAKE THE CUT,4,10.0
7. King Kaboom,D,1,6,30.3,300,2025-06-27,HEA,Grade 5 T3,17.11,17.11,16.747,4.01,1.0,ROOSTER LEGS,1,5.5
"",D,3,6,29.9,390,2025-06-11,BAL,Grade 5,22.909,22.798,21.865,,1.75,Holtorf Bale,3,10.0
"",D,2,7,29.3,410,2025-05-31,HOR,Grade 5,23.771,23.66,23.168,10.44,1.75,IT'S BUBBLE TIME,2,3.6
"",D,4,7,29.3,300,2025-05-23,HEA,Grade 5 T3,17.229,17.023,16.982,3.9875,3.25,LITTLE MISS ENVY,4,3.2
"",D,5,3,29.8,350,2025-05-11,HEA,S/E Veteran,19.648,19.335,18.935,6.605,4.75,Wario,5,8.0
8. Canny Lass,B,4,1,25.5,435,2025-06-29,SAL,S/E Veteran,24.944,24.524,24.357,,6.5,DR. DYLAN,4,10.0
"",B,4,3,25.5,350,2025-06-08,HEA,Grade 5,19.933,19.597,19.342,6.74425,5.25,HEAD HUNTER,4,16.0
"",B,3,1,25.3,435,2025-06-01,SAL,Grade 5,24.742,24.472,24.376,5.36,4.25,MAYFAIR JILL,3,4.2
"",B,4,7,25.4,350,2025-05-11,HEA,S/E Veteran,19.639,19.335,18.935,6.612,4.75,Wario,4,3.6
"",B,2,4,25.7,460,2025-04-17,WAR,Grade 5,26.108,26.05,26.05,,1.0,SMOOTH PRINCE,2,3.4
9. Howe Pie,D,6,7,32.1,515,2025-06-30,SAN,Grade 5 Tier 3 Heat,30.4,30.025,29.444,5.328,5.75,GARRITTY,6,15.0
"",D,4,5,32.7,460,2025-06-17,WAR,S/E Veteran,26.532,26.471,25.776,6.77925,1.0,Mick Says So,4,7.0
"",D,3,2,32.8,510,2025-06-11,SAL,Grade 5,29.264,29.168,29.168,9.375,1.5,Royal Magpie,3,10.0
"",D,6,10,32.7,350,2025-06-06,HEA,Grade 5 T3,19.671,19.389,19.389,6.63,4.25,AYIA NEIGHBOUR,6,6.5
"",D,7,6,32.9,460,2025-05-29,WAR,Grade 5 T3,26.566,25.951,25.932,,9.25,DARNUM RAIN,7,7.5
10. Astronomica,D,5,8,34.1,300,2025-06-25,HEA,Grade 5,17.313,17.065,17.065,4.047,3.75,MT. VIEW AMOUR,5,5.5
"",D,4,8,34.5,450,2025-05-29,SHE,Grade 5,25.734,25.39,25.335,,5.25,Twilight Jet,4,8.0
"",D,3,5,34.8,400,2025-05-23,WAR,Grade 5 T3,23.244,22.958,22.613,,4.5,NEW LINE,3,4.0
"",D,6,5,34.7,350,2025-05-18,HEA,Grade 5,20.068,19.758,19.244,6.80375,4.75,FLEX FOR ME,6,10.0
"",D,3,1,35.1,460,2025-05-13,WAR,Grade 5,26.722,25.732,25.732,6.685,15.0,Irish Bill,3,12.0
