Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. PREMIUM EQUITY,D,6,3,33.6,488,2025-07-18,MAND,4/5,28.01,27.44,27.05,5.8,8.25,Next Thing Uno,4446,20.0
"",D,1,8,33.5,488,2025-07-11,MAND,5,27.64,27.64,27.33,5.82,5.75,Wild Milly,1111,4.2
"",D,1,7,33.3,488,2025-07-03,MAND,5/6,27.97,27.97,27.97,5.73,1.5,Sunset Pacquiao,1111,11.0
"",D,5,8,32.9,488,2025-06-27,MAND,3/4,28.19,27.79,27.79,5.9,5.75,All About Stone,7775,71.0
"",D,2,2,32.9,488,2025-06-20,MAND,4/5,28.12,27.88,27.88,5.7,3.5,Slick Angel,1122,14.0
2. Spooky Hook,D,7,2,34.2,520,2025-06-07,CANN,OPEN,30.29,29.56,29.56,5.49,10.25,Bezzecchi,27677,6.0
"",D,4,7,34.4,520,2025-05-31,CANN,FFA,30.02,29.73,29.6,5.5,4.25,Sunset Hornet,22334,20.0
"",D,1,8,34.2,520,2025-05-24,CANN,FFA,30.44,30.44,29.76,5.52,0.25,Bezzecchi,22221,26.0
"",D,5,8,34.3,520,2025-05-17,CANN,FFA,30.21,29.77,29.47,5.57,6.25,Sunset Hornet,34445,19.0
"",D,3,8,34.2,520,2025-05-10,CANN,FFA,30.03,29.71,29.7,5.65,4.5,GIACOMO,54333,11.0
3. Sunset Nightjar,D,6,1,36.8,400,2025-07-18,MAND,FFA,22.9,22.34,22.34,6.4,8.0,ASTON NERO,666,8.0
"",D,3,3,36.5,400,2025-07-11,MAND,FFA,22.71,22.19,22.12,6.27,7.5,Surf The Sun,343,7.0
"",D,3,5,36.3,488,2025-07-04,MAND,FFA,27.63,27.51,27.51,5.74,1.75,Kryptonite,2223,2.65
"",D,3,8,36.4,400,2025-06-27,MAND,OPEN,22.55,22.31,22.31,6.37,3.5,Sunset Ali,533,9.5
"",D,3,6,36.2,400,2025-06-20,MAND,OPEN,22.87,22.59,22.59,6.4,4.0,Surf The Sun,343,3.0
4. CRACKERJACK SCUD,D,4,8,31.5,400,2025-07-18,MAND,FFA,22.63,22.34,22.34,6.36,4.25,ASTON NERO,444,16.0
"",D,5,6,31.5,400,2025-07-11,MAND,FFA,22.83,22.19,22.12,6.39,9.25,Surf The Sun,665,12.0
"",D,7,7,31.3,400,2025-06-27,MAND,FFA,23.03,22.34,22.31,6.32,9.75,Farmer Russell,367,5.5
"",D,4,5,31.3,400,2025-06-20,MAND,OPEN,23.05,22.6,22.59,6.35,6.25,Sunset Hornet,234,11.0
"",D,1,8,31.3,400,2025-06-13,MAND,FFA,22.67,22.67,22.31,6.35,0.5,Farmer Russell,411,3.5
5. Slick Angel,B,5,3,26.5,400,2025-07-18,MAND,3/4,22.83,22.62,22.34,6.26,3.0,Celtic Goddess,135,8.0
"",B,1,3,26.6,520,2025-07-12,CANN,5,30.31,30.31,29.66,5.51,1.0,Farmer Russell,12221,13.0
"",B,6,4,26.8,520,2025-07-05,CANN,4/5,30.31,30.08,29.62,5.53,3.25,Rosie Browne,65666,5.0
"",B,5,6,27.0,520,2025-06-28,CANN,4/5,30.21,29.52,29.52,5.53,9.75,Junk Yard Clyde,23335,11.0
"",B,1,4,26.6,488,2025-06-20,MAND,4/5,27.88,27.88,27.88,5.79,3.5,PREMIUM EQUITY,2211,1.95
6. All About Stone,D,3,1,32.2,488,2025-07-11,MAND,FFA,27.52,27.33,27.33,5.73,2.5,Wise Barra,4533,3.5
"",D,2,6,32.2,488,2025-07-04,MAND,FFA,27.62,27.51,27.51,5.82,1.5,Kryptonite,4332,12.0
"",D,1,4,32.0,488,2025-06-27,MAND,3/4,27.79,27.79,27.79,5.82,2.25,Formula Fun,5421,10.0
"",D,3,8,32.4,488,2025-06-20,MAND,4/5,28.15,27.88,27.88,5.96,3.75,Slick Angel,6543,4.0
"",D,1,8,32.5,488,2025-06-13,MAND,4/5,27.8,27.8,27.64,5.84,3.0,MAXIMUM HUGHES,5321,6.5
7. Mr. Taylor,D,6,3,35.1,520,2025-07-12,CANN,5,30.61,30.11,29.66,5.68,7.0,Premium Star,64446,41.0
"",D,7,7,35.2,520,2025-07-05,CANN,4/5,30.57,30.08,29.62,5.53,7.0,Rosie Browne,58777,21.0
"",D,1,1,35.1,488,2025-06-24,MAND,5,27.47,27.47,27.47,5.62,5.75,Must Be Speedy,1111,2.75
"",D,3,5,35.1,400,2025-06-17,MAND,5,23.07,22.92,22.78,12.0,2.0,Charos Legend,553,15.0
"",D,1,4,35.1,488,2025-06-12,MAND,4/5,27.77,27.77,27.76,5.77,1.0,Oliver Gundi,2211,10.0
8. Must Be Speedy,D,4,3,33.0,488,2025-07-18,MAND,4/5,28.37,27.74,27.05,6.01,9.0,Ditalini Monelli,5444,17.0
"",D,6,7,32.8,400,2025-07-11,MAND,4,22.62,22.12,22.12,6.37,7.0,ASTON NERO,566,41.0
"",D,1,8,32.9,488,2025-07-01,MAND,5,27.71,27.71,27.66,5.71,1.0,Clifton Thayne,1111,8.5
"",D,2,7,33.2,488,2025-06-24,MAND,5,27.88,27.47,27.47,5.76,5.75,Mr. Taylor,2222,4.2
"",D,1,7,33.1,488,2025-06-17,MAND,5,28.03,28.03,28.03,5.7,4.75,GO SEEK FRANCENE,1111,3.5
