Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. PAW VALENTINA,B,7,5,23.1,407,2025-07-16,ROCK,5,24.44,23.96,23.66,9.48,6.75,Barefoot Rogue,7,3.7
"",B,7,5,23.1,407,2025-07-13,ROCK,5,24.38,23.73,23.33,9.52,9.25,Una Knows,7,14.0
"",B,3,2,23.2,407,2025-07-06,ROCK,5,24.04,23.75,23.73,9.33,4.25,Velocity Smolder,3,3.7
"",B,1,4,23.2,407,2025-07-02,ROCK,5,23.97,23.97,23.46,9.11,1.5,How's Warren,1,3.6
"",B,4,7,24.5,390,2025-05-26,BAL,Grade 5 T3,22.686,22.456,22.296,8.765,3.5,THAT'S A BOODIE,4,6.0
2. Sirius Todd,D,1,1,34.1,407,2025-07-20,ROCK,5,24.06,24.06,23.8,9.24,1.0,Dropping Gears,1,3.9
"",D,6,7,33.9,407,2025-07-16,ROCK,5,24.28,23.96,23.66,9.5,4.5,Barefoot Rogue,6,15.0
"",D,5,4,33.5,331,2025-06-22,APSU,5,19.5,18.92,18.68,7.32,8.25,Roscoe Ray,45,34.0
"",D,7,6,33.1,352,2025-06-19,QOT,5,20.49,19.77,19.47,4.24,10.25,Doongalla Pedro,887,16.0
"",D,3,8,33.5,331,2025-06-15,APSU,5,19.41,19.2,18.69,7.44,3.0,Ringbark Range,73,26.0
3. Miss Manaudou,B,1,8,29.0,407,2025-07-13,ROCK,5,23.6,23.6,23.33,9.06,2.5,Sergeant Green,1,1.9
"",B,5,3,29.1,407,2025-07-02,ROCK,5,24.26,24.02,23.46,9.52,3.5,Velocity Commit,5,3.0
"",B,1,3,29.4,407,2025-06-25,ROCK,6,23.8,23.8,23.54,9.01,4.5,Berry Beach,1,3.5
"",B,6,4,29.4,407,2025-06-18,ROCK,6,24.61,23.98,23.64,9.78,9.0,Velocity Smolder,6,26.0
"",B,1,7,29.2,407,2025-06-11,ROCK,M,23.72,23.72,23.72,8.98,8.75,Miss Senorita,1,7.5
4. River Runs Dry,B,8,8,25.6,390,2025-07-14,QOT,5,22.67,21.99,21.53,6.23,9.75,Mac Deuce,778,6.0
"",B,8,2,25.0,520,2025-05-19,QTT,5,31.23,30.12,29.7,5.13,15.75,Wiggle On,1268,7.0
"",B,3,4,25.0,520,2025-05-12,QTT,5,30.14,29.98,29.48,5.13,2.25,Quicker Sophie,2223,4.2
"",B,6,5,25.1,457,2025-05-03,QOT,5,26.02,25.64,25.4,4.33,5.25,Sweetest Of All,146,18.0
"",B,1,4,25.3,395,2025-04-23,APWE,5,22.75,22.75,22.58,10.57,0.031,Katy Talks,21,15.0
5. LAPPIN,D,6,7,32.4,407,2025-06-18,ROCK,5,24.39,23.84,23.64,9.49,7.75,WEBLEC WHISPER,6,7.0
"",D,5,1,32.2,407,2025-06-15,ROCK,5,24.17,23.85,23.46,9.38,4.5,Aston Cherokee,5,1.75
"",D,1,2,32.5,407,2025-05-28,ROCK,5,23.85,23.85,23.73,9.15,2.0,Jaggery,1,3.0
"",D,2,7,32.5,407,2025-05-25,ROCK,5,24.23,24.12,23.71,9.39,1.5,Aviator,2,2.0
"",D,1,3,32.0,407,2025-05-18,ROCK,6,23.88,23.88,23.55,9.14,2.0,Velocity Reba,1,2.4
6. MISS ETIQUETTE,B,4,6,27.4,407,2025-07-16,ROCK,5,24.14,23.96,23.66,9.39,2.5,Barefoot Rogue,4,16.0
"",B,7,3,27.3,407,2025-07-09,ROCK,4,24.37,23.86,23.67,9.29,7.25,Zipping Bonanza,7,14.0
"",B,3,1,27.1,407,2025-07-02,ROCK,4/5,24.23,23.46,23.46,9.28,11.0,Riding Solo,3,4.2
"",B,3,5,27.3,407,2025-06-25,ROCK,4,24.23,23.89,23.54,9.16,4.75,WEBLEC WHISPER,3,16.0
"",B,7,8,27.1,407,2025-06-18,ROCK,3/4,24.29,23.64,23.64,9.35,9.25,PAW ALLEY,7,17.0
7. Unique Ability,B,2,4,27.2,407,2025-07-20,ROCK,5,24.03,23.91,23.8,9.16,1.75,Cosmic Beach,2,1.5
"",B,2,3,26.9,407,2025-07-13,ROCK,5,23.84,23.73,23.33,9.15,1.5,Una Knows,2,7.5
"",B,1,8,26.9,407,2025-07-09,ROCK,5,24.01,24.01,23.67,9.24,0.031,Barefoot Rogue,1,3.1
"",B,2,2,27.1,407,2025-07-06,ROCK,5,24.29,24.06,23.73,9.42,3.25,PATRIOT COUGAR,2,1.85
"",B,1,4,26.9,407,2025-06-29,ROCK,6,23.89,23.89,23.71,9.06,4.25,Any Reason,1,3.2
8. ASTON HAYES,D,2,2,30.3,407,2025-07-16,ROCK,5,24.0,23.96,23.66,9.1,0.75,Barefoot Rogue,2,9.5
"",D,6,5,30.1,407,2025-07-09,ROCK,4/5,24.59,24.0,23.67,9.48,8.25,Gifted Lilly,6,13.0
"",D,4,5,30.1,407,2025-07-02,ROCK,4,24.23,23.78,23.46,9.24,6.25,Slick Ram,4,21.0
"",D,6,1,30.0,407,2025-06-25,ROCK,4,24.54,23.89,23.54,9.55,9.25,WEBLEC WHISPER,6,3.3
"",D,6,8,30.1,510,2025-06-18,ROCK,5/6,30.85,30.02,30.02,4.85,11.75,Lucky Red,6,3.4
