Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. MATTY BOY,D,3,8,33.5,390,2025-08-14,WAR,Free For All,22.219,21.76,21.76,,7.0,Sketchy Demos,3,12.0
"",D,4,6,32.6,390,2025-07-31,WAR,Mixed 3/4,22.484,22.053,21.968,,6.5,Rock It Queen,4,12.0
"",D,1,4,32.4,390,2025-07-24,WAR,Grade 5,22.283,22.283,21.94,,1.5,SEATS TWO,1,4.8
"",D,5,8,32.5,390,2025-07-17,WAR,Grade 5,23.239,22.242,21.932,,15.0,PAW JENNEKE,5,6.5
"",D,3,2,32.1,390,2025-07-10,WAR,Grade 5,22.526,22.38,22.008,8.71,2.25,Lektra Damian,3,8.0
2. MISCHIEF MATE,D,4,4,35.2,410,2025-08-12,HOR,Grade 5,23.606,23.473,23.012,,2.0,FROG MARCH,4,8.0
"",D,7,4,35.3,390,2025-08-07,WAR,Free For All,22.654,22.103,21.943,9.205,8.25,ZERO KILLER,7,8.0
"",D,5,1,35.3,400,2025-08-01,GEE,Grade 5,22.97,22.531,22.15,8.6695,6.75,PAW MANTRA,5,6.5
"",D,1,7,35.1,390,2025-07-24,WAR,Free For All,22.113,22.113,21.94,8.56,3.75,Lektra Damian,1,4.2
"",D,5,6,35.2,410,2025-07-15,HOR,Grade 5,23.979,23.358,23.265,,9.5,LEKTRA SOLO,5,12.0
3. BRING YOUR BEST,D,3,8,32.7,390,2025-08-11,SHE,Mixed 4/5,22.195,21.994,21.964,8.49,3.0,TANNER BALE,3,8.5
"",D,4,2,32.6,390,2025-08-04,SHE,Grade 5,22.15,21.959,21.901,,3.0,Wario,4,5.0
"",D,1,1,32.7,400,2025-07-25,GEE,Grade 5,22.541,22.541,22.317,8.25,0.75,PAW ZEVON,1,6.5
"",D,2,4,32.7,390,2025-07-17,WAR,Mixed 3/4,22.166,21.932,21.932,,3.5,BETTER BANJO,2,9.0
"",D,5,1,32.5,400,2025-07-11,GEE,Grade 5,22.993,22.581,22.258,8.71925,6.25,Myall Mate,5,3.6
4. Nineteen Crimes,D,4,3,33.3,425,2025-08-01,BEN,Grade 5,24.235,23.887,23.53,,5.25,WE ARE ONE,4,3.6
"",D,1,1,33.3,450,2025-07-24,WAR,Grade 5,25.513,25.513,25.12,,1.5,Bourne Supremacy,1,6.0
"",D,3,6,33.3,425,2025-07-18,BEN,S/E Veteran,24.174,23.945,23.807,6.7375,3.5,Blue Cabang,3,6.0
"",D,1,2,33.4,390,2025-07-08,BAL,Grade 5,22.526,22.526,22.492,8.6145,3.25,REDEEMER BELLE,1,3.0
"",D,6,4,33.1,390,2025-06-26,WAR,Grade 4,22.449,21.771,21.771,,10.25,TOMMY TEQUILA,6,5.0
5. MEAN PEACE,B,5,6,28.6,390,2025-07-28,SHE,Mixed 4/5,22.5,21.559,21.559,8.41,14.25,Hotel Whisky One,5,13.0
"",B,7,4,28.9,390,2025-01-30,WAR,Grade 4,24.02,22.37,22.025,8.984,24.75,MAN OF COURAGE,7,3.4
"",B,1,4,28.9,390,2025-01-23,WAR,Grade 5,22.115,22.115,21.965,8.51,2.5,My Lady Panama,1,6.5
"",B,1,6,28.9,410,2024-10-29,HOR,Grade 5,23.263,23.263,23.253,10.1,3.75,Nangar Express,1,10.0
"",B,1,4,28.8,410,2024-10-22,HOR,Grade 6,23.467,23.467,22.991,10.2,4.25,TYCOON JILL,1,1.5
6. BETTER BANJO,D,2,2,31.5,400,2025-08-12,WAR,Mixed 3/4,22.77,22.179,22.179,8.26,9.0,Hotel Whisky One,2,5.5
"",D,1,8,31.1,390,2025-08-04,SHE,Mixed 3/4,21.901,21.901,21.901,,5.5,MASSETER,1,2.2
"",D,3,4,31.1,400,2025-07-25,GEE,Mixed 3/4,22.997,22.755,22.317,8.31,3.75,VERDI,3,3.6
"",D,1,3,31.0,390,2025-07-17,WAR,Mixed 3/4,21.932,21.932,21.932,,3.5,BRING YOUR BEST,1,3.2
"",D,1,8,30.9,400,2025-07-11,GEE,Mixed 4/5,22.585,22.585,22.258,8.355,0.5,COME AND SEE,1,2.8
7. NARINGAL MATE,B,4,4,26.7,390,2025-08-14,WAR,Free For All,22.257,21.76,21.76,,7.5,Sketchy Demos,4,26.0
"",B,1,6,26.8,390,2025-08-07,WAR,Grade 5,22.347,22.347,21.943,8.777,0.25,MORAINE QUINN,1,12.0
"",B,2,4,26.7,390,2025-07-31,WAR,Grade 5,22.467,22.304,21.968,,2.5,GUITAR TANGO,2,10.0
"",B,5,8,27.9,450,2025-06-12,WAR,Grade 5,25.976,25.68,24.946,,4.5,DRAGONELLE,5,12.0
"",B,2,3,27.1,390,2025-04-21,WAR,S/E Heat,22.569,22.469,22.046,8.75,1.5,Myola Thunder,2,6.5
8. Rock It Queen,B,2,7,29.7,390,2025-08-14,WAR,Free For All,21.957,21.76,21.76,,3.0,Sketchy Demos,2,4.8
"",B,1,1,29.9,390,2025-08-07,WAR,Free For All,22.103,22.103,21.943,8.575,0.25,,1,2.4
"",B,1,7,29.8,390,2025-07-31,WAR,Mixed 3/4,22.053,22.053,21.968,,1.25,SHAKER STICKER,1,6.5
"",B,3,8,29.7,400,2025-07-22,WAR,Free For All,23.036,22.89,22.665,8.36,2.25,PLAY LAB,3,5.0
"",B,3,4,29.7,390,2025-07-14,SHE,Mixed 4/5,22.367,21.935,21.935,,6.5,Solicit,3,4.4
