Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. CHALK AND CHEESE,D,1,3,31.5,400,2025-07-11,WAR,Maiden,23.375,23.375,22.565,8.655,0.5,HERBIE,1,3.4
"",D,2,3,31.3,400,2025-07-04,WAR,Maiden,23.062,23.021,22.686,,0.75,GALLOPING HAPPY,2,16.0
"",D,5,7,30.9,400,2025-06-20,WAR,Maiden,23.271,22.939,22.421,,5.0,ASTON TORTA,5,6.0
"",D,5,2,30.7,390,2025-06-16,SHE,Maiden,23.304,22.391,21.963,,13.75,TRAJECTORY,5,5.0
2. MIA SIENNA,B,1,8,28.5,400,2025-07-10,WAR,Tier 3 - Maiden,23.446,23.446,22.987,8.52,1.0,RUMOUR I'M BROKE,1,5.0
"",B,2,8,28.3,435,2025-07-06,SAL,Maiden,25.158,25.05,24.398,,1.75,DR. TESSA,2,6.0
"",B,4,4,28.3,435,2025-06-27,SAL,Maiden,25.91,24.668,24.249,,18.75,DR. XANTHIC,4,4.2
"",B,2,1,28.3,400,2025-06-10,WAR,Maiden,23.139,22.652,22.592,8.5075,7.5,FREE POWER,2,11.0
"",B,5,1,28.2,400,2025-05-29,GEE,Maiden Heat,23.373,22.703,22.589,8.84,10.0,ASTON FONTAINE,5,8.0
3. TOUCH MY HAND,B,6,6,25.7,460,2025-07-04,WAR,Mixed 6/7,27.514,26.486,26.113,,15.5,IRISH ZOE,6,18.0
"",B,8,8,25.8,510,2025-06-27,SAL,Mixed 6/7,30.315,28.801,28.76,9.535,22.75,BAYWARA,8,16.0
"",B,6,7,25.9,435,2025-06-18,SAL,Grade 7,25.556,24.481,24.481,5.483,16.25,BLACK ATOM,6,8.0
"",B,8,3,26.5,435,2025-03-12,SAL,Grade 7,25.8825,24.71,24.34,5.611,17.5,ULTIMATE LEXI,8,15.0
"",B,2,4,26.4,425,2025-03-05,BEN,Mixed 6/7,24.622,24.291,23.826,,5.0,AXEDALE QUEEN,2,16.0
4. PHANTOM DONALD,D,2,9,33.1,400,2025-07-03,WAR,Grade 7,23.264,23.241,23.036,8.6375,0.5,SUPREME QUEEN,2,4.2
"",D,6,8,33.4,400,2025-06-05,WAR,Grade 7,23.665,23.244,22.545,,6.5,SILVER COIN,6,3.4
"",D,1,2,33.4,400,2025-05-22,WAR,Maiden,22.995,22.995,22.856,8.47,4.75,MY LITTLE FLOSS,1,16.0
"",D,6,3,33.5,460,2025-01-14,WAR,Maiden,26.773,25.848,25.781,,14.0,INNER VISION,6,9.0
"",D,5,4,33.4,515,2025-01-06,SAN,Maiden,30.638,29.993,29.367,5.345,9.75,WHATEVER JACK,5,12.0
5. JAMS STAR,D,8,7,31.1,460,2025-06-13,WAR,Restricted Win Heat,26.981,25.882,25.695,,16.5,UNLEASH THE LION,8,18.0
"",D,4,2,31.2,460,2025-04-25,WAR,Maiden,26.938,26.532,26.062,,6.25,FROM THE GHETTO,4,6.0
6. CROSS LOCKS,D,6,8,29.5,400,2025-07-11,WAR,Grade 7,23.61,23.043,22.565,8.95175,8.5,DONKEY FLY,6,3.0
"",D,3,6,29.1,400,2025-07-04,WAR,Grade 7,23.391,23.086,22.686,8.64,4.75,FIELD OF ANGELS,3,10.0
"",D,6,3,29.1,435,2025-06-27,SAL,Mixed 6/7,25.36,24.615,24.249,5.519,11.25,ASTON PASTIZZI,6,4.6
"",D,1,3,29.2,400,2025-06-20,WAR,Maiden,22.952,22.952,22.421,,0.75,PARTY STARTED,1,10.0
7. JUMBUK JOZEF,D,8,7,34.4,400,2025-07-11,GEE,Mixed 6/7,23.18,22.891,22.258,,4.5,HULK KING HAMMER,8,16.0
"",D,7,5,34.7,400,2025-01-14,WAR,Grade 7,24.694,23.024,22.579,8.93175,25.0,MAYFAIR JILL,7,4.8
"",D,3,5,35.0,400,2025-01-07,WAR,Mixed 6/7,23.005,22.571,22.55,8.5075,6.5,ZONNEKEYN,3,5.5
"",D,4,2,34.5,390,2025-01-01,BAL,Mixed 6/7 Heat,22.623,22.269,21.966,8.695,5.5,BLACK SANDY,4,7.5
"",D,3,2,34.7,410,2024-12-27,HOR,Grade 7,23.916,23.805,23.276,,1.75,TIME FOR TEA,3,3.6
8. RUMOUR WHY PETER,D,3,1,28.3,400,2025-07-10,WAR,Tier 3 - Grade 7,23.518,22.987,22.987,8.5075,8.0,ASTON ELENI,3,6.5
"",D,2,2,28.1,400,2025-07-03,WAR,Mixed 6/7,23.15,23.136,23.036,8.48,0.25,DARNUM STUMP,2,8.0
"",D,4,2,28.2,400,2025-06-26,WAR,Tier 3 - Grade 7,23.314,22.842,22.805,,7.25,CAN'T IGNORE HER,4,6.5
"",D,7,7,28.3,400,2025-06-20,WAR,Grade 7,23.522,22.965,22.421,,8.5,FAYE VALENTINE,7,10.0
"",D,5,4,28.4,400,2025-06-13,WAR,Mixed 6/7,23.419,22.58,22.58,,12.75,ASGARI BOY,5,8.0
9. SMOKEY NACHO,D,4,10,31.5,300,2025-07-11,HEA,Tier 3 - Grade 7,17.508,17.431,16.75,4.0635,1.25,SUAVE,4,7.5
"",D,6,1,31.1,400,2025-07-04,WAR,Grade 7,23.606,23.086,22.686,8.5875,8.0,FIELD OF ANGELS,6,8.0
"",D,4,3,31.2,400,2025-06-20,WAR,Grade 7,23.096,22.965,22.421,,2.0,FAYE VALENTINE,4,14.0
"",D,4,5,31.3,400,2025-06-12,WAR,Tier 3 - Grade 7,23.27,23.075,22.617,8.505,3.0,INDI GOES BANG,4,8.0
"",D,7,1,31.6,400,2025-06-05,WAR,Grade 7,23.192,22.869,22.545,,5.0,ELSWYK CINNAMON,7,5.0
