Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. SALEENA BALE,B,5,2,32.0,390,2025-07-09,BAL,Grade 7,23.674,22.775,22.065,,13.5,SALTY SNOOP,5,12.0
"",B,4,1,31.9,390,2025-07-01,BAL,Mixed 6/7 Heat,22.718,22.327,22.08,,6.0,NICMAC STAR,4,12.0
"",B,3,3,31.9,390,2025-06-23,BAL,Tier 3 - Grade 7,23.033,22.939,22.401,8.865,1.5,BARELLEN LACE,3,6.0
"",B,4,3,31.5,390,2025-06-14,BAL,Mixed 6/7,22.783,22.565,22.504,,3.5,LAURA MAY,4,8.0
"",B,1,8,31.9,425,2025-05-28,BEN,Tier 3 - Maiden,24.721,24.721,24.155,,1.0,WOW GIRL,1,7.0
2. ELLIOT NOVA,D,7,2,31.1,425,2025-07-16,BEN,Tier 3 - Grade 7,24.812,24.264,23.987,6.655,8.25,CONCRETE KAOS,7,8.0
"",D,4,1,31.1,450,2025-07-07,WAR,Mixed 6/7,26.122,25.737,25.533,6.745,5.75,BIRDHILL NED,4,3.6
"",D,4,1,30.5,425,2025-06-25,BEN,Tier 3 - Restricted Win,24.618,24.085,24.085,6.677,8.0,Vixen Force,4,2.8
"",D,1,4,30.1,425,2025-06-21,BEN,Restricted Win,24.635,24.635,24.051,,2.75,UNLEASH CRIPPS,1,3.0
"",D,3,6,29.7,390,2025-06-16,WAR,Maiden,22.754,22.499,22.192,,4.0,SHE REBEL,3,4.0
3. ANCHOR CRANKER,B,3,2,27.7,390,2025-07-21,WAR,Mixed 6/7,22.446,21.985,21.981,8.8725,7.0,FEDERAL PLAYER,3,16.0
"",B,5,1,27.8,390,2025-07-14,SHE,Mixed 6/7,22.846,22.375,21.935,8.5625,7.25,Fury's Rage,5,12.0
"",B,3,5,28.4,390,2025-06-16,BAL,Tier 3 - Grade 7,22.828,22.73,22.501,8.745,1.5,BLACK APPETITE,3,4.0
"",B,4,5,28.1,400,2025-06-10,WAR,Mixed 6/7 Final,23.486,22.872,22.592,8.74,9.25,ELEVATE,4,26.0
"",B,3,6,28.1,400,2025-06-03,WAR,Mixed 6/7 Heat,23.487,23.033,22.492,,7.0,MANILA PHANTOM,3,13.0
4. Kate's Rift,B,7,8,26.3,390,2025-07-21,WAR,Mixed 6/7,22.824,21.981,21.981,,12.75,BUSH BIG SHOW,7,3.6
"",B,6,2,25.7,320,2025-04-28,WAGA,5,20.41,19.03,18.33,,19.75,Tiger Bell,6,10.0
"",B,6,6,25.4,320,2025-04-25,WAGA,5,19.4,18.33,18.21,,15.25,King Of Asgard,6,26.0
"",B,2,2,25.5,320,2025-04-19,PPK,5,18.75,18.69,18.06,,0.75,Luna Double,5532,3.0
"",B,4,4,25.5,320,2025-04-14,WAGA,5,18.95,18.46,18.46,,7.0,EIGHT OLD MATES,4,21.0
5. SALT SPECKLE,B,1,1,28.7,390,2025-05-03,SHE,Restricted Win,22.435,22.435,22.158,,3.5,JODIE'S ANGEL,1,2.4
"",B,2,4,29.1,390,2025-04-24,SHE,Maiden,22.796,22.79,22.158,,0.25,OLYMPIA ONYX,2,3.6
"",B,2,8,29.2,390,2025-04-14,SHE,Maiden,22.284,22.199,21.967,8.51,1.5,ANGRY MURRAY COD,2,3.2
"",B,3,3,29.1,390,2025-04-03,SHE,Tier 3 - Maiden,22.799,22.718,22.342,,1.25,ARCHER SWEET,3,6.5
"",B,4,7,29.4,425,2025-03-21,BEN,Maiden,24.489,23.959,23.768,,8.0,ZIPPING SIGRID,4,4.0
6. NIGHTMARE,D,2,3,32.6,450,2025-06-12,WAR,Mixed 6/7,25.754,25.322,24.946,,6.5,PAW NEBRASKA,2,9.0
"",D,1,8,32.6,400,2025-06-05,WAR,Maiden,22.886,22.886,22.545,,3.75,SPICE LADY,1,3.6
"",D,5,8,32.8,450,2025-06-02,SHE,Tier 3 - Maiden,26.1,25.569,25.373,,8.0,RED CABANG,5,6.0
"",D,7,10,32.4,410,2025-05-27,HOR,Maiden,24.7585,23.901,23.247,,13.0,LEKTRA JIMMY,7,6.0
"",D,4,8,32.6,450,2025-05-22,SHE,Maiden,25.995,25.439,25.173,,8.5,NO MORE BEER,4,6.0
7. STILTON SWIRL,B,1,1,29.6,390,2025-07-14,WAR,Maiden,22.396,22.396,22.094,,3.0,CHIEF HAMISH,1,4.0
"",B,3,5,29.0,390,2025-07-10,WAR,Maiden,22.754,22.58,22.008,8.96,2.75,Lektra Bella,3,8.0
"",B,6,2,28.6,390,2025-07-03,WAR,Maiden,22.891,22.617,21.88,9.072,4.25,CONCRETE KAOS,6,16.0
"",B,6,5,28.5,410,2025-06-24,HOR,Maiden,24.421,23.635,23.283,,11.75,PAW DROGO,6,8.0
8. CHARGE ON,D,1,1,32.7,400,2025-07-22,GEE,Maiden,23.076,23.076,22.604,8.66,2.5,DIVINE RATIO,1,12.0
"",D,3,3,33.3,400,2025-07-08,GEE,Maiden,23.452,23.35,22.583,,1.75,VOLTS,3,10.0
"",D,2,7,33.0,400,2025-07-01,GEE,Maiden,23.406,22.948,22.644,8.64,7.0,RESTRICTING,2,7.0
"",D,5,2,32.8,350,2025-06-25,HEA,Maiden,20.343,19.506,19.491,6.8415,12.5,BIG PLAYER,5,6.5
"",D,8,8,32.7,400,2025-06-20,WAR,Maiden,23.544,22.939,22.421,,9.25,ASTON TORTA,8,10.0
