Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Rockholes Viv,B,7,4,29.3,400,2025-08-15,WAGA,5,23.83,22.73,22.7,,15.75,LATCH ON,7,34.0
"",B,1,8,29.2,400,2025-08-08,WAGA,M,23.45,23.45,22.8,,0.25,Oakey Lad,1,6.5
"",B,2,8,29.3,400,2025-08-01,WAGA,M,23.48,23.14,22.63,,4.75,AUNTY ALEX,2,7.0
"",B,2,3,29.9,400,2025-07-28,DUBO,M,23.65,23.6,23.01,9.25,0.75,Sister Creek,2222,8.5
"",B,2,5,30.2,330,2025-07-23,TEMA,M,19.28,19.03,18.61,,3.5,Dark Lord,2,19.0
2. Ain't She Grand,B,6,7,27.0,431,2025-08-20,GUNN,5,26.3,25.16,25.08,11.8,16.25,Time To Crank,8566,61.0
"",B,2,2,27.2,516,2025-08-16,DUBO,MX,30.55,30.37,29.77,4.59,2.5,Smart Style,231122,4.6
"",B,4,1,27.3,431,2025-08-13,GUNN,5,25.45,25.0,24.84,11.57,6.25,Genuine Article,1344,2.5
"",B,2,3,27.8,400,2025-08-09,DUBO,5,23.14,23.0,22.94,,2.0,Infrared Pepper,1122,31.0
"",B,6,6,27.5,318,2025-08-02,DUBO,5,19.26,18.29,18.08,4.84,13.75,Coco Mac,2666,81.0
3. Across The Night,B,5,4,24.7,516,2025-08-16,DUBO,MX,30.81,30.37,29.77,4.76,6.25,Smart Style,566655,23.0
"",B,6,1,24.9,516,2025-07-26,DUBO,MX,30.46,29.87,29.87,4.88,8.25,Arctic Image,888866,34.0
"",B,8,5,24.9,516,2025-07-19,DUBO,MX,31.04,29.97,29.97,4.61,15.25,Lily Bloom,688888,51.0
"",B,4,1,25.0,516,2025-07-12,DUBO,MX,30.64,30.04,29.6,4.75,8.5,Goanna Blue,365544,26.0
"",B,6,3,24.8,516,2025-07-05,DUBO,MX,30.89,29.69,29.69,4.74,17.25,Heidi Keeping,677666,61.0
4. Irinka Alana,B,4,4,28.0,457,2025-07-30,TEMA,M,26.45,25.82,25.74,,9.0,Temora Terror,4,8.0
"",B,5,6,28.1,440,2025-07-25,GOUL,M,25.3,24.6,24.6,,10.0,Consigliere,67655,19.0
6. Smart Style,D,1,8,35.1,516,2025-08-16,DUBO,MX,30.37,30.37,29.77,4.59,2.5,Ain't She Grand,654211,4.6
"",D,4,6,35.0,400,2025-08-11,MAIT,M,22.8,22.38,22.27,5.52,6.0,Hey Pat,6664,15.0
"",D,3,3,35.0,324,2025-08-07,RICS,M,18.24,18.13,17.63,7.29,1.5,Snoopy's Ethics,6433,2.6
"",D,3,8,34.9,400,2025-08-04,MAIT,M,23.02,22.37,22.03,5.42,9.25,Naughty Nash,3233,1.8
"",D,5,4,35.2,450,2025-07-21,MAIT,M,25.6,25.3,25.26,8.11,4.25,More Rain,6555,14.0
7. Billie Girl,B,3,7,26.3,516,2025-08-09,DUBO,MX,30.62,30.1,30.1,4.54,7.5,Hand Me Down,522233,9.0
"",B,6,2,26.5,520,2025-07-24,W/PK,5,31.42,29.84,29.65,5.99,22.5,Foxtrot Ethics,1666,71.0
"",B,6,2,26.6,450,2025-07-16,GRAF,MX,26.73,25.53,24.98,9.64,17.25,Gus The Great,6756,31.0
"",B,1,3,26.5,330,2025-07-09,TEMA,M,19.24,19.24,18.69,,0.125,Itchy Knee Sung,1,8.0
"",B,3,7,26.6,350,2025-07-04,GOUL,M,20.56,20.02,19.67,,7.75,Spring Joel,2433,26.0
8. Zipping Streep,B,5,5,27.7,516,2025-08-16,DUBO,MX,30.68,29.77,29.77,4.61,13.0,Le Bron Boy,455555,51.0
"",B,6,4,27.5,516,2025-08-09,DUBO,MX,31.16,30.1,30.1,4.67,15.0,Hand Me Down,467766,21.0
"",B,6,6,27.8,365,2025-07-28,NOWR,M,21.77,20.73,20.58,9.0,14.75,Tiggerlong Snake,66,26.0
"",B,4,8,28.5,516,2025-07-12,DUBO,MX,30.44,29.77,29.6,4.56,9.5,Heidi Keeping,434454,51.0
"",B,6,4,28.8,520,2025-07-03,DAPT,MX,31.01,30.19,30.03,5.63,11.75,Where's Ivy,4566,61.0
