Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
2. FOZZY'S BOY,D,4,3,32.3,390,2025-07-07,WAR,Maiden,22.715,22.462,22.01,9.0325,4.0,MICKEY MOUSE,4,6.0
"",D,4,4,32.1,390,2025-06-30,WAR,Maiden,23.22,22.763,22.299,,7.0,FEMORIS,4,2.5
"",D,5,2,31.7,390,2025-06-26,WAR,Maiden,22.967,22.191,21.771,9.2125,11.75,UNCLE MIKEY,5,12.0
"",D,3,1,31.6,390,2025-06-09,WAR,Maiden,23.006,22.843,22.309,,2.5,BEDEVILLED,3,3.2
"",D,5,6,31.2,390,2025-06-02,WAR,Maiden,23.282,22.664,22.237,,9.25,BUCK RODGERS,5,3.4
4. LARNI LOU,B,7,6,28.2,450,2025-06-19,WAR,Maiden,26.74,25.569,24.716,6.69,17.5,MOONLIGHT RIVER,7,12.0
"",B,5,4,27.9,390,2025-06-04,WAR,Maiden,23.225,22.398,21.749,9.0835,12.5,BLACK NEVERA,5,6.0
"",B,8,2,28.2,450,2025-05-26,WAR,Maiden,26.813,25.669,25.669,,17.25,HOW AMAZING,8,4.8
"",B,5,3,28.5,390,2025-05-22,WAR,Maiden,23.481,22.901,21.937,,8.75,BELAIR BLUE,5,3.2
"",B,7,3,29.3,350,2025-05-11,HEA,Maiden Final,19.809,19.135,18.935,,10.25,SETTLE FOR LESS,7,51.0
6. Boondock Lad,D,2,4,37.2,390,2025-07-07,WAR,Maiden,22.541,22.462,22.01,8.77,1.25,MICKEY MOUSE,2,4.0
"",D,4,6,37.4,390,2025-06-30,WAR,Maiden,22.936,22.512,22.299,,6.5,LEKTRA ROGER,4,12.0
"",D,5,7,37.6,390,2025-06-23,WAR,Maiden,23.496,22.389,21.991,9.3025,16.75,WARLINE HENRY,5,16.0
"",D,4,4,37.3,390,2025-06-02,WAR,Maiden,22.924,22.237,22.237,,10.5,Lektra Bert,4,21.0
"",D,7,8,37.7,390,2025-05-26,WAR,Maiden,23.244,22.48,22.182,9.21,11.5,LEKTRA HANK,7,21.0
8. ASTON DEUTZ,B,2,5,29.5,395,2025-06-27,MBR,M,22.57,22.55,22.2,5.04,0.25,Danyo's Albie,1222,1.15
"",B,2,7,29.5,395,2025-06-20,MBR,M,22.57,22.37,22.0,5.08,2.75,Ruby Rhea,2222,3.2
"",B,3,2,28.8,395,2025-06-13,MBR,M,22.65,22.23,22.12,5.07,6.0,Capybara,3,7.5
