Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. MIDNIGHT IN SALE,D,1,7,33.6,350,2025-08-17,HEA,Grade 5,19.412,19.412,18.985,6.56425,0.75,Kramer's King,1,4.6
"",D,1,5,33.4,390,2025-08-07,SHE,Grade 5 T3,22.632,22.632,22.632,,1.0,Prestia,1,3.2
"",D,3,7,33.4,350,2025-08-03,HEA,Grade 5,19.586,19.538,18.947,6.56,0.75,JUDGEMENT DAY,3,5.5
"",D,6,6,33.2,300,2025-07-20,HEA,Restricted Win Heat,17.112,16.743,16.553,4.02675,5.75,MAXIMUM JASMINE,6,4.2
"",D,1,6,33.0,300,2025-07-11,HEA,Grade 5 T3,16.75,16.75,16.75,,4.0,OCTOBER RAIN,1,2.5
2. RHINE STAR,B,3,7,30.9,435,2025-08-13,SAL,Mixed 4/5,24.84,24.365,24.365,,7.25,FURIOUS FALCON,3,7.0
"",B,1,6,30.8,400,2025-08-07,WAR,Grade 5,22.856,22.856,22.657,8.38,1.0,HOOKED ON YUKI,1,4.6
"",B,6,5,30.3,400,2025-07-31,WAR,Grade 5 T3,23.236,22.948,22.609,8.6525,4.5,BIG TRUCKER,6,7.5
"",B,5,8,29.5,435,2025-07-20,SAL,Grade 5,25.133,24.645,24.283,,7.5,DR. KAI,5,8.0
"",B,1,4,29.9,400,2025-07-10,WAR,Grade 5 T3,23.019,23.019,22.987,8.395,6.5,NO MANNERS,1,3.6
3. DR. GILLIAN,B,6,8,25.3,460,2025-08-08,WAR,Mixed 3/4,26.405,25.718,25.718,,10.5,Irish Bill,6,12.0
"",B,3,5,25.1,435,2025-08-03,SAL,Grade 5,24.606,24.307,24.128,5.385,4.5,RUSSIAN RACCOON,3,16.0
"",B,6,6,25.2,435,2025-07-27,SAL,Free For All,25.015,24.45,24.282,5.479,8.5,Nangar Jim,6,21.0
"",B,4,7,25.2,435,2025-07-20,SAL,Mixed 4/5,24.674,24.345,24.283,,5.0,WHIPPING IT,4,4.8
"",B,1,9,25.6,460,2025-06-24,WAR,Grade 5 Final,26.033,26.033,26.021,6.659,0.25,SHORT STRAW TREV,1,34.0
4. FORGIVENESS,B,6,7,24.8,425,2025-08-15,BEN,Restricted Win,24.889,24.511,23.714,,5.75,SCOTT SIGMA,6,8.0
"",B,1,7,24.8,390,2025-08-04,SHE,Restricted Win,22.085,22.085,21.901,8.43,1.75,FEDERAL PLAYER,1,3.6
"",B,1,1,24.6,390,2025-07-31,WAR,Mixed 6/7,22.171,22.171,21.968,8.57,1.75,BUSH PROFIT,1,3.6
"",B,1,4,24.9,400,2025-07-22,WAR,Grade 7,22.91,22.91,22.665,,2.75,FEDERAL HAVANA,1,2.5
"",B,2,3,24.9,400,2025-07-18,WAR,Mixed 6/7,22.908,22.86,22.31,8.45,0.75,GALLOPING HAPPY,2,2.9
5. SOMERTON KAREN,B,8,1,25.8,435,2025-08-17,SAL,Grade 5,25.211,24.586,24.487,5.3255,9.5,DAINTREE VISION,8,10.0
"",B,3,7,25.9,435,2025-08-10,SAL,Mixed 4/5,24.754,24.497,24.119,5.3175,4.0,SOLAR SPECTRUM,3,12.0
"",B,6,1,24.9,515,2025-07-21,SAN,Grade 5,30.261,29.637,29.362,,9.5,Lyndl Said No,6,15.0
"",B,4,1,25.0,460,2025-07-15,WAR,Mixed 4/5,26.617,26.206,26.017,,6.25,ENZOLA,4,23.0
"",B,1,6,25.1,460,2025-07-11,WAR,Grade 5,26.672,26.672,25.851,6.57,0.25,Royal Magpie,1,10.0
6. TERRORISING TOM,D,3,2,30.9,435,2025-08-17,SAL,Grade 5,25.113,24.746,24.487,5.4475,5.5,CATCH A CUTIE,3,16.0
