Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. PAW BODHI,B,7,2,28.3,525,2025-07-05,MEA,Mixed 4/5,30.893,30.038,29.913,5.37925,13.0,Spring Miles,7,31.0
"",B,7,3,27.7,510,2025-06-29,SAL,Grade 5,29.79,28.849,28.849,9.8225,14.25,PAW QUANDA,7,5.0
"",B,5,6,27.5,450,2025-06-25,BAL,Grade 5,26.191,25.722,25.722,6.973,7.0,BLACK STATESMAN,5,9.0
"",B,8,3,27.5,435,2025-06-22,SAL,Mixed 4/5,25.247,24.268,24.261,,14.75,IT'S MIKADO TIME,8,14.0
"",B,7,6,27.5,485,2025-05-13,HOR,Mixed 4/5,27.762,27.184,27.184,,8.75,INTREPID BALE,7,8.0
2. Obstropalous,D,6,7,38.4,525,2025-07-09,MEA,Grade 5 T3,31.136,30.808,30.145,5.291,5.0,Kid Luck,6,10.0
"",D,7,1,38.5,450,2025-07-02,BAL,Grade 5,26.125,25.596,25.213,,8.0,Kimiko,7,12.0
"",D,7,2,38.5,450,2025-06-26,WAR,Grade 5,25.753,25.387,25.276,,5.5,MANAGER,7,16.0
"",D,8,3,38.1,425,2025-06-20,BEN,Grade 5,24.891,24.036,23.851,6.772,13.0,PAW RIVAL,8,16.0
"",D,5,2,38.0,515,2025-04-21,SAN,Grade 5 Final,30.356,29.803,29.355,5.259,8.5,PAW ALEXIS,5,9.5
3. Joan's Gem,B,4,6,28.7,515,2025-06-30,SAN,Grade 5 No Penalty,30.453,29.814,29.444,,9.75,Cash Now,4,10.0
"",B,7,8,28.7,600,2025-06-14,MEA,Grade 5,35.56,34.72,34.609,,12.75,CHICKEN FISH,7,26.0
"",B,1,1,28.8,515,2025-05-05,SAN,Grade 5 No Penalty,30.207,30.207,29.054,5.2575,2.25,BENGAL BULLET,1,3.0
"",B,7,6,28.5,515,2025-04-28,SAN,Grade 5 No Penalty,30.403,29.788,29.495,5.247,9.25,WILD CUDDLE,7,14.0
"",B,3,8,29.4,400,2025-04-10,WAR,Grade 5 T3,23.02,22.96,22.96,,1.0,JACK'S ELATION,3,4.8
4. AFTERSHOCK,D,3,1,34.7,460,2025-07-10,WAR,Grade 5 T3,26.695,26.627,26.291,6.7075,1.25,BAGGIO,3,7.5
"",D,6,8,34.3,450,2025-07-03,SHE,Grade 5 T3,25.968,25.269,25.269,6.84525,10.5,AUNTY ETHEL,6,3.6
"",D,5,2,34.5,460,2025-06-26,WAR,Grade 5 T3,26.477,26.286,26.286,,3.0,BAGGIO,5,10.0
"",D,6,7,33.6,545,2025-06-09,BAL,Grade 5 T3,32.155,31.49,31.49,,10.0,PAW JULIA,6,3.4
"",D,1,2,33.8,515,2025-06-02,SAN,Grade 5 No Penalty,29.92,29.92,29.593,5.12,5.25,CALL SECURITY,1,3.4
5. SMOOTH PRINCE,D,1,6,31.8,510,2025-06-18,SAL,Grade 5,29.076,29.076,29.076,9.2225,4.25,MAGICAL PAWS,1,5.0
"",D,1,6,31.6,545,2025-06-14,BAL,Grade 5,31.562,31.562,31.562,,3.25,RANGER'S GIRL,1,8.0
"",D,4,8,31.8,500,2025-06-06,BEN,Grade 5 Non Penalty Heat,28.801,28.631,28.183,,2.75,BAG OF SNAGS,4,10.0
"",D,3,5,32.0,500,2025-05-28,BEN,Grade 5 T3,28.781,28.647,28.39,,2.0,BAG OF SNAGS,3,10.0
"",D,7,5,32.2,510,2025-05-21,SAL,Grade 5 T3,29.78,29.172,29.06,9.57775,9.25,Mixed Dozen,7,21.0
6. JAIRON BALE,D,8,9,31.0,510,2025-07-13,SAL,Mixed 4/5,29.854,29.128,28.821,,11.0,Lyndl Said No,8,26.0
"",D,6,8,31.5,460,2025-07-03,WAR,Mixed 4/5,27.15,26.75,26.614,6.8975,6.0,Hatenna Bale,6,16.0
"",D,4,2,31.2,515,2025-06-23,SAN,Grade 5 No Penalty,30.763,29.932,29.45,5.2845,12.5,TARGET RANGE,4,15.0
"",D,4,6,31.6,510,2025-06-18,SAL,Restricted Win,30.009,29.31,29.076,9.7585,10.5,BALLYMAC STORM,4,12.0
"",D,8,5,31.3,460,2025-06-13,WAR,Restricted Win Heat,26.673,26.154,25.695,,7.75,TRENDY TOMMY,8,21.0
7. Superfly Girl,B,5,8,27.5,515,2025-06-30,SAN,Grade 5 No Penalty,30.444,30.024,29.444,,6.5,GUSTO,5,6.5
"",B,1,6,27.5,350,2025-06-27,HEA,Grade 5 T3,19.839,19.839,19.485,6.71675,0.5,RIVER KING,1,6.5
