Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Tumbleweeds,B,4,4,30.5,407,2025-08-13,ROCK,5,24.68,24.23,23.76,9.21,6.25,Exploitation,4,41.0
"",B,5,2,30.9,407,2025-08-06,ROCK,5,24.85,24.42,23.7,9.32,6.0,Jester Beach,5,11.0
"",B,5,7,30.6,407,2025-07-30,ROCK,5,24.97,23.86,23.62,9.61,15.75,Feisty Fawny,5,26.0
"",B,5,7,30.6,407,2025-07-23,ROCK,5,24.7,23.81,23.67,9.49,12.75,CORONATION DAY,5,81.0
"",B,3,6,30.4,407,2025-07-16,ROCK,5,24.53,24.18,23.66,9.19,5.0,Hacienda Dream,3,41.0
2. Tommy Trouble,D,7,6,33.1,407,2025-08-17,ROCK,5,24.42,24.09,23.77,9.56,4.75,Unstable Mable,7,21.0
"",D,6,2,33.4,407,2025-08-13,ROCK,5,24.41,24.09,23.76,,4.5,Cosmic Beach,6,9.5
"",D,3,9,32.9,407,2025-08-10,ROCK,4/5,24.26,23.47,23.47,9.25,11.25,Tijuana Twinkle,3,11.0
"",D,8,8,32.8,407,2025-08-06,ROCK,4/5,24.71,23.99,23.7,9.37,10.25,Unique Ability,8,23.0
"",D,5,6,33.3,407,2025-08-03,ROCK,5,24.66,24.24,23.7,9.52,6.0,Velocity Reba,5,4.6
3. SEEK TO FLY,B,3,8,27.6,407,2025-08-13,ROCK,5,24.59,24.23,23.76,9.62,5.25,Exploitation,3,12.0
"",B,4,4,27.7,407,2025-08-06,ROCK,5,24.73,24.42,23.7,9.41,4.25,Jester Beach,4,3.7
"",B,3,2,27.4,407,2025-07-30,ROCK,5,24.27,23.86,23.62,9.38,5.75,Feisty Fawny,3,10.0
"",B,6,6,27.6,407,2025-07-23,ROCK,5,24.77,23.81,23.67,9.6,13.75,CORONATION DAY,6,31.0
"",B,1,1,27.5,407,2025-07-16,ROCK,6,24.35,24.35,23.66,9.17,0.75,Rosa's Shorty,1,2.15
4. PAW GENEVIEVE,B,6,5,24.7,407,2025-08-13,ROCK,5,24.78,24.23,23.76,9.81,7.75,Exploitation,6,19.0
"",B,5,6,25.1,407,2025-06-29,ROCK,5,24.67,24.19,23.71,9.56,6.75,Awesome Cambla,5,71.0
"",B,3,5,25.9,390,2025-06-12,SHE,Grade 6,22.937,22.565,22.393,8.7875,5.75,JUST ANGELIC,3,10.0
"",B,5,5,25.6,390,2025-06-09,BAL,Tier 3 - Grade 6,23.056,22.588,22.404,,7.0,SERENITY GIRL,5,7.5
"",B,7,2,25.4,390,2025-06-02,WAR,Mixed 6/7,23.038,22.36,22.237,,10.25,LEKTRA HOPPER,7,6.5
5. Spot On Boys,D,4,1,32.8,407,2025-08-17,ROCK,5,24.25,23.81,23.77,9.44,6.25,Dropping Gears,4,12.0
"",D,5,7,32.9,407,2025-08-10,ROCK,R/W,24.64,23.78,23.47,9.38,12.25,Sing My Song,5,81.0
"",D,4,6,32.9,407,2025-08-03,ROCK,R/W,24.58,24.03,23.7,9.67,7.75,Velocity Smolder,4,51.0
"",D,6,5,33.4,407,2025-07-27,ROCK,5,24.63,24.01,23.65,9.61,8.75,Unique Ability,6,34.0
"",D,3,2,33.2,407,2025-07-20,ROCK,5,24.08,23.91,23.8,9.17,2.25,Cosmic Beach,3,51.0
6. Burrum Betty,B,4,2,29.0,407,2025-08-13,ROCK,M5,24.33,23.96,23.76,9.54,5.25,Case Dismissed,4,41.0
"",B,7,1,28.4,407,2025-08-06,ROCK,M5,24.57,23.78,23.7,9.92,11.25,Case Dismissed,7,18.0
"",B,4,3,28.3,407,2025-07-30,ROCK,M5,24.2,23.95,23.62,9.47,3.5,Bargara Killian,4,18.0
"",B,4,1,28.6,407,2025-07-27,ROCK,M5,24.46,24.26,23.65,9.59,2.75,Andromache,4,7.5
"",B,6,1,28.5,407,2025-07-16,ROCK,M5,24.72,24.04,23.66,9.67,9.75,DUNDEE LEXI,6,8.5
7. Cambla Sensei,B,6,2,25.6,407,2025-08-03,ROCK,M5,24.74,24.38,23.7,9.22,5.25,Tick And Flick,6,8.5
"",B,4,6,25.9,407,2025-07-06,ROCK,M5,24.46,24.27,23.73,9.2,2.5,Cambla Clown,4,7.5
"",B,8,7,26.3,407,2025-06-29,ROCK,4/5,27.56,24.12,23.71,12.11,49.25,Penny Daze,8,16.0
"",B,3,1,26.0,407,2025-06-15,ROCK,5,24.0,23.46,23.46,9.07,7.75,Golden Envy,3,23.0
"",B,2,6,25.9,407,2025-06-08,ROCK,5,24.41,23.94,23.61,9.38,6.5,Exploitation,2,18.0
8. Boulder Beach,D,4,5,33.7,407,2025-08-17,ROCK,5,24.59,24.25,23.77,9.78,4.75,Velocity Kirrily,4,6.5
"",D,2,1,33.8,407,2025-08-13,ROCK,5,24.4,24.23,23.76,9.25,2.25,Exploitation,2,5.0
"",D,5,6,33.8,407,2025-08-10,ROCK,5,24.26,23.64,23.47,9.45,8.75,Farmor Jacuzzis,5,16.0
"",D,8,7,33.3,407,2025-08-06,ROCK,5,24.71,23.85,23.7,9.25,12.25,PAW VALENTINA,8,34.0
"",D,2,4,33.6,407,2025-08-03,ROCK,5,24.38,24.24,23.7,9.4,2.0,Velocity Reba,2,9.0
