Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. DR. GABRIELLA,B,1,7,26.7,435,2025-07-09,SAL,Grade 5,25.03,25.03,24.702,5.3635,0.25,ACE OF PACE,1,5.5
"",B,8,3,27.3,460,2025-06-03,WAR,Grade 5,27.044,26.103,26.103,,14.25,SAVANNAH STAR,8,9.5
"",B,1,7,26.8,510,2025-05-11,SAL,Mixed 4/5,29.109,29.109,29.109,,1.25,Valve Bounce,1,10.0
"",B,3,4,26.9,510,2025-05-07,SAL,Grade 5 T3,29.339,29.282,29.062,,1.0,Madalia Snoopy,3,4.2
"",B,3,4,26.8,435,2025-05-02,SAL,Grade 5,24.808,24.598,24.402,,3.25,COLLINDA LAW,3,4.2
2. ZIPPING REMY,D,8,4,30.1,450,2025-07-14,WAR,Grade 5,26.146,25.489,25.489,,10.0,LEKTRA JANE,8,10.0
"",D,2,6,30.6,450,2025-07-07,WAR,Grade 5,25.868,25.856,25.533,6.81625,0.25,JETSON EXPRESS,2,3.6
"",D,4,7,30.7,450,2025-06-30,WAR,Grade 5,26.071,25.773,25.55,6.8325,4.5,BLACK LICORICE,4,5.0
"",D,4,10,30.8,460,2025-06-26,WAR,Grade 5 T3,26.788,26.65,26.286,,2.25,Redshift Victory,4,12.0
"",D,5,7,30.6,450,2025-06-23,WAR,Grade 5,26.2,25.736,25.356,6.997,7.0,SHE'S VERSACE,5,6.5
3. ZIPPING SCOOBY,D,6,2,32.8,390,2025-07-10,WAR,Grade 5,23.02,22.415,22.008,9.0575,9.25,OLLIE DEEDS,6,16.0
"",D,7,5,33.3,400,2025-07-01,WAR,Grade 5,23.505,22.685,22.631,,12.25,FLYING DOORMAT,7,16.0
"",D,1,1,33.8,485,2025-02-14,HOR,Restricted Win,27.771,27.771,27.239,,0.25,Sunny Marionvale,1,2.5
"",D,5,8,34.6,485,2025-01-28,HOR,Grade 5,27.849,26.881,26.881,,14.5,ELLIOTT,5,12.0
"",D,3,2,34.4,500,2025-01-25,BEN,Grade 5,29.046,28.927,28.582,,2.0,MCIVOR ALFY,3,5.0
4. KELLY JANE,B,3,4,26.7,510,2025-07-09,SAL,Mixed 4/5,29.305,29.108,29.108,,3.0,Bandit Barbie,3,3.6
"",B,6,8,26.6,435,2025-07-06,SAL,Grade 5,25.267,24.495,24.398,,11.75,DR. HAROLD,6,4.8
"",B,4,10,26.6,435,2025-07-02,SAL,Grade 5 T3,25.246,25.082,24.796,5.3045,2.5,OUR MABEL,4,4.2
"",B,7,7,27.0,435,2025-06-15,SAL,Grade 4,25.042,24.541,23.982,5.3565,7.5,KIT,7,4.0
"",B,6,4,27.5,435,2025-06-08,SAL,Mixed 3/4,24.896,24.087,24.053,,12.25,ASTON FANTASTIC,6,8.0
5. OCTOBER RAIN,B,2,8,25.8,300,2025-07-11,HEA,Grade 5 T3,17.007,16.75,16.75,,4.0,MIDNIGHT IN SALE,2,15.0
"",B,6,10,26.1,300,2025-06-13,HEA,Grade 5 T3,17.216,16.99,16.99,,3.5,LITTLE MISS ENVY,6,6.5
"",B,6,4,26.1,435,2025-05-11,SAL,Grade 5,25.645,24.51,24.166,5.25,17.0,Fantastic Zohan,6,3.5
"",B,3,3,26.3,435,2025-04-30,SAL,Restricted Win Heat,25.194,25.135,24.566,5.3,1.0,DERMOTT ROSE,3,3.6
"",B,6,4,26.4,435,2025-04-23,SAL,Grade 5 Heat,25.31,24.639,24.417,5.22,10.25,JUMBUK GERHARD,6,5.0
6. WARRIOR JACK,D,8,8,34.6,515,2025-07-07,SAN,Grade 5,31.844,29.43,29.335,5.27425,36.25,Compton Gold,8,18.0
"",D,2,4,34.7,515,2025-06-30,SAN,Grade 5 Tier 3 Heat,30.543,30.341,29.444,,3.25,MYALL MEG,2,3.5
"",D,8,6,34.9,435,2025-06-27,SAL,Grade 5 Final,25.599,24.762,24.249,,12.5,DAD'S JAM DONUT,8,12.0
"",D,2,1,35.2,435,2025-06-18,SAL,Grade 5 Heat,24.974,24.723,24.481,,3.75,KILMANY WARRIOR,2,3.0
"",D,6,8,34.7,435,2025-06-15,SAL,Grade 4,24.968,24.541,23.982,5.3215,6.5,KIT,6,12.0
7. IRON TYSON,D,7,7,33.9,400,2025-07-10,WAR,Grade 5 T3,23.51,23.224,22.987,,4.5,ART THE CLOWN,7,6.0
"",D,3,4,33.4,400,2025-07-01,GEE,Mixed 4/5,23.597,22.985,22.644,8.73925,9.25,JACAERYS BALE,3,6.5
"",D,6,4,34.1,460,2025-06-10,WAR,Mixed 4/5,26.591,26.169,25.931,,6.5,CANYA JIVE,6,15.0
"",D,2,1,34.2,460,2025-06-05,WAR,Grade 5,26.292,26.272,26.223,,0.5,JAMS NIMBLE,2,4.6
"",D,5,3,33.9,460,2025-05-27,GEE,Grade 5,26.776,26.219,26.126,6.9925,8.5,AMBANI,5,6.5
8. OUR MABEL,B,4,5,26.6,435,2025-07-09,SAL,Grade 5,25.023,24.909,24.702,,1.75,Arlunya,4,8.0
"",B,1,7,26.3,435,2025-07-02,SAL,Grade 5 T3,25.082,25.082,24.796,5.371,1.0,DAINTREE VISION,1,15.0
"",B,5,6,26.1,435,2025-06-29,SAL,Grade 5,25.097,24.87,24.357,,3.5,ABUNDANT LUMENS,5,10.0
"",B,1,2,27.1,400,2025-04-10,WAR,Grade 5 T3,22.987,22.987,22.96,,2.0,SWEET ALESSIA,1,4.6
"",B,5,1,27.5,435,2025-04-02,SAL,Grade 5 T3,25.214,24.66,24.66,,8.5,SHAUN LEE ROSE,5,6.0
9. PETITE BEAST,B,8,7,30.1,435,2025-07-09,SAL,Grade 5,25.502,24.702,24.702,,12.0,DOCTOR MINTY,8,8.5
"",B,4,4,30.4,435,2025-06-15,SAL,Grade 4,24.913,24.541,23.982,5.227,5.75,KIT,4,16.0
"",B,7,2,30.5,435,2025-06-08,SAL,Grade 4,24.95,24.456,24.053,,7.5,BRING YOUR BEST,7,7.5
"",B,2,2,30.1,400,2025-05-30,WAR,Grade 5,23.024,22.977,22.494,,0.75,Top Kade,2,4.6
"",B,6,3,30.1,350,2025-05-25,HEA,Grade 5,19.872,19.241,19.083,6.65925,9.5,NORTH CAROLINA,6,12.0
10. Nellie Running,B,4,8,24.0,435,2025-07-09,SAL,Grade 5,24.969,24.76,24.702,,3.25,DR. ERICA,4,4.2
"",B,7,8,24.0,515,2025-06-30,SAN,Grade 5 Tier 3 Heat,30.763,29.887,29.444,,13.25,PAW GREGSON,7,4.0
"",B,3,5,24.3,460,2025-06-26,WAR,Grade 5 T3,26.365,26.286,26.286,,1.25,BAGGIO,3,16.0
"",B,1,4,24.3,435,2025-06-18,SAL,Grade 6,24.822,24.822,24.481,5.26,1.5,JETSON LIGHTNING,1,8.0
"",B,6,2,24.8,460,2025-06-10,WAR,Restricted Win,26.394,26.004,25.931,,6.0,LEWIS,6,14.0
