Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. AERO EXPRESS,D,1,8,28.8,390,2025-07-07,WAR,Grade 5,22.427,22.427,22.01,,6.25,MORAINE MIA,1,4.2
"",D,1,4,29.0,390,2025-06-30,WAR,Grade 6,22.418,22.418,22.299,,5.5,SUPER MAX,1,10.0
"",D,6,3,29.0,390,2025-06-26,WAR,Restricted Win,22.793,22.278,21.771,,7.75,Lektra Bills,6,14.0
"",D,3,8,29.0,390,2025-06-16,WAR,Mixed 6/7,22.517,22.192,22.192,,5.0,PAW KARSON,3,5.0
"",D,4,5,29.4,400,2025-06-08,MT/G,6,23.82,23.23,23.14,,8.25,Aston Azul,4,5.0
2. CANYA SPARKLE,B,1,6,27.4,410,2025-07-07,HOR,Grade 5,23.483,23.483,23.001,10.34,0.25,Sugar Bowl Rose,1,6.0
"",B,8,7,27.1,390,2025-06-19,WAR,Grade 5,22.842,22.359,21.876,,7.25,Myola Thunder,8,21.0
"",B,2,3,27.1,390,2025-06-12,WAR,Grade 5,22.584,22.493,21.979,,1.5,Bourne Supremacy,2,8.0
"",B,6,4,26.9,390,2025-05-28,WAR,Grade 5,23.513,22.256,21.884,,19.0,ASTON GLEAM,6,3.6
"",B,4,1,27.2,390,2025-05-22,WAR,Grade 5,22.373,21.937,21.937,,6.75,Nyah Nyah Demon,4,4.6
3. ULTIMATE BLEND,B,2,4,27.0,390,2025-07-02,BAL,Restricted Win,22.744,22.582,22.076,,2.5,ELEVATE,2,4.6
"",B,3,1,27.0,410,2025-06-24,HOR,Grade 5,23.622,23.449,23.283,,2.75,SHAKER STICKER,3,12.0
"",B,4,6,27.0,410,2025-06-17,HOR,Grade 5,24.121,23.677,23.306,,6.75,George's Best,4,7.0
"",B,4,6,27.0,410,2025-06-10,HOR,Grade 5,24.352,23.749,23.479,,9.0,My Lady Panama,4,10.0
"",B,1,3,27.0,390,2025-06-02,WAR,Mixed 6/7,22.395,22.395,22.237,8.8575,1.75,PAW DENVER,1,6.0
4. Remarli,B,4,1,27.7,390,2025-06-26,WAR,Grade 5,22.336,22.225,21.771,8.67,1.75,KIANI STAR,4,8.0
"",B,3,5,27.5,390,2025-05-22,WAR,Grade 5,22.476,22.416,21.937,,1.0,URANA MUFFIN,3,16.0
"",B,6,6,27.5,390,2025-05-15,WAR,Mixed 4/5,22.498,21.846,21.846,,9.75,RUSSIAN RACCOON,6,21.0
"",B,5,1,28.0,390,2025-04-17,WAR,Mixed 4/5,22.365,21.988,21.988,8.75,5.75,On A Mission,5,12.0
"",B,4,1,28.0,450,2025-04-03,WAR,Grade 5 Heat,25.849,25.372,25.234,,7.25,PAW QUARK,4,26.0
5. Bert Deeds,D,3,3,30.4,410,2025-07-07,HOR,Grade 5,23.685,23.483,23.001,10.69,3.25,CANYA SPARKLE,3,10.0
"",D,3,1,30.2,390,2025-07-01,BAL,Grade 5,22.91,22.08,22.08,8.7425,12.5,Simply Stylish,3,5.0
"",D,2,2,30.2,390,2025-06-26,WAR,Grade 5,22.429,22.09,21.771,8.8575,5.25,INGA BUDDY,2,8.0
"",D,3,7,30.1,300,2025-06-22,HEA,Grade 5,17.121,16.519,16.519,4.08425,9.0,CATCH SOME RAYS,3,26.0
"",D,6,2,29.9,390,2025-06-12,WAR,Grade 5,22.921,22.493,21.979,,6.5,Bourne Supremacy,6,12.0
6. Gallon Of Yap,B,5,7,29.9,390,2025-05-22,WAR,Grade 5,22.619,21.937,21.937,,10.25,Nyah Nyah Demon,5,26.0
"",B,2,6,30.1,390,2025-05-15,WAR,S/E Veteran,22.386,22.363,21.846,,0.5,Cruisin' Cherry,2,26.0
"",B,8,5,30.5,450,2025-04-17,WAR,Grade 5,26.21,25.579,25.237,6.7925,9.5,XOEL BALE,8,21.0
"",B,1,5,30.7,390,2025-04-07,WAR,Grade 5,22.587,22.587,22.125,9.005,1.0,Killer Bee Cammy,1,16.0
"",B,6,1,30.7,512,2025-03-30,MT/G,OPEN,30.6,29.77,29.61,4.55,11.75,Darcy Dakota,88876,101.0
7. Patrice Lass,B,3,7,30.3,390,2025-07-03,WAR,Grade 5,22.585,22.376,21.88,8.88,3.25,PAW MARVEL,3,14.0
"",B,2,2,30.5,400,2025-06-19,MT/G,TG5+W,23.59,23.4,23.13,11.13,2.5,Lust To Burn,3222,2.15
"",B,3,2,30.2,400,2025-06-01,MT/G,5,23.55,23.22,22.93,,4.75,Cadillac Belle,2333,3.8
"",B,4,3,30.4,390,2025-05-15,WAR,Mixed 4/5,22.423,21.846,21.846,,8.75,RUSSIAN RACCOON,4,21.0
"",B,4,3,30.5,400,2025-05-04,MT/G,4/5,23.72,23.11,22.85,11.24,8.75,Penny Pinto,7544,6.0
8. JABBERWOCKY,D,7,4,33.5,390,2025-05-19,SHE,Restricted Win Heat,23.292,21.897,21.765,,21.0,MISCLASSIFIED,7,10.0
"",D,8,5,33.5,450,2025-05-05,SHE,Grade 5 Heat,27.319,25.251,25.251,,31.0,PARABOLE RICO,8,41.0
"",D,7,4,33.1,410,2025-05-02,HOR,Grade 5,24.196,23.096,23.04,10.70175,16.5,JULY SHE LIED,7,21.0
"",D,5,5,33.5,390,2025-04-28,SHE,Mixed 4/5,22.657,21.947,21.947,,10.75,PEPPER RUSH,5,7.0
"",D,1,7,34.2,390,2025-03-20,BAL,Grade 5,22.332,22.332,21.916,,0.75,TINKER LEE,1,8.0
9. SHINY NEW TOY,D,2,1,29.9,390,2025-06-30,WAR,Grade 5,22.639,22.488,22.299,8.886,2.5,CANDLES,2,2.2
"",D,1,7,29.5,390,2025-06-23,WAR,Grade 5,22.046,22.046,21.991,8.69,4.75,STEP ON AIR,1,3.6
"",D,6,2,29.8,400,2025-06-19,WAR,Grade 5 T3,23.636,22.925,22.789,,10.75,RHINE STAR,6,3.0
"",D,7,3,30.3,460,2025-06-12,WAR,Grade 5 T3,26.709,26.232,26.1,,7.25,SOMERTON KAREN,7,10.0
"",D,3,1,30.4,400,2025-06-03,GEE,Grade 5,23.51,23.098,22.676,8.9325,6.25,ZOOM BOOM,3,4.6
10. Myola Dusk,B,7,6,28.2,390,2025-07-02,BAL,Grade 5,22.866,22.372,22.076,,7.5,TRICKY DISCO,7,21.0
"",B,5,7,28.5,305,2025-06-26,MT/G,TG1-4W,18.48,17.88,17.88,5.93,8.5,Fernando Lee,4755,17.0
"",B,4,9,28.8,300,2025-06-22,HEA,Grade 5,17.132,16.519,16.519,4.13675,9.25,CATCH SOME RAYS,4,21.0
"",B,3,5,29.0,305,2025-06-19,MT/G,TG1-4W,18.24,17.88,17.88,6.03,5.25,Myola Thalia,4333,6.0
"",B,5,3,28.7,450,2025-06-09,WAR,Grade 5,26.27,25.818,25.379,,6.75,AGGREGATE,5,12.0
