Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Geoff's Bomber,D,4,2,31.7,400,2025-08-14,WAR,Grade 5 T3,23.402,23.29,22.762,,1.75,TILES AND WINE,4,6.5
"",D,6,1,32.2,435,2025-08-06,SAL,Grade 5 T3,25.706,24.814,24.469,,13.5,KENZIE KID,6,5.0
"",D,2,8,32.2,435,2025-07-30,SAL,Grade 5,25.19,25.09,24.539,5.37,1.5,WESTERN FEEL,2,8.5
"",D,4,4,32.9,400,2025-07-24,WAR,Grade 5 T3,23.696,23.383,22.937,8.825,4.75,DAINTREE GRANITE,4,12.0
"",D,5,3,32.2,400,2025-07-03,WAR,Grade 5,23.907,23.084,23.036,8.7925,12.5,HOW HIGH HARLEM,5,12.0
2. Long Way Home,B,7,7,29.8,435,2025-07-02,SAL,Grade 5 T3,25.668,25.108,24.796,5.3995,8.5,DR. NATASHA,7,8.0
"",B,4,8,30.0,400,2025-06-12,WAR,Grade 5 T3,23.209,22.804,22.617,8.46,6.25,Bon Star,4,3.0
"",B,2,5,30.3,400,2025-06-05,WAR,Grade 5,23.109,23.043,22.545,,1.0,INTEX BALE,2,6.0
"",B,4,10,30.6,400,2025-05-29,WAR,Grade 5 T3,23.634,23.263,22.955,8.9075,5.75,Redshift Victory,4,10.0
"",B,7,5,30.5,400,2025-05-22,WAR,Grade 5,23.658,23.161,22.856,,7.5,Tessa Orchid,7,8.0
3. Hurricane Max,D,7,5,29.1,400,2025-07-03,WAR,Grade 5 Heat,24.253,23.067,23.036,9.1175,17.75,ATHENIAN GODDESS,7,21.0
"",D,6,8,29.9,400,2025-05-22,WAR,Grade 5,23.568,23.209,22.856,8.73,5.5,Sons Of Tom,6,26.0
"",D,7,3,30.2,400,2025-04-24,WAR,Grade 5 T3,23.483,22.886,22.485,8.7285,9.0,PAW WAITARA,7,16.0
"",D,4,2,30.3,400,2025-04-17,WAR,Grade 5,23.44,23.288,22.74,8.7625,2.5,VINNIE'S CAMEL,4,21.0
"",D,5,2,30.3,435,2025-04-09,SAL,Grade 5,25.381,25.152,24.707,,3.5,Sapphire Speed,5,21.0
4. Aston Plus,D,7,8,36.0,390,2025-08-18,BAL,Grade 5 T3,23.394,22.839,22.29,8.9525,8.5,SHEILA'S WAIT,7,36.2
"",D,5,5,35.5,400,2025-08-07,WAR,Grade 5,23.654,23.491,22.657,8.792,2.5,DAINTREE GRANITE,5,8.0
"",D,5,2,35.4,350,2025-08-01,HEA,Grade 5 T3,20.415,19.89,19.479,6.88325,8.0,Especial Yogi,5,6.5
"",D,7,3,34.8,400,2025-07-24,WAR,Grade 5 T3,23.798,23.182,22.937,8.98,9.25,IRON BLOOD,7,6.0
"",D,6,5,34.5,400,2025-07-17,WAR,Grade 5,23.756,23.083,23.016,8.80375,10.25,NADIA'S CHARM,6,4.0
5. Locked And Ready,D,6,7,30.5,300,2025-08-15,HEA,Grade 5 T3,17.425,17.187,16.839,4.025,3.75,Why Not Emily,6,8.5
"",D,7,5,30.3,400,2025-08-08,WAR,Grade 5 T3,23.618,23.007,22.328,8.6995,9.25,JUMBUK PUNKY,7,8.0
"",D,6,2,30.3,400,2025-07-24,WAR,Grade 5 T3,23.952,23.224,22.937,8.705,11.0,PARIS CALLING,6,8.0
"",D,7,2,30.8,435,2025-07-02,SAL,Grade 5 T3,26.129,25.233,24.796,5.43925,13.5,Inter Cyborg,7,10.0
"",D,4,7,30.6,400,2025-06-24,GEE,Grade 5,23.108,22.969,22.605,8.57,2.25,Jebediah,4,8.5
6. SKY HIGH DREAMS,B,8,8,30.9,400,2025-08-14,WAR,Grade 5 T3,23.608,23.29,22.762,,4.75,TILES AND WINE,8,12.0
"",B,7,4,30.7,400,2025-08-07,WAR,Grade 5,23.915,23.491,22.657,8.575,6.5,DAINTREE GRANITE,7,6.5
"",B,6,4,30.8,435,2025-07-30,SAL,Grade 5,25.856,25.09,24.539,5.601,11.5,WESTERN FEEL,6,7.0
"",B,5,2,30.8,400,2025-07-24,WAR,Grade 5 T3,23.794,23.383,22.937,8.755,6.25,DAINTREE GRANITE,5,6.5
"",B,7,8,30.9,435,2025-07-16,SAL,Grade 5 T3,25.833,25.076,24.333,5.553,11.5,WILD CUDDLE,7,19.5
7. You'Re In Luck,B,4,2,24.7,400,2025-07-24,WAR,Grade 5 T3,23.488,23.182,22.937,8.9275,4.75,IRON BLOOD,4,12.0
"",B,4,7,24.4,400,2025-07-17,WAR,Grade 5,23.439,23.217,23.016,8.8275,3.5,Jessica Pearson,4,16.0
"",B,5,1,24.0,400,2025-07-15,GEE,Grade 5,23.402,22.679,22.679,8.941,11.0,MANDOLIN STORM,5,7.0
"",B,5,4,24.1,300,2025-07-09,HEA,Grade 5,17.451,17.243,16.831,4.0545,3.25,PARIS CALLING,5,18.0
"",B,6,1,24.4,515,2025-06-30,SAN,Grade 5 Tier 3 Heat,30.521,29.887,29.444,,9.5,PAW GREGSON,6,34.0
8. Unsurpassed,D,4,3,33.3,400,2025-08-05,GEE,Grade 5,23.432,23.105,22.313,8.716,5.0,REV QUERIDA,4,4.6
"",D,6,1,33.5,400,2025-07-31,WAR,Grade 5 T3,23.486,23.202,22.609,8.92175,4.25,INTEX BALE,6,12.0
"",D,4,8,33.0,400,2025-07-17,WAR,Grade 5,23.574,23.083,23.016,8.6725,7.5,NADIA'S CHARM,4,12.0
"",D,6,2,32.9,300,2025-07-09,HEA,Grade 5,17.512,17.243,16.831,4.149,4.25,PARIS CALLING,6,16.0
"",D,8,1,32.9,425,2025-07-02,BEN,Grade 5,24.872,24.138,24.131,,11.0,MISS MELEE,8,8.0
