Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. MY OPIE,D,4,1,30.9,500,2025-08-15,BEN,Grade 5,28.818,28.614,28.455,,3.25,Gremlin,4,4.6
"",D,8,7,31.2,350,2025-08-10,HEA,Grade 5,19.827,19.438,18.944,,6.0,SHAKE THE DUST,8,8.5
"",D,1,2,30.9,450,2025-08-07,WAR,Grade 5,25.662,25.662,25.25,,1.5,FALLON BALE,1,8.0
"",D,5,5,30.9,350,2025-08-03,HEA,Grade 5,19.706,19.324,18.947,6.7265,5.75,GOT FLAIR,5,6.5
"",D,7,3,30.9,450,2025-07-31,WAR,Grade 5,25.934,25.455,24.844,,7.25,GRAY ELLIOT,7,3.6
2. PAW HARRY,D,8,3,35.7,515,2025-08-07,SAN,Grade 4,30.205,29.324,28.933,5.22425,13.25,Champlain,8,10.0
"",D,4,7,36.0,450,2025-08-04,SHE,Grade 5 Heat,25.631,25.253,24.783,6.782,5.75,SO YOU ASSUME,4,12.0
"",D,2,7,36.4,450,2025-07-30,BAL,Grade 5,25.581,25.497,25.394,,1.5,FABRICATION,2,8.0
"",D,5,6,36.3,460,2025-06-17,WAR,Grade 5,26.663,26.382,25.776,,4.25,RUTH'S COMMANDER,5,2.2
"",D,7,5,36.3,525,2025-06-07,MEA,Grade 5,30.817,29.925,29.914,,13.5,SHE'S WIRED,7,8.5
3. PAW XENA,B,1,7,27.4,435,2025-08-10,SAL,Grade 5,24.569,24.569,24.119,,2.5,VALENCIA LOLA,1,2.8
"",B,3,6,27.5,390,2025-08-04,SHE,Grade 5,22.347,21.95,21.901,,6.0,DYNAMITE DOUG,3,10.0
"",B,5,1,27.6,400,2025-08-01,GEE,Free For All,22.543,22.15,22.15,8.412,6.0,ZIPPING GRYLLIS,5,10.0
"",B,6,4,27.2,450,2025-06-21,GRAF,4/5,25.91,25.3,25.3,9.32,8.75,Unleash Brady,5876,14.0
"",B,4,4,27.0,450,2025-06-15,GRAF,4/5,25.81,25.43,25.08,9.13,5.25,Calypso Rogue,3454,3.8
4. STORMY SECRET,D,5,4,33.0,425,2025-08-15,BEN,Grade 5,24.467,23.934,23.714,,8.0,ASTON ELENI,5,26.0
"",D,8,2,33.3,525,2025-07-23,MEA,Grade 5,31.007,30.228,30.05,,11.75,JOROGUMO,8,13.0
"",D,6,5,33.3,515,2025-07-17,SAN,Grade 5,30.661,29.693,29.066,,14.5,JOROGUMO,6,4.8
"",D,3,2,33.2,515,2025-07-10,SAN,Grade 5,30.004,29.909,29.335,,1.5,HERE COMES DEZEL,3,8.0
"",D,5,2,33.0,515,2025-07-03,SAN,Grade 5,30.008,29.738,29.334,,4.25,FEIKUAI CALVIN,5,7.5
6. Butterflies Lad,D,3,3,33.6,390,2025-08-06,BAL,Grade 5,22.691,22.41,22.003,,4.25,KING BRUNO,3,8.0
"",D,5,5,33.3,390,2025-07-26,BAL,Mixed 4/5,22.724,22.278,22.26,8.7575,6.75,MIKE ANGELO ZEAL,5,21.0
"",D,6,8,33.4,390,2025-07-16,BAL,Grade 5 Final,22.9,21.708,21.708,8.68,18.0,Funny Old Fellow,6,10.0
"",D,1,4,33.2,390,2025-07-09,BAL,Grade 5 Heat,22.458,22.458,22.065,,0.75,MADE UP STORIES,1,9.0
"",D,7,4,33.2,390,2025-07-02,BAL,Grade 5,23.075,22.294,22.076,,11.75,SCENIC COURT,7,8.0
7. DON'T TELL SHELL,B,5,1,28.5,400,2025-08-15,WAR,Grade 5,23.037,22.695,22.308,,5.25,SHAKE THE DUST,5,6.5
"",B,6,5,28.9,390,2025-08-11,SHE,Grade 5,22.851,22.251,21.964,8.9125,9.0,SWEET LOVE,6,8.5
"",B,4,8,28.8,390,2025-08-06,BAL,Grade 5,22.374,22.137,22.003,,3.75,MASSETER,4,5.0
"",B,3,3,29.1,425,2025-08-01,BEN,Grade 5,24.145,23.778,23.53,,5.5,NO RESTRICTIONS,3,10.0
"",B,1,8,29.3,450,2025-07-28,SHE,Grade 5,25.648,25.648,25.168,,0.25,LAYLA NOVA,1,6.0
8. BIRDHILL NED,D,4,1,35.6,450,2025-08-13,BAL,Grade 5,25.653,25.095,25.095,,8.5,CANYA NITRATE,4,16.0
"",D,1,4,35.8,450,2025-08-04,BAL,Grade 5 T3,25.989,25.989,25.787,6.8675,1.25,LIONESS EYES,1,16.0
"",D,4,7,35.8,450,2025-07-26,BAL,Grade 5,26.168,25.862,25.699,6.8325,4.75,Play The Victim,4,8.0
"",D,1,2,35.9,425,2025-07-19,BEN,Grade 6,24.503,24.503,24.132,,0.75,MONALEEN HUGH,1,4.4
"",D,3,6,35.7,450,2025-07-14,WAR,Mixed 6/7,25.994,25.658,25.489,,5.25,SHE REBEL,3,3.6
