Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Strip Weathers,D,1,4,30.5,520,2025-07-05,CANN,M,30.14,30.14,29.62,5.53,1.0,Just A Bindi,11111,1.75
"",D,3,7,30.3,520,2025-06-28,CANN,M,30.33,30.21,29.52,5.56,1.75,Speed Byte,22223,1.95
"",D,4,4,30.3,520,2025-06-21,CANN,M,30.78,30.12,29.91,5.58,9.25,Nash Mash,23334,5.0
"",D,2,7,30.0,520,2025-06-14,CANN,M,30.08,29.9,29.57,5.53,2.5,Rapido Ace,21112,6.5
"",D,5,1,29.8,520,2025-06-07,CANN,M,30.53,29.78,29.56,5.62,10.5,Bastianini,33445,4.8
2. Incredible King,D,8,6,30.6,601,2025-06-21,CANN,NOV,36.42,35.23,34.55,10.05,17.0,Brookman Ranger,557778,4.4
"",D,5,5,30.5,520,2025-06-07,CANN,NOV,30.59,30.06,29.56,5.74,7.5,Echoes Of Dad,65555,8.5
"",D,6,8,31.3,520,2025-05-31,CANN,NOV,30.56,30.17,29.6,5.56,5.5,Echoes Of Dad,34556,6.0
"",D,2,2,31.6,520,2025-05-24,CANN,NOV,30.1,29.91,29.76,5.62,2.5,Aston Ruler,32222,3.4
"",D,2,3,31.7,520,2025-05-17,CANN,OPEN,30.12,30.0,29.47,5.54,1.75,GIACOMO,32222,16.0
3. Legs Eleven,B,2,2,25.7,601,2025-07-05,CANN,NOV,35.11,35.0,34.55,9.75,1.5,Ferndale Flyer,111112,5.5
"",B,3,7,25.9,520,2025-06-28,CANN,NOV,30.41,29.99,29.52,5.63,6.0,Oliver Grande,57553,4.0
"",B,4,7,25.7,601,2025-06-21,CANN,NOV,35.41,35.23,34.55,10.01,2.5,Brookman Ranger,324454,9.0
"",B,5,1,25.4,520,2025-06-14,CANN,NOV,30.37,29.86,29.57,5.82,7.25,Bastianini,66665,10.0
"",B,5,10,25.6,520,2025-06-11,CANN,NOV,30.71,29.99,29.87,5.65,10.25,Rapido Ninja,47765,16.0
