Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Osti Dynasty,B,1,4,27.5,365,2025-08-18,NOWR,5,21.03,21.03,20.46,8.75,4.25,Rockstar Ghan,11,3.6
"",B,4,2,27.4,520,2025-08-02,W/PK,5,30.54,29.78,29.56,5.63,10.75,Ashby Flash,1234,51.0
"",B,7,5,27.6,365,2025-07-28,NOWR,5,21.59,21.01,20.58,9.02,8.25,Motor City Mini,67,13.0
"",B,6,7,27.7,350,2025-07-25,GOUL,5,20.79,20.37,19.55,,6.0,Slip Road,1866,23.0
"",B,8,8,27.9,297,2025-07-17,DAPT,5,18.07,17.45,17.02,,8.75,Tofu Tommy,888,6.5
2. Best Surprise,B,6,8,26.2,520,2025-08-16,W/PK,5,30.79,30.13,29.66,5.66,9.25,Winsome Josie,7776,3.0
"",B,1,9,26.2,520,2025-08-09,W/PK,5,29.91,29.91,29.56,5.54,2.25,She's Infinite,1221,6.0
"",B,5,2,25.9,520,2025-07-31,W/PK,5,30.49,30.22,29.67,5.65,3.75,Get Up Tiger,6655,2.7
"",B,3,8,25.8,520,2025-07-24,DAPT,5,30.31,30.12,29.93,5.49,2.5,Morale Sponge,2333,3.8
"",B,6,4,26.5,440,2025-07-04,GOUL,5,25.65,25.1,24.96,,7.75,Jayla Magic,13366,5.0
3. He's A Pearl,D,1,9,30.6,440,2025-08-15,GOUL,5,24.98,24.98,24.85,,0.0,,67121,2.9
"",D,6,5,30.1,520,2025-08-07,W/PK,5,30.58,29.79,29.51,5.53,11.25,My Picasso,3346,5.5
"",D,1,4,29.9,520,2025-07-31,W/PK,M,30.04,30.04,29.67,5.74,8.5,Show Me Saint,5511,1.7
"",D,5,7,29.9,440,2025-07-25,GOUL,M,26.0,24.87,24.6,,16.25,Magic Bandit,22355,1.6
4. Secret Getaway,D,4,7,32.1,520,2025-08-18,NOWR,5,30.44,29.89,29.63,4.42,7.75,Gillenbah Tiger,554,9.0
"",D,2,5,32.2,520,2025-08-11,NOWR,5,30.21,29.76,29.76,4.48,6.25,Jelly To Go,732,23.0
"",D,7,6,32.3,520,2025-08-07,DAPT,5,30.95,30.38,29.96,5.73,8.25,Katie's Champion,7777,13.7
"",D,3,2,32.0,520,2025-07-31,DAPT,5,30.16,29.93,29.7,5.54,3.25,Fancy Bella,4333,18.0
"",D,3,8,32.0,520,2025-07-28,NOWR,5,30.21,29.51,29.49,4.45,10.0,Glorified,663,19.0
6. Flashed Over,B,4,1,24.8,520,2025-08-16,W/PK,5,30.46,30.13,29.66,5.68,4.75,Winsome Josie,6854,15.0
"",B,6,8,24.8,520,2025-08-07,DAPT,4/5,30.77,30.03,29.96,5.55,10.5,Fancy Bella,5666,19.0
"",B,3,1,24.9,520,2025-07-28,NOWR,5,30.02,29.8,29.49,4.38,3.0,Skedaddle Maple,343,6.0
"",B,3,8,25.2,520,2025-07-24,DAPT,4/5,30.57,30.22,29.93,5.51,5.0,Dynamic Archer,5533,7.0
"",B,6,6,24.9,520,2025-07-14,NOWR,4/5,30.66,29.75,29.75,4.44,13.0,Ashby Chai,476,26.0
7. Winnability,B,1,2,31.0,520,2025-04-03,DAPT,MX,30.09,30.09,30.09,5.43,1.0,Hommus,2111,2.5
"",B,7,7,30.9,365,2025-03-17,NOWR,5,21.7,20.91,20.32,8.87,11.25,Kia Ora,67,1.75
"",B,1,5,31.2,365,2025-03-10,NOWR,M,20.49,20.49,20.22,8.55,9.75,Chloe's Fancy,11,4.0
8. Cool Disguise,B,5,7,28.3,520,2025-08-14,W/PK,5,30.67,29.98,29.52,5.51,9.75,Fawn Rupee,2235,7.5
"",B,1,4,27.9,520,2025-08-04,NOWR,MX,29.63,29.63,29.63,4.27,3.25,Cumbria Laura,111,1.85
"",B,1,3,27.8,520,2025-07-31,DAPT,MX,30.0,30.0,29.7,5.44,5.25,Lochinvar Bugati,1111,6.0
"",B,3,1,27.7,520,2025-07-28,NOWR,5,30.0,29.49,29.49,4.27,7.25,Zipping Zodiac,133,5.0
"",B,1,3,27.8,520,2025-07-21,NOWR,M,29.92,29.92,29.92,4.29,2.25,Tiggerlong Snake,1111,4.8
