Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. SPANISH ARMADA,D,5,3,32.7,390,2025-07-14,SHE,Maiden,23.31,22.698,21.935,8.8375,9.25,ONCIDIUM,5,4.5
2. PRESENT GIFT,D,3,3,29.2,390,2025-07-10,SHE,Tier 3 - Maiden,23.003,22.865,22.323,8.7075,2.25,KID,3,6.5
"",D,7,7,29.0,390,2025-07-07,SHE,Maiden,23.227,22.258,22.025,,14.5,KRAKEN MILLY,7,5.0
"",D,2,6,29.2,390,2025-07-03,SHE,Tier 3 - Maiden,23.048,22.798,22.429,8.82175,3.75,OUTLAWED,2,6.5
"",D,3,8,29.6,390,2025-06-19,SHE,Maiden,22.961,22.659,22.231,,4.75,FLAK JACKET,3,6.0
"",D,6,7,30.4,390,2025-06-02,SHE,Tier 3 - Maiden,22.861,21.941,21.941,,13.75,MOYARRA KONGK,6,6.5
3. SPARE A DIME,B,3,4,26.4,390,2025-05-22,SHE,Maiden,23.279,22.277,22.264,8.87175,15.0,PERIODICAL,3,4.2
4. WINTER RUNNINGS,B,8,6,23.7,425,2025-07-11,BEN,Maiden,25.509,24.48,23.858,6.737,15.5,BONNIE BLITZ,8,7.5
5. DIM SIM RIXI,B,5,5,28.3,390,2025-06-25,BAL,Restricted Win,22.982,22.568,22.226,,6.25,FEDERAL NOTICE,5,10.0
"",B,3,7,27.9,390,2025-06-11,BAL,Maiden,22.569,22.261,21.865,,4.75,CRACKERJACK KEV,3,8.0
"",B,8,6,27.5,450,2025-05-14,BAL,Maiden Final,26.384,25.494,25.241,6.88625,13.5,RIVERS MEET,8,12.0
"",B,2,7,27.7,450,2025-05-07,BAL,Maiden Heat,26.175,25.882,25.138,,4.5,RIVERS MEET,2,7.5
"",B,5,3,28.0,525,2025-05-03,MEA,Maiden Final,31.247,30.163,29.568,,16.25,SLICK SPLITS,5,26.0
6. TEXAS COWGIRL,B,5,1,28.0,390,2025-07-14,SHE,Maiden,23.231,22.393,21.935,,12.75,ROYAL RUPEE,5,5.5
7. Hunterview Jack,D,5,4,35.3,400,2025-04-21,MAIT,M,23.03,22.51,22.25,5.47,7.5,Diva Ethics,6665,8.0
"",D,5,3,34.7,388,2025-04-15,GOSF,M,22.78,22.58,21.95,10.55,2.75,Hunterview Yeti,3655,6.0
8. TELL ME LIES,B,3,7,25.5,390,2025-07-14,SHE,Maiden,22.85,22.698,21.935,8.54,2.5,ONCIDIUM,3,3.2
