Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Forners Storm,B,1,7,26.4,297,2025-07-03,DAPT,5,17.4,17.4,16.91,5.33,0.5,All Joy,211,1.3
"",B,4,1,26.5,297,2025-06-26,DAPT,NG1-4,17.3,17.16,16.98,5.46,2.0,Canya Supersonic,444,2.8
"",B,6,7,26.3,297,2025-06-19,DAPT,4/5,17.52,17.23,17.07,5.37,4.25,Federal Viper,466,1.65
"",B,1,8,26.5,297,2025-06-12,DAPT,4/5,17.03,17.03,16.92,5.33,4.25,All Joy,211,1.4
"",B,1,1,26.5,297,2025-06-05,DAPT,5,17.24,17.24,16.96,5.43,1.5,Dynamic Sunny,211,2.5
2. Corless Insane,D,2,4,28.6,320,2025-07-04,RICH,FFA,18.38,18.29,18.23,2.09,1.25,Marlee Star,1112,17.0
"",D,2,5,28.6,297,2025-06-26,DAPT,NG1-4,17.2,17.16,16.98,5.32,0.75,Canya Supersonic,122,3.5
"",D,6,4,27.6,320,2025-05-30,RICH,FFA,18.76,18.38,18.18,2.23,5.25,Florida Line,6656,3.6
"",D,5,7,27.7,320,2025-05-21,RICH,NG1-4,18.52,18.09,18.03,2.15,6.0,Marlee Star,3355,6.0
"",D,3,1,27.7,320,2025-05-16,RICH,FFA,18.43,18.28,18.18,2.09,2.0,Grid Girl,2233,7.5
4. Canya Supersonic,B,1,2,27.0,297,2025-07-03,DAPT,3/4,16.91,16.91,16.91,5.31,2.5,She Got Momentum,211,2.25
"",B,1,4,26.7,297,2025-06-26,DAPT,NG1-4,17.16,17.16,16.98,5.41,0.75,Corless Insane,211,4.0
"",B,3,7,25.7,320,2025-05-23,RICH,4/5,18.64,18.33,18.33,2.27,4.25,Kite,6643,2.0
"",B,6,2,26.0,320,2025-05-16,RICH,FFA,18.52,18.28,18.18,2.24,3.5,Grid Girl,6666,11.0
"",B,5,5,26.1,320,2025-05-11,RICH,NG1-4,18.6,18.07,18.07,2.2,7.5,Flash Jet,6655,14.0
5. Aussie Lantern,B,1,7,24.0,297,2025-07-03,DAPT,5,17.29,17.29,16.91,5.39,0.75,Blazing Cash,111,4.2
"",B,4,7,24.0,297,2025-06-26,DAPT,5,17.98,17.19,16.98,5.61,11.25,Anxious Lass,544,2.7
"",B,1,8,24.1,297,2025-06-19,DAPT,5,17.23,17.23,17.07,5.42,1.75,Olivia's Babe,211,2.7
"",B,4,6,24.3,297,2025-06-12,DAPT,5,17.43,17.35,16.92,5.52,1.0,Huggett,644,4.4
"",B,1,7,23.8,297,2025-06-05,DAPT,5,17.15,17.15,16.96,5.36,1.75,Return An Earn,111,2.25
7. Mount Fuji,D,3,1,29.3,297,2025-07-03,DAPT,3/4,17.21,16.91,16.91,5.43,4.25,Canya Supersonic,533,5.0
"",D,5,7,29.0,297,2025-06-26,DAPT,NG1-4,17.44,17.16,16.98,5.47,4.0,Canya Supersonic,555,16.0
"",D,3,2,28.9,365,2025-06-23,NOWR,NG1-4,20.9,20.47,20.47,8.64,6.0,Where's Fernando,33,23.0
"",D,1,7,29.2,365,2025-06-16,NOWR,4/5,20.94,20.94,20.5,8.59,1.5,Zip Zippity Zip,11,4.6
"",D,8,3,29.5,320,2025-03-07,RICH,5,19.52,18.04,18.02,2.15,21.25,Supermaxi,6578,4.8
8. Batgirl,B,7,6,29.1,320,2025-07-04,RICH,FFA,18.79,18.29,18.23,2.16,7.0,Marlee Star,3357,26.0
"",B,3,8,28.8,365,2025-06-30,NOWR,NG1-4,20.87,20.64,20.38,8.63,3.25,Check This Out,23,11.0
"",B,3,5,28.9,388,2025-06-24,GOSF,4/5,22.45,22.08,22.08,10.35,5.25,Hey Mickey,33,3.6
"",B,1,3,28.8,320,2025-06-20,RICH,5,18.28,18.28,18.25,2.09,3.5,Driftin' Ethics,1111,2.6
"",B,2,7,28.6,297,2025-06-12,DAPT,5,17.01,16.92,16.92,5.35,1.25,Dynamic Sunny,222,4.0
