Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. AUSSIE RAVEN,D,3,3,27.1,400,2025-08-15,GEE,Maiden Heat,23.08,22.967,22.404,8.53,1.75,DARK ARTS,3,8.0
"",D,3,6,27.0,400,2025-08-09,GEE,Maiden,23.235,23.228,22.742,8.6875,0.25,MAISEY MARY,3,4.2
2. DARK ARTS,D,1,2,34.3,400,2025-08-15,GEE,Maiden Heat,22.967,22.967,22.404,8.6,0.5,PAW ZOLTIN,1,4.6
"",D,2,8,34.3,460,2025-08-09,GEE,Maiden,26.725,26.288,25.852,,6.75,PHINEAS NIGELLUS,2,3.3
"",D,2,7,34.3,450,2025-07-30,BAL,Maiden,25.852,25.848,25.394,,0.25,DURAN PANTERA,2,8.0
"",D,6,1,34.1,460,2025-07-25,GEE,Maiden,26.758,25.936,25.693,6.6645,12.5,SAMI RIOT,6,10.0
"",D,5,5,34.1,460,2025-07-18,GEE,Restricted Win,26.616,26.193,25.767,6.8825,6.5,PAR EXCELLENCE,5,7.5
3. PAW CORA,B,3,1,26.7,400,2025-08-15,GEE,Maiden Heat,23.106,22.635,22.404,,7.25,IMITATED,3,3.6
4. PAW ZOLTIN,D,2,6,30.6,400,2025-08-15,GEE,Maiden Heat,22.991,22.967,22.404,8.705,0.5,DARK ARTS,2,10.0
5. ISHIKAWA LASS,B,1,5,23.6,400,2025-08-15,GEE,Maiden Heat,22.565,22.565,22.404,8.46,4.75,MEPUNGA BROCKIE,1,8.0
6. IMITATED,B,1,4,26.5,400,2025-08-15,GEE,Maiden Heat,22.635,22.635,22.404,,3.25,HARA HACHI BU,1,4.8
"",B,5,2,26.6,435,2025-06-29,SAL,Maiden,25.223,24.868,24.357,5.37,5.5,THUNDER ROSE,5,2.8
"",B,4,8,26.6,450,2025-06-25,BAL,Maiden,26.527,26.459,25.722,,1.25,DURAN OLLY,4,3.6
"",B,2,4,26.5,450,2025-06-18,BAL,Maiden,25.758,25.124,25.124,,9.5,METAPHORICAL,2,6.5
"",B,2,5,26.5,435,2025-06-15,SAL,Maiden,24.837,24.599,23.982,,3.75,DR. CALVIN,2,6.0
7. HARA HACHI BU,B,2,6,26.6,400,2025-08-15,GEE,Maiden Heat,22.841,22.635,22.404,,3.25,IMITATED,2,8.0
8. MEPUNGA BROCKIE,D,2,8,36.0,400,2025-08-15,GEE,Maiden Heat,22.871,22.565,22.404,8.747,4.75,ISHIKAWA LASS,2,2.0
"",D,5,8,35.5,515,2025-07-07,SAN,Maiden Heat,30.142,29.744,29.335,5.187,6.0,ASTON BUGSY,5,4.8
"",D,3,7,35.4,525,2025-07-02,MEA,Maiden,31.023,30.717,30.144,5.45,4.75,PAW AMALFI,3,1.6
9. AVERAGE RETURN,B,3,1,27.1,400,2025-08-15,GEE,Maiden Heat,23.133,22.565,22.404,8.6175,8.5,ISHIKAWA LASS,3,16.0
"",B,4,6,27.0,390,2025-08-06,BAL,Maiden Heat,22.922,22.338,22.003,,8.75,MAJOR SHIRAZ,4,7.5
"",B,6,1,26.6,400,2025-05-29,GEE,Maiden Heat,23.434,22.954,22.589,8.7335,7.25,WEBLEC PATCH,6,16.0
"",B,7,1,26.4,400,2025-05-22,GEE,Maiden,23.949,22.73,22.371,8.8375,18.25,MIA BLONDE,7,7.5
"",B,5,1,26.5,425,2025-05-16,BEN,Restricted Win,24.948,23.811,23.636,6.7675,17.0,CANYA MAYHEM,5,5.0
10. CASH IN VIEW,D,4,8,34.4,400,2025-08-15,GEE,Maiden Heat,23.128,22.635,22.404,,7.5,IMITATED,4,4.8
"",D,5,4,32.5,390,2025-07-07,SHE,Maiden,22.976,22.258,22.025,,10.75,KRAKEN MILLY,5,15.0
"",D,5,7,32.1,460,2025-06-20,GEE,Maiden,26.563,26.052,25.57,,7.75,WEBLEC PEPPER,5,5.0
