Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Django Riggs,D,5,7,32.0,340,2025-08-11,GUNN,3/4,20.15,19.79,19.62,6.87,5.25,SNOWFEST,6655,13.0
"",D,8,6,31.3,400,2025-07-26,DUBO,4/5,23.65,23.2,23.2,9.36,6.25,Red Rock Rose,7588,41.0
"",D,5,6,31.8,318,2025-07-19,DUBO,4/5,18.83,18.53,18.45,4.83,4.25,Armatree Joker,4655,41.0
"",D,3,6,32.2,318,2025-07-05,DUBO,4/5,18.53,18.21,18.21,4.78,4.5,Armatree Violet,3333,34.0
"",D,6,8,32.0,340,2025-06-25,GUNN,5,20.04,19.76,19.59,6.77,4.0,CHANCY NANCY,1766,34.0
2. Tralee Charlie,D,4,1,32.9,318,2025-08-16,DUBO,4/5,18.77,18.22,18.15,4.82,7.75,Amazing Gem,4444,10.0
"",D,4,5,32.7,318,2025-07-26,DUBO,5,19.13,18.52,18.25,4.94,8.75,Triple Phantom,4344,10.0
"",D,3,1,33.0,340,2025-07-02,GUNN,5,20.11,20.05,19.57,6.66,0.75,Spirit Chana,2233,7.5
"",D,6,4,33.1,340,2025-05-07,GUNN,NG1-4,19.89,19.6,19.57,6.76,4.25,Pessimism,7766,71.0
"",D,6,6,32.0,340,2025-02-19,GUNN,4/5,20.41,19.65,19.39,,10.75,Tom's The One,7666,15.0
3. Hip Drop,D,6,5,36.5,400,2025-08-15,GRDN,5,23.69,23.11,22.72,11.71,8.25,Cody The Champ,86,3.8
"",D,6,8,36.3,400,2025-08-09,GRDN,5,23.57,22.98,22.71,11.57,8.25,Ava's Milo,876,12.0
"",D,1,2,37.2,340,2025-07-23,GUNN,5,19.73,19.73,19.64,6.57,0.125,Emerald Dancer,3111,2.9
"",D,3,5,36.7,340,2025-06-30,GUNN,4,20.08,19.75,19.75,6.81,4.75,His Fernando,7533,16.0
"",D,7,4,36.0,340,2025-06-04,GUNN,5,20.16,19.67,19.61,6.83,7.0,Manila Ghost,8877,21.0
4. Big Del,D,4,1,29.6,400,2025-07-14,MAIT,5,23.46,23.18,22.24,5.36,4.0,Smart Panama,1114,6.0
"",D,8,4,29.6,400,2025-05-05,MAIT,4/5,23.38,22.58,22.12,5.55,11.5,Sign Action,2778,41.0
"",D,4,3,29.8,400,2025-04-28,MAIT,5,23.2,22.66,21.95,5.36,7.75,Hank Mccoy,1224,18.0
"",D,7,7,29.5,400,2025-04-24,GRDN,5,23.86,23.17,22.61,11.58,9.75,Kingston Trick,3867,23.0
"",D,7,2,29.9,318,2025-03-22,DUBO,4/5,19.17,18.05,18.05,4.89,16.0,Hope's Treasure,4877,23.0
5. Our Blue Rosa,B,7,5,26.6,340,2025-07-23,GUNN,5,20.98,19.99,19.64,6.87,14.0,Just Tracey,3877,61.0
"",B,8,6,27.3,340,2025-06-11,GUNN,5,20.45,19.82,19.52,6.72,9.0,Danny Whizz Bang,3488,101.0
"",B,3,6,26.9,340,2025-05-05,GUNN,M3,20.29,19.64,19.58,6.68,9.25,Rocky Banner,1233,17.0
"",B,6,5,26.3,340,2025-04-23,GUNN,5,20.58,20.21,19.79,,5.25,Rutland Morgan,1566,41.0
"",B,5,2,26.8,340,2025-02-05,GUNN,5,20.59,19.7,19.53,6.87,12.75,One Run Short,5755,41.0
6. Ballina,D,6,6,35.0,340,2025-07-21,GUNN,M2/M3,20.43,19.97,19.56,6.8,6.5,Golden Rough,5566,5.5
"",D,8,2,35.2,340,2025-07-02,GUNN,5,21.02,19.63,19.57,6.77,19.75,Royman,7688,9.0
"",D,4,6,35.1,340,2025-06-30,GUNN,4,20.12,19.75,19.75,6.76,5.25,His Fernando,5344,6.0
"",D,3,3,35.3,340,2025-06-23,GUNN,NG1-4,20.01,19.67,19.66,6.75,4.75,Oust The Plate,6433,18.0
"",D,5,4,34.3,340,2025-06-11,GUNN,5,20.26,19.74,19.52,6.71,7.5,SNOWFEST,4555,4.4
7. She's Tip Top,B,4,1,25.2,340,2025-08-11,GUNN,4,20.26,19.67,19.62,6.63,8.25,Bedazzled Buddy,2344,2.9
"",B,5,2,25.1,318,2025-07-28,DUBO,3/4,19.05,18.51,18.51,4.88,7.75,Bell Mac Magic,5555,3.3
"",B,3,3,25.6,352,2025-07-16,QOT,5,19.94,19.68,19.49,3.94,3.75,Daysea's Shelly,113,17.0
"",B,6,5,25.8,352,2025-07-09,QOT,5,20.17,19.67,19.45,4.12,7.0,Disco Ethics,746,4.6
"",B,2,1,25.7,352,2025-07-02,QOT,5,20.35,20.19,19.88,3.95,2.25,Cake Is Yummy,222,4.0
