Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Go Elvis,D,5,5,31.6,336,2025-07-12,MUSW,5,20.27,19.91,19.38,,5.25,Bel Tor Express,7355,7.0
"",D,7,9,31.8,300,2025-07-05,TARE,5,18.35,17.73,17.52,6.75,8.75,Crossed Toes,547,21.0
"",D,8,1,30.3,297,2025-06-05,DAPT,5,18.44,17.15,16.96,5.85,18.25,Aussie Lantern,888,14.0
"",D,8,4,31.5,300,2025-04-30,TARE,5,18.91,17.66,17.34,6.79,17.75,In So Far,678,18.0
"",D,2,3,31.6,300,2025-04-26,TARE,5,17.9,17.73,17.29,6.51,2.25,Mickey Dawn,112,2.25
2. Speed Dial,B,8,4,27.0,400,2025-06-21,GRDN,5,24.35,22.88,22.82,11.67,21.0,Avocado Toast,578,61.0
"",B,6,6,27.0,336,2025-06-14,MUSW,5,20.11,19.34,19.34,,11.0,Canya Ablaze,656,3.8
"",B,7,6,26.9,336,2025-05-10,MUSW,5,20.01,19.19,19.19,,11.75,Reel 'Em Sissy,5777,15.0
"",B,8,3,26.7,400,2025-04-24,GRDN,5,23.77,22.61,22.61,11.55,16.5,Maeve Baby,8788,71.0
"",B,7,5,26.6,336,2025-04-17,MUSW,5,19.97,19.31,19.23,,9.25,Bandit Millie,7,6.5
3. Half Magic,D,5,8,34.4,300,2025-07-20,TARE,5,18.29,18.1,17.34,6.81,2.5,FORETOPMAN,445,19.0
"",D,7,1,33.2,300,2025-05-03,TARE,M3,18.43,17.89,17.37,6.88,7.75,Jerry's Mate,667,19.0
"",D,7,3,33.9,300,2025-04-05,TARE,M3,18.66,17.77,17.38,6.83,12.75,Tralee Chance,777,31.0
"",D,7,7,34.4,300,2025-03-26,TARE,5,18.14,17.36,17.27,6.85,11.0,Not A Boodie,877,71.0
"",D,4,5,34.5,300,2025-02-22,TARE,M3,18.24,17.63,17.34,6.79,8.75,Typhoon Dot,554,31.0
4. Hooked On Sal,D,8,6,33.7,300,2025-07-05,TARE,5,18.24,17.55,17.52,6.97,9.75,Sweet Vicious,888,71.0
"",D,5,4,33.4,300,2025-06-28,TARE,5,18.33,17.88,17.33,6.97,6.25,I've Been Rorted,365,15.0
"",D,7,1,33.6,525,2025-05-07,TARE,5,32.66,31.0,30.41,4.14,23.75,Dynamic Aussie,6677,71.0
"",D,3,3,32.8,300,2025-05-03,TARE,5,18.18,17.93,17.37,6.76,3.5,Red Rudolph,763,34.0
"",D,5,3,33.1,300,2025-04-26,TARE,5,18.92,17.69,17.29,6.92,17.5,Blue Tiara,565,14.0
5. Girl Rolex,B,8,2,25.2,300,2025-07-02,TARE,5,18.7,17.16,17.16,6.89,22.0,Kingsbrae Ted,488,7.5
"",B,7,1,24.1,300,2025-03-12,TARE,5,18.54,17.79,17.4,6.8,10.5,Physicality,757,3.4
"",B,8,6,24.2,300,2025-02-26,TARE,5,18.67,17.68,17.36,6.99,14.0,Misty Bonus,678,3.0
"",B,4,2,24.3,300,2025-02-22,TARE,5,17.88,17.34,17.34,6.64,7.75,Let's Go Luke,554,3.4
"",B,7,8,24.6,400,2025-01-29,GRDN,5,23.72,22.81,22.79,,13.0,Fascinate Glory,537,5.0
6. Lady Reign,B,7,6,28.5,300,2025-07-09,TARE,M2/M3,18.6,17.87,17.19,6.9,10.25,Orson Duke,577,23.0
"",B,6,5,28.8,300,2025-04-26,TARE,5,18.31,17.82,17.29,6.74,7.0,Solar Bright,766,17.0
"",B,5,1,29.0,300,2025-04-19,TARE,5,18.07,17.46,17.38,6.7,8.75,Majestic Emmy,375,18.0
"",B,5,4,28.7,300,2025-04-05,TARE,5,17.87,17.38,17.38,6.63,7.0,Weekend Scotch,445,61.0
"",B,5,5,28.5,300,2025-04-02,TARE,5,18.27,17.81,17.3,7.01,6.5,All The Bling,765,41.0
7. Another Coco,B,4,1,25.7,300,2025-07-20,TARE,5,18.29,18.1,17.34,6.69,2.5,FORETOPMAN,314,13.0
"",B,6,8,24.6,336,2024-10-05,MUSW,5,20.19,19.46,19.21,,10.25,Mulwee Dave,6,13.0
"",B,8,2,24.8,336,2024-08-31,MUSW,5,22.38,19.79,19.21,,37.0,Midweek Scotches,8,41.0
"",B,5,2,24.8,297,2024-08-29,DAPT,5,18.29,17.69,16.76,5.85,8.5,XENA GIBLET,655,61.0
"",B,8,2,25.7,336,2024-07-20,MUSW,5,20.77,20.16,19.4,,8.75,Rutland Simone,8,16.0
8. Petite Whacker,B,5,1,27.7,400,2025-07-12,GRDN,5,23.9,23.04,22.91,11.74,12.25,Orson Duke,655,41.0
"",B,6,2,27.9,300,2025-06-28,TARE,5,18.37,17.73,17.33,6.7,9.25,Keynan,136,26.0
"",B,6,7,27.9,300,2025-06-25,TARE,5,18.25,17.65,17.26,6.74,8.5,Eureka Remi,136,23.0
"",B,7,3,28.1,300,2025-06-21,TARE,5,18.51,17.85,17.37,6.65,9.25,Crossed Toes,137,51.0
"",B,6,7,27.9,400,2025-03-29,GRDN,5,25.22,23.52,22.83,11.67,24.25,CRUISING ALONG,146,61.0
