Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Spring Ribbon,D,5,1,37.9,440,2025-06-27,GOUL,5,25.6,24.8,24.76,,11.5,Rockabye Baby,77655,6.5
"",D,1,7,38.0,440,2025-06-20,GOUL,M,25.18,25.18,24.79,,0.75,Cool Disguise,2221,1.7
"",D,2,4,37.6,440,2025-06-13,GOUL,M,25.3,24.86,24.49,,6.25,Louie The Fly,44322,5.0
"",D,5,2,38.0,340,2025-05-28,GUNN,M,20.32,19.44,19.42,6.85,12.5,Minty Dancer,7855,2.8
2. Fascinate Samuel,D,1,5,31.9,515,2025-08-01,GRDN,M,29.61,29.61,29.58,5.09,6.5,Senorita Riot,2211,2.2
"",D,2,8,32.0,515,2025-07-25,GRDN,M,29.95,29.73,29.73,5.15,3.0,Nangar Macie,5532,3.9
"",D,2,7,31.9,400,2025-07-11,GRDN,M,23.49,22.78,22.74,11.68,10.0,She's Blissful,832,2.3
3. Shunned,B,2,1,28.0,520,2025-08-18,NOWR,5,30.0,29.89,29.63,4.38,1.5,Gillenbah Tiger,222,2.5
"",B,1,1,28.2,520,2025-08-11,NOWR,M,30.08,30.08,29.76,4.39,0.125,Princess Ada,221,1.65
"",B,2,1,28.1,520,2025-07-31,DAPT,MX,30.29,30.13,29.7,5.63,2.25,Cumbria Laura,5222,4.2
"",B,4,6,28.0,520,2025-07-24,DAPT,M,30.73,30.37,29.93,5.74,5.25,Rampager,4544,7.5
"",B,2,8,28.4,520,2025-07-07,NOWR,MX,30.68,30.25,29.62,4.51,6.0,Almost Stunning,642,19.0
4. Zipping Achilles,D,2,6,29.9,520,2025-08-16,W/PK,M,29.81,29.66,29.66,5.54,2.0,Ritza Kris,3332,41.0
"",D,1,1,29.9,520,2025-08-13,RICH,MX,30.25,30.25,30.11,4.45,1.5,Crawford,44111,1.55
"",D,3,8,29.9,520,2025-08-07,W/PK,M,30.61,29.81,29.51,5.66,11.5,Ritza Kris,5443,11.0
"",D,2,4,30.2,401,2025-08-03,RICH,M,23.04,22.96,22.55,6.87,1.0,Rosacky Rayo,3332,3.9
"",D,3,5,30.1,520,2025-07-30,RICH,MX,30.32,29.89,29.89,4.48,6.0,Zipping Bjorn,54433,17.0
5. BOXCAR MOLLY,B,2,4,27.5,600,2025-08-14,DAPT,MX,35.3,34.5,34.5,9.79,11.5,Hurricane Haley,4222,6.5
"",B,3,8,27.5,720,2025-07-31,W/PK,MX,44.59,43.01,41.95,16.77,22.5,Free Moe Diva,6533,9.0
"",B,4,5,27.6,600,2025-07-24,DAPT,5,35.06,34.25,34.25,9.88,11.5,Dynamic Drummer,6544,19.0
"",B,2,4,27.6,600,2025-07-17,DAPT,MX,34.97,34.75,34.75,,3.0,Levchenko,3322,8.0
"",B,2,7,27.8,600,2025-07-10,DAPT,MX,35.33,35.14,34.43,9.87,2.5,Zipping Mckeon,4222,15.0
6. Ritza Jackson,D,2,1,33.2,520,2025-08-14,W/PK,5,30.33,30.13,29.52,5.51,2.75,Cumbria Chrissy,3312,7.5
"",D,1,1,33.8,440,2025-08-08,GOUL,M,25.01,25.01,24.78,,2.25,Jackie Trainer,83211,1.4
"",D,2,7,33.5,440,2025-08-01,GOUL,M,25.02,24.77,24.53,,3.5,Ritza Old Mate,42222,2.9
"",D,3,8,33.6,440,2025-07-25,GOUL,M,25.44,24.87,24.6,,8.25,Magic Bandit,54233,6.0
7. Awesome Portrait,B,1,1,28.8,515,2025-08-16,GRDN,M,29.78,29.78,29.72,5.03,0.75,Flying Zac,1111,8.0
"",B,5,2,28.7,515,2025-08-01,GRDN,M,30.64,29.61,29.58,5.12,14.5,Fascinate Samuel,3365,11.0
"",B,2,3,28.4,388,2025-05-31,GOSF,M,23.31,22.43,22.2,10.84,12.5,Tarawi Queenie,2332,3.3
8. Cumbria Laura,B,3,8,27.0,520,2025-08-14,W/PK,5,30.12,29.82,29.52,5.67,4.25,Magical Ang,6733,51.0
"",B,5,6,27.1,520,2025-08-11,NOWR,5,30.51,29.76,29.76,4.56,10.5,Jelly To Go,865,4.2
"",B,2,3,27.2,520,2025-08-04,NOWR,MX,29.86,29.63,29.63,4.4,3.25,Cool Disguise,222,2.15
"",B,1,3,27.2,520,2025-07-31,DAPT,MX,30.13,30.13,29.7,5.58,2.25,Shunned,3111,2.0
"",B,5,2,26.8,520,2025-06-26,DAPT,M,30.84,30.65,29.97,5.53,2.5,Highway Princess,3355,4.4
