Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Who,D,5,2,34.7,460,2025-03-29,GEE,Grade 5,26.869,26.257,26.257,7.0045,9.25,NARINGAL MATE,5,10.0
"",D,5,7,35.3,400,2025-03-08,GEE,Grade 5,23.138,22.742,22.742,,6.0,PAW KATTIA,5,15.0
"",D,7,3,35.3,400,2025-03-01,GEE,Grade 5,23.202,22.659,22.552,8.76,8.25,JUST BELIEVE,7,12.0
"",D,3,3,35.6,425,2025-02-21,BEN,Grade 5,24.634,24.243,24.243,,6.0,SILVER MACHINE,3,10.0
"",D,4,5,35.4,460,2025-01-30,WAR,Grade 5 T3,26.705,25.84,25.84,,13.0,HUMIDITY,4,21.0
2. FRANK GRIMES,D,7,8,36.6,390,2025-06-23,BAL,Grade 5 T3,23.353,22.494,22.401,9.00925,13.0,SERENITY GIRL,7,6.0
"",D,7,1,36.3,300,2025-06-06,HEA,Grade 5 T3,17.322,16.931,16.808,,6.0,NEW ARRANGEMENT,7,7.5
"",D,7,3,37.5,390,2025-03-06,SHE,Grade 5 T3,22.87,22.246,21.939,8.73,9.5,Delightful,7,3.6
"",D,4,7,37.5,390,2025-01-27,SHE,Grade 5,22.852,22.327,22.226,8.91,8.0,CRUSOE RICO,4,8.0
"",D,4,8,37.5,425,2025-01-17,BEN,Grade 5 No Penalty,24.66,24.066,23.552,,9.0,Yellow Hawk,4,3.4
3. MORE BOOST RICO,D,1,4,34.8,390,2025-06-16,BAL,Grade 5 T3,22.832,22.832,22.501,8.80675,0.75,PAW PASCAL,1,12.0
"",D,5,8,34.7,390,2025-06-09,BAL,Grade 5 T3,22.9,22.58,22.404,,5.0,PAW TEMPE,5,8.0
"",D,8,3,34.1,350,2025-06-06,HEA,Grade 5 T3,20.011,19.577,19.389,6.83825,6.5,Aussie Savannah,8,21.0
"",D,6,3,34.9,390,2025-06-02,SHE,Grade 5 T3,23.182,22.595,21.941,,9.0,COLLINDA PEARL,6,12.0
"",D,7,6,35.1,425,2025-05-30,BEN,Grade 5,24.859,23.882,23.747,,14.75,Tension Head,7,16.0
4. Mr. Flash,D,8,7,34.4,390,2025-06-23,BAL,Grade 5 T3,23.52,22.494,22.401,9.11425,15.5,SERENITY GIRL,8,3.4
"",D,2,10,34.7,390,2025-06-09,BAL,Grade 5 T3,22.646,22.432,22.404,,3.25,PYRENEES PRINCE,2,21.0
"",D,7,4,34.6,390,2025-05-26,BAL,Grade 5 T3,23.186,22.756,22.296,8.8925,6.5,Yabby Gang,7,4.2
"",D,4,2,34.3,390,2025-05-21,BAL,Grade 5 T3,22.875,22.426,22.37,8.8525,6.75,MORAINE MIA,4,6.0
"",D,5,7,34.2,425,2025-05-17,BEN,Grade 5,24.776,24.418,24.291,,5.5,SHAKA GOES BANG,5,5.0
5. SHIMA HARLEY,D,6,6,32.6,390,2025-06-14,BAL,Grade 5,23.042,22.728,22.504,8.895,4.75,TWO BAYS,6,4.2
"",D,3,8,32.4,390,2025-06-09,WAR,Grade 5,22.718,22.51,22.309,,3.25,Lektra Damian,3,15.0
"",D,8,3,31.9,390,2025-04-08,BAL,Grade 5 T3,23.345,22.306,22.251,,15.75,DECORATED,8,12.0
"",D,8,7,32.8,425,2025-03-05,BEN,Grade 5,25.009,24.182,23.826,,12.5,Hard Style Robbo,8,21.0
"",D,7,1,32.8,425,2025-01-25,BEN,Grade 5,24.888,24.137,23.863,,11.25,SILVER MACHINE,7,10.0
6. JERSEY JET,B,5,6,25.7,390,2025-06-16,BAL,Grade 5 T3,23.06,22.832,22.501,8.89425,3.5,MORE BOOST RICO,5,8.0
"",B,4,6,25.8,390,2025-06-02,SHE,Grade 5 T3,22.726,22.463,21.941,8.7445,4.0,Wandana Lad,4,2.8
"",B,1,6,25.8,400,2025-05-27,GEE,Grade 5,23.064,23.064,22.655,8.55,5.5,ROCKET SUSIE,1,4.4
"",B,3,1,25.5,400,2025-05-20,GEE,Grade 5,23.225,22.835,22.643,8.76675,6.0,KRAKEN HOOK,3,5.5
"",B,6,4,25.9,300,2025-04-29,HEA,Grade 5,17.622,17.294,17.033,4.0535,5.0,Silent Whisper,6,8.0
7. Astute Queen,B,6,1,28.5,390,2025-06-25,BAL,Grade 5,22.972,22.527,22.226,,6.75,IDRON BALE,6,16.0
"",B,6,7,28.5,460,2025-06-17,WAR,S/E Veteran,26.649,26.471,25.776,6.89125,2.75,Mick Says So,6,10.0
"",B,2,1,28.6,400,2025-06-12,WAR,Grade 5 T3,23.208,22.868,22.617,8.6325,5.25,SOCKS AND SLIDES,2,12.0
