Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. BARKING BLUE,D,5,4,34.2,595,2025-07-07,SAN,Restricted Win,35.561,35.017,34.916,,8.25,DON'T BLAME ME,5,7.0
"",D,6,7,34.4,400,2025-06-17,WAR,Mixed 6/7,23.233,23.102,22.676,8.7625,2.0,SARSAPARILLA KID,6,6.5
"",D,8,7,33.7,515,2025-06-05,SAN,Mixed 6/7 Final,30.887,29.856,29.344,,15.5,Mamasan,8,12.0
"",D,4,8,33.4,515,2025-05-26,SAN,Mixed 6/7 Heat,30.081,29.256,29.256,,12.5,Delicate,4,15.0
"",D,2,4,33.1,595,2025-05-19,SAN,Restricted Win,34.933,34.857,34.857,,1.25,CRUZADO,2,5.5
2. CROWN ARYA,B,4,8,28.6,460,2025-05-22,WAR,Mixed 6/7,26.846,26.601,26.002,6.82425,3.75,GETTING ON,4,4.8
"",B,6,4,28.9,460,2025-05-16,WAR,Mixed 6/7,26.37,25.921,25.82,6.759,6.75,SPICY LA VIDA,6,21.0
"",B,6,1,28.3,435,2025-05-11,SAL,Restricted Win,25.14,24.333,24.166,,12.25,BLACK XENA,6,21.0
"",B,6,7,28.4,525,2025-05-07,MEA,Mixed 6/7 Heat,30.903,30.082,29.877,,12.5,WITHOUT A TRACE,6,41.0
"",B,5,8,28.4,435,2025-05-04,SAL,Mixed 6/7,24.97,24.624,24.17,,5.25,LET'S PLAY BALL,5,12.0
3. MICKEY MOUSE,D,1,2,31.0,390,2025-07-07,WAR,Maiden,22.462,22.462,22.01,8.945,1.25,Boondock Lad,1,8.0
"",D,5,3,31.7,400,2025-06-24,GEE,Maiden,23.577,22.662,22.605,8.99,13.75,PAW XANTHIE,5,3.0
"",D,4,4,31.5,400,2025-06-20,GEE,Maiden,23.183,22.76,22.3,8.70175,6.5,FEELIN' FREE,4,4.0
"",D,3,7,31.6,450,2025-06-16,WAR,Maiden,26.062,25.611,25.611,6.8975,6.75,LEMON PEPPER,3,3.4
"",D,4,5,31.4,390,2025-06-11,BAL,Maiden,23.231,22.522,21.865,,10.75,FEDERAL HAVANA,4,5.0
4. BILLY BEAST,D,5,6,30.2,400,2025-07-08,GEE,Grade 7,23.071,22.627,22.583,,6.75,BACARDI GIRL,5,2.8
"",D,4,5,30.4,400,2025-07-04,GEE,Mixed 6/7,23.027,22.747,22.491,8.6125,4.25,PAW CLARISSA,4,16.0
"",D,5,6,30.6,400,2025-07-01,GEE,Mixed 6/7,23.336,22.644,22.644,8.8525,10.5,BLANK SLATE,5,5.0
"",D,1,3,30.6,400,2025-06-20,GEE,Maiden,23.301,23.301,22.3,,2.75,ASTON HARUTO,1,2.8
"",D,2,1,30.6,390,2025-06-16,WAR,Maiden,22.663,22.499,22.192,,2.5,SHE REBEL,2,1.9
6. MAGIC FLUX,D,6,3,27.8,390,2025-07-09,BAL,Grade 7,23.686,22.775,22.065,,13.75,SALTY SNOOP,6,10.0
"",D,4,2,27.8,390,2025-06-30,BAL,Tier 3 - Grade 7,22.887,22.847,22.223,,0.75,Pinaroo Flyer,4,4.6
"",D,6,2,27.3,460,2025-06-27,GEE,Mixed 6/7,26.897,26.023,25.879,6.85775,13.25,BILLY BUST UP,6,16.0
"",D,1,2,27.5,390,2025-06-23,SHE,Maiden,22.905,22.905,21.918,8.69,0.5,BAYINI,1,3.2
"",D,3,6,27.6,390,2025-06-18,BAL,Maiden,22.631,22.445,22.072,,3.0,PAW CLARISSA,3,4.0
7. SUPER SPEED,D,4,3,33.6,400,2025-07-08,GEE,Grade 6,22.893,22.658,22.583,,3.75,NEVER LOOK BACK,4,8.0
"",D,6,3,33.0,400,2025-07-01,WAR,Restricted Win Heat,23.593,22.631,22.631,,14.5,PAW ZEVON,6,18.0
"",D,1,2,33.0,400,2025-06-26,WAR,Tier 3 - Grade 7,23.084,23.084,22.805,,1.75,MISS BLACK,1,4.0
"",D,3,4,31.0,400,2025-05-08,WAR,Grade 7,23.443,23.144,22.99,8.8015,4.5,IN THE WEST,3,10.0
"",D,6,5,31.8,400,2025-04-17,WAR,Grade 7,23.8,22.992,22.74,8.9225,12.25,FIRE UP MARK,6,6.5
8. ULTIMATE BEAST,B,1,2,28.4,400,2025-07-08,GEE,Maiden,22.72,22.72,22.583,,4.75,TANTI AVENUE,1,3.2
"",B,3,2,28.2,400,2025-07-01,WAR,Maiden,23.533,23.314,22.631,,3.5,SAVVY LAD,3,6.0
"",B,2,6,28.2,400,2025-06-26,WAR,Tier 3 - Maiden,23.059,23.01,22.805,,0.75,REGGAE MISS,2,4.8
"",B,4,5,28.3,400,2025-06-12,WAR,Tier 3 - Maiden,23.268,23.043,22.617,8.88425,3.5,PRETTY ESMAY,4,8.0
"",B,2,2,27.9,460,2025-05-29,WAR,Tier 3 - Maiden,26.534,25.932,25.932,6.7945,9.0,TO PERU,2,6.0
