Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Princess Cruiser,B,5,4,27.2,340,2025-07-17,HOBT,MI4/5MA,20.08,19.48,19.23,5.19,8.5,Mighty Quinn,5,21.0
"",B,3,8,27.1,340,2025-07-08,HOBT,MI4/5MA,19.94,19.39,19.39,5.2,7.75,Cadia Gold,3,31.0
"",B,7,7,26.8,278,2025-07-01,LCTN,4,16.82,15.91,15.91,5.27,13.0,Peco,37,101.0
"",B,6,1,26.6,278,2025-06-10,LCTN,INV,16.59,16.01,15.91,5.07,8.25,Lady Juliette,6,71.0
"",B,7,7,26.6,278,2025-05-12,LCTN,5,16.85,16.04,16.0,5.2,11.5,CHALUPA BATMAN,27,21.0
2. Fine Aussie,D,4,7,32.9,278,2025-08-19,LCTN,5,16.36,16.2,15.75,,2.25,Secrets Revealed,4,11.0
"",D,3,1,33.1,278,2025-08-05,LCTN,5,16.37,16.25,15.96,5.19,1.75,Canya Breakout,3,9.0
"",D,4,3,32.9,278,2025-07-29,LCTN,5,16.63,16.47,15.83,5.41,2.25,Sydney Danger,324,5.5
"",D,7,5,33.0,340,2025-07-22,HOBT,5,20.09,19.56,19.33,5.37,7.5,Buckle Up Miles,7,11.0
"",D,2,6,32.7,340,2025-07-17,HOBT,MI4/5MA,19.73,19.48,19.23,5.26,3.5,Mighty Quinn,2,10.0
3. Volume Up,D,6,2,31.0,515,2025-07-28,LCTN,BT8,30.52,30.01,30.01,,7.25,Dianne's Beauty,42146,5.5
"",D,3,3,30.9,515,2025-07-21,LCTN,BT8,30.16,29.79,29.73,,5.25,Supreme Leader,3,4.8
"",D,6,4,30.7,461,2025-07-17,HOBT,BT8,26.15,25.7,25.7,5.14,6.25,Browsing About,6,26.0
"",D,3,5,31.6,340,2025-06-24,HOBT,5,20.04,19.68,19.3,5.33,5.25,That Was When,3,2.4
"",D,5,1,31.1,461,2025-05-06,HOBT,INV,26.27,25.86,25.71,5.14,5.75,Seattle,25,7.5
4. LITTLE ZOOM,D,4,3,29.0,515,2025-08-18,LCTN,2/3,30.35,29.88,29.88,,6.5,Jungle Boogie,4,13.0
"",D,5,2,29.3,515,2025-07-29,LCTN,4/5,30.33,29.68,29.5,,9.25,Sherwood Boys,5,4.0
"",D,2,4,28.8,340,2025-07-24,HOBT,4,19.85,19.47,19.47,5.34,5.25,APPENZELL,22,12.0
"",D,7,5,28.9,340,2025-07-22,HOBT,3/4,20.2,19.33,19.33,5.42,12.25,Buzzard Zorro,7,21.0
"",D,7,8,28.6,515,2025-07-14,LCTN,INV,30.45,29.76,29.38,5.11,9.75,Seattle,7,26.0
5. Highgate Sniper,D,7,8,31.8,340,2025-08-11,HOBT,4,20.09,19.46,19.39,5.28,9.0,Buster Scruggs,7,10.0
"",D,3,4,31.9,278,2025-03-11,LCTN,4,16.34,15.97,15.72,5.07,5.25,Chocolate's Can,363,4.6
"",D,5,2,31.8,278,2025-02-24,LCTN,4,16.4,16.24,16.07,5.26,2.25,BLACKPOOL TRIP,5,41.0
"",D,1,6,31.6,340,2025-02-20,HOBT,5,19.48,19.48,19.41,5.09,4.75,Cruiser Danger,1,15.0
"",D,3,4,31.6,278,2025-02-10,LCTN,4,16.34,15.86,15.86,5.22,6.75,Willow Can,3,31.0
