Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Blooming Lilien,B,6,5,29.6,300,2025-07-15,MAND,NOV,17.77,17.21,17.21,7.1,8.0,Red Hot Bernie,76,26.0
"",B,5,5,29.6,300,2025-07-08,MAND,NOV,17.77,17.49,17.21,7.03,4.0,Thai Surprise,65,18.0
"",B,6,4,29.8,381,2025-07-05,CANN,NOV,22.88,22.08,22.08,7.18,11.5,Pure Love,7766,34.0
"",B,7,4,29.9,300,2025-07-01,MAND,NOV,17.71,17.2,17.2,6.96,7.25,Paradise Flyer,77,20.0
"",B,3,1,30.1,300,2025-06-24,MAND,NOV,17.66,17.37,17.27,6.89,4.25,Woodburn Flash,43,2.9
2. Flash Gypsy,B,2,6,27.9,300,2025-07-15,MAND,NOV,17.56,17.21,17.21,6.74,5.0,Red Hot Bernie,22,10.0
"",B,3,7,28.3,300,2025-07-10,MAND,NOV,17.7,17.49,16.97,6.9,3.0,Handsome Hoot,33,2.5
"",B,5,7,28.3,300,2025-07-01,MAND,NOV,17.68,17.2,17.2,6.78,6.75,Paradise Flyer,45,4.0
"",B,5,2,28.4,300,2025-06-24,MAND,NOV,17.67,17.27,17.27,6.85,5.75,Pride And Power,45,6.0
"",B,2,7,28.3,300,2025-06-17,MAND,NOV,17.47,17.37,17.07,6.68,1.5,Tempting Lulu,12,10.0
3. REDHOT MONEY,B,4,3,24.1,400,2025-06-19,WAR,Tier 3 - Grade 7,23.308,22.873,22.789,8.41,6.5,DAINTREE BULLET,4,6.0
"",B,3,2,23.9,435,2025-06-11,SAL,Mixed 6/7,25.036,24.761,24.414,5.22,4.25,OMEGA PENNIE,3,5.5
"",B,4,8,23.9,435,2025-06-04,SAL,Tier 3 - Grade 7,25.045,24.911,24.585,,2.0,VIENNA GOLD,4,8.5
"",B,7,1,24.0,350,2025-04-29,HEA,Mixed 6/7,20.238,20.082,19.583,6.57,2.5,JEWEL MAGIC,7,8.0
"",B,5,2,25.7,435,2025-03-26,SAL,Tier 3 - Grade 7,25.238,24.88,24.156,,5.5,DR. BUCK,5,6.0
4. Chorus Rhythm,B,2,3,27.6,300,2025-07-15,MAND,NOV,17.46,17.43,17.21,6.66,0.5,Just Too Good,12,4.8
"",B,2,7,27.6,300,2025-07-08,MAND,NOV,17.5,17.49,17.21,6.77,0.125,Thai Surprise,22,10.0
"",B,3,2,27.6,300,2025-07-01,MAND,NOV,17.56,17.2,17.2,6.78,5.25,Paradise Flyer,33,8.0
"",B,4,6,27.6,300,2025-06-24,MAND,NOV,17.76,17.37,17.27,6.84,5.5,Woodburn Flash,34,6.0
"",B,2,2,27.6,300,2025-06-17,MAND,NOV,17.54,17.07,17.07,6.71,6.5,DAY ME GUAVA,22,5.5
6. Spare Me,D,8,6,34.5,300,2025-07-15,MAND,NOV,18.08,17.43,17.21,7.08,9.25,Just Too Good,88,81.0
"",D,7,6,34.4,300,2025-07-08,MAND,NOV,17.86,17.39,17.21,7.03,6.5,Chord Rhythm,67,71.0
"",D,6,8,33.4,300,2025-05-27,MAND,NOV,18.03,17.36,17.2,6.92,9.5,Incredible Angle,56,71.0
"",D,5,7,32.9,300,2025-05-20,MAND,NOV,17.82,17.46,17.19,7.04,5.25,Flash Gypsy,65,20.0
"",D,4,6,32.6,300,2025-05-13,MAND,NOV,17.77,17.44,17.26,6.96,4.75,Blooming Lilien,44,15.0
7. Stubborn George,D,6,9,29.7,300,2025-07-15,MAND,NOV,17.79,17.43,17.21,6.87,5.25,Just Too Good,56,34.0
"",D,3,3,29.5,300,2025-07-11,MAND,NOV,18.11,18.05,17.07,6.94,0.75,Cash To Flames,23,9.0
"",D,6,7,29.4,300,2025-07-03,MAND,NOV,18.04,17.25,17.13,6.99,11.25,MISS MONEY,56,41.0
"",D,3,7,29.4,300,2025-06-26,MAND,NOV,17.68,17.43,17.04,6.75,3.5,Fearless Kiwi,23,21.0
"",D,7,7,29.5,300,2025-06-10,MAND,NOV,17.87,17.45,17.13,6.9,6.0,Golden Handcuffs,67,41.0
8. Golden Handcuffs,D,5,3,29.5,300,2025-07-17,MAND,NOV,17.94,17.56,17.0,7.14,5.25,Mum's A Hoot,85,4.0
"",D,2,7,29.3,300,2025-07-08,MAND,NOV,17.44,17.39,17.21,6.66,0.75,Chord Rhythm,12,4.0
"",D,8,8,30.0,400,2025-06-17,MAND,NOV,24.03,22.87,22.78,12.33,16.5,Divot,478,71.0
"",D,1,8,30.0,300,2025-06-10,MAND,NOV,17.45,17.45,17.13,6.75,0.75,Flash Gypsy,21,14.0
"",D,5,6,29.6,300,2025-05-29,MAND,NOV,17.74,17.49,17.15,6.97,3.5,JUDGE JEBRYNAH,55,34.0
