Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Dire,D,6,6,32.4,401,2025-07-09,RICH,5,23.41,22.61,22.5,6.99,11.5,Zipping Balboa,4766,61.0
"",D,7,4,32.2,401,2025-07-04,RICH,5,23.71,22.86,22.7,6.94,12.25,Unleash Shirley,5777,18.0
"",D,1,5,32.0,320,2025-06-29,RICH,5,18.45,18.45,18.18,2.2,2.25,Anjo Panda,2211,8.0
"",D,7,8,31.7,401,2025-06-25,RICH,5,23.88,23.1,22.97,7.2,11.0,Rusty Cortez,8777,13.0
"",D,2,2,31.3,388,2025-06-17,GOSF,5,22.67,22.43,22.26,10.34,3.5,Limitless Larson,2222,11.0
2. Prolific,D,5,2,32.5,401,2025-06-20,RICH,5,23.77,23.03,22.6,6.97,10.5,Canya Sapphire,7455,13.0
"",D,5,4,32.8,401,2025-06-15,RICH,5,23.41,22.44,22.44,6.87,13.75,Canya Sapphire,7555,34.0
"",D,5,5,32.3,401,2025-06-08,RICH,4/5,23.23,22.68,22.54,6.88,7.75,Royal Panama,4455,5.0
"",D,2,3,32.7,340,2025-06-03,BUL,5,19.62,19.43,18.96,3.5,2.5,UNACCEPTABLE PEN,4432,2.6
"",D,4,7,32.7,401,2025-05-21,RICH,5,23.37,23.14,22.99,6.94,3.25,Cait Rod's Pearl,5344,14.0
3. Confectionery,D,2,7,32.0,320,2025-07-04,RICH,5,18.26,18.23,18.23,2.14,0.5,Zara's Secret,2222,5.0
"",D,6,3,31.6,401,2025-06-27,RICH,4/5,23.72,22.68,22.68,7.28,14.75,Speedy Pie,5666,18.0
"",D,4,4,31.9,401,2025-06-22,RICH,5,23.05,22.73,22.45,6.87,4.5,Zipping Hilda,5444,41.0
"",D,4,5,31.9,401,2025-06-15,RICH,5,23.09,22.44,22.44,6.95,9.25,Canya Sapphire,4864,19.0
"",D,2,8,31.9,320,2025-06-08,RICH,5,18.52,18.42,18.17,2.22,1.5,Shy Sheena,4432,2.2
4. Nikita Banner,B,1,1,25.9,401,2025-07-06,RICH,5,22.89,22.89,22.89,6.69,1.0,My Bread Roll,1111,4.2
"",B,3,8,25.9,320,2025-06-29,RICH,5,18.41,18.35,18.18,2.14,0.75,My Bread Roll,2233,3.8
"",B,8,6,26.0,401,2025-06-15,RICH,5,23.58,22.44,22.44,6.89,16.25,Canya Sapphire,2678,13.0
"",B,1,4,25.5,401,2025-06-08,RICH,5,23.02,23.02,22.54,6.65,0.125,Folding Stuff,1111,5.0
"",B,4,1,26.0,340,2025-06-03,BUL,5,19.5,19.25,18.96,3.41,3.5,That's Our Girl,3344,5.0
5. Federal Blue Boy,D,5,2,34.0,457,2025-06-05,QOT,5,26.09,25.95,25.34,4.39,2.0,Zipping Vivid,2215,1.95
"",D,4,1,33.9,390,2025-05-30,QOT,5,22.16,21.8,21.7,6.14,5.25,Ricochet Ripple,324,2.9
"",D,1,4,34.2,390,2025-05-23,QOT,5,21.74,21.74,21.74,6.07,2.5,Ricochet Ripple,111,2.2
"",D,2,3,34.1,390,2025-05-16,QOT,5,21.91,21.74,21.74,6.14,2.25,Tough Enough,542,5.0
"",D,6,3,32.4,520,2025-02-06,APTH,5,30.85,30.42,30.02,5.74,6.0,Spike Millington,676,3.9
6. Lady Chaos,B,2,5,26.6,320,2025-07-06,RICH,5,18.36,18.34,18.2,2.15,0.25,Wick's Bullet,3322,11.0
"",B,2,1,26.5,401,2025-06-29,RICH,4/5,23.21,22.93,22.81,6.78,4.0,Emgrand Drive,1122,21.0
"",B,6,5,26.4,320,2025-06-22,RICH,5,18.67,18.29,18.29,2.25,5.25,Someone's Loss,8886,34.0
"",B,7,8,26.5,401,2025-06-15,RICH,5,23.56,22.44,22.44,6.79,16.0,Canya Sapphire,6447,21.0
"",B,2,5,26.9,297,2025-06-05,DAPT,5,17.58,17.04,16.96,5.49,7.75,Magic Linkin,422,6.0
7. Zipping Clavell,B,3,4,28.4,401,2025-07-09,RICH,5,23.0,22.61,22.5,6.89,5.5,Zipping Balboa,2443,5.5
"",B,1,1,28.4,401,2025-07-02,RICH,5,23.11,23.11,22.88,6.97,2.0,Zipping Braddock,4321,2.9
"",B,1,2,28.1,401,2025-06-27,RICH,5,22.96,22.96,22.68,6.84,0.75,Unleash Shirley,5441,4.8
"",B,5,3,28.4,320,2025-06-22,RICH,5,18.98,18.67,18.29,2.24,4.25,Belle's Charm,4435,2.7
"",B,4,4,28.4,320,2025-06-18,RICH,5,18.69,18.31,18.25,2.22,5.25,Miss Goldie,6654,3.6
8. Wow It's Me,B,1,1,28.0,401,2025-07-09,RICH,4/5,22.83,22.83,22.5,6.73,4.25,Kiwi Kawa,1111,5.5
"",B,3,1,28.2,401,2025-07-02,RICH,4/5,23.21,22.88,22.88,6.89,4.75,She's Promising,2233,6.0
"",B,2,5,28.2,401,2025-06-25,RICH,5,23.08,22.97,22.97,6.8,1.5,Brother Joe,3342,4.8
"",B,5,8,28.2,320,2025-06-22,RICH,5,18.67,18.29,18.29,2.16,5.25,Someone's Loss,5575,14.0
"",B,4,4,28.3,520,2025-05-31,W/PK,5,30.48,30.12,29.66,5.7,5.25,Impulsive Miss,6734,18.0
