Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Italian Stallion,D,1,1,34.5,520,2025-07-19,CANN,5,29.8,29.8,29.8,5.4,3.5,Bunji Man,11111,1.7
"",D,7,3,34.7,520,2025-07-05,CANN,4/5,30.99,30.07,29.62,5.56,13.25,Sunset Serengeti,36567,2.1
"",D,1,1,34.6,520,2025-06-28,CANN,5,29.63,29.63,29.52,5.44,4.5,Chef's Dream,11111,1.45
"",D,1,2,34.6,520,2025-06-21,CANN,4/5,29.91,29.91,29.91,5.51,0.5,Echoes Of Dad,11111,2.65
"",D,4,7,34.8,520,2025-06-11,CANN,5,30.06,29.87,29.87,5.44,2.5,Simple Sally,12224,3.6
2. Mailata,D,2,1,33.3,520,2025-06-14,CANN,OPEN,29.59,29.57,29.57,5.45,0.25,Bezzecchi,11112,4.2
"",D,4,8,32.9,520,2025-06-07,CANN,OPEN,30.0,29.56,29.56,5.55,6.25,Bezzecchi,44444,2.9
"",D,5,3,32.9,520,2025-05-31,CANN,FFA,30.07,29.73,29.6,5.53,4.75,Sunset Hornet,44455,3.9
"",D,1,7,32.9,520,2025-05-24,CANN,OPEN,29.76,29.76,29.76,5.38,5.25,Echoes Of Dad,11111,5.0
"",D,2,8,33.1,520,2025-05-17,CANN,OPEN,29.67,29.62,29.47,5.43,0.75,Incredible Rogue,22112,7.5
3. Rare Speed,B,3,2,25.9,520,2025-08-02,CANN,FFA,30.46,30.18,29.88,5.57,4.0,XENI BALE,33443,4.8
"",B,1,4,25.6,520,2025-07-26,CANN,FFA,30.02,30.02,29.82,5.55,1.5,Timmy Tesla,33221,3.3
"",B,2,5,25.5,520,2025-07-19,CANN,FFA,30.1,29.9,29.8,5.54,2.75,Fire Lighter,21122,7.0
"",B,2,2,25.6,509,2025-07-07,NOR,FFA,29.41,28.93,28.93,5.86,6.75,Iconic Jet,42222,7.5
"",B,2,1,25.3,509,2025-06-30,NOR,FFA,29.73,29.68,29.68,5.81,0.75,Miss Ronnie Mac,11112,1.12
4. Transcendent,D,2,2,37.2,520,2025-03-08,CANN,OPEN,29.94,29.83,29.42,5.52,1.5,MORTON,42212,3.0
"",D,2,7,36.8,515,2024-11-23,SAN,S/E Heat,29.64,29.571,28.996,5.101,1.25,Buddy Monelli,2,13.2
"",D,2,4,37.0,515,2024-11-15,SAN,Special Event,29.462,29.441,28.938,5.1075,0.5,Joey The Jet,2,4.8
"",D,2,1,36.7,488,2024-10-26,MAND,FFA,27.23,27.21,27.11,5.68,0.25,Sunset Hornet,3212,1.5
"",D,1,3,36.5,520,2024-10-18,W/PK,NG,29.38,29.38,29.33,5.4,0.125,PAW PETROV,1111,4.2
6. West On Sidney,D,2,2,35.6,601,2025-07-26,CANN,4/5,34.42,34.12,34.12,9.76,4.25,La Sagrada,643322,2.2
"",D,1,7,35.4,601,2025-07-19,CANN,4/5,34.41,34.41,34.21,9.86,5.25,ASTON SMOKEY,432111,1.45
"",D,1,1,35.8,520,2025-07-12,CANN,OPEN,29.66,29.66,29.66,5.54,5.5,Bangor Tiger,21111,1.32
"",D,1,4,35.6,520,2025-07-05,CANN,OPEN,29.62,29.62,29.62,5.65,5.25,Bastianini,42211,1.65
"",D,5,8,35.8,601,2025-06-21,CANN,OPEN,35.25,34.55,34.55,9.86,10.0,Bezzecchi,644555,2.0
7. Timmy Tesla,D,2,1,30.1,520,2025-08-02,CANN,FFA,30.36,30.18,29.88,5.46,2.5,XENI BALE,21222,5.5
"",D,2,1,29.7,520,2025-07-26,CANN,FFA,30.13,30.02,29.82,5.52,1.5,Rare Speed,11112,3.2
"",D,4,2,29.5,520,2025-07-19,CANN,FFA,30.2,29.9,29.8,5.65,4.25,Fire Lighter,43334,9.5
"",D,5,4,29.3,509,2025-07-07,NOR,FFA,30.04,28.93,28.93,5.85,15.75,Iconic Jet,23345,8.0
"",D,4,2,29.5,488,2025-06-27,MAND,3/4,28.08,27.79,27.79,5.74,4.25,All About Stone,3334,1.85
8. ASTON BOLLINGER,B,4,7,28.0,537,2025-07-27,DARW,FFA,32.02,31.39,31.03,,9.0,Ace's Chance,4,2.6
"",B,5,7,27.8,537,2025-07-20,DARW,FFA,32.08,31.1,31.1,,14.0,Zipping Kimble,5,8.4
"",B,2,1,27.8,537,2025-07-13,DARW,FFA,31.59,31.25,31.25,,4.75,Zipping Kimble,2,1.8
"",B,1,4,27.5,520,2025-06-21,CANN,4/5,29.98,29.98,29.91,5.51,6.25,Arbolino,11111,3.3
"",B,1,6,27.5,509,2025-06-16,NOR,FFA,29.26,29.26,29.26,5.72,5.25,Formula Fun,11111,1.85
