Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Jet Fuel,D,5,1,31.7,515,2025-08-16,GRDN,5,30.53,29.89,29.72,5.02,9.25,Zipping Viper,3215,4.0
"",D,1,2,31.2,400,2025-08-08,GRDN,5,23.35,23.35,22.61,11.5,2.25,Sudden Surprise,511,1.95
"",D,3,2,31.3,450,2025-08-04,MAIT,5,25.7,25.39,25.14,7.95,4.25,No Bail Jester,4113,6.5
"",D,4,4,31.0,300,2025-07-30,TARE,M,17.9,17.28,17.28,6.63,8.75,Extra Voltage,664,8.5
"",D,1,4,31.2,300,2025-07-23,TARE,M,17.57,17.57,17.31,6.55,0.75,Extra Voltage,421,3.4
2. Sudden Surprise,D,6,5,32.4,400,2025-08-16,GRDN,5,23.57,22.97,22.78,11.58,8.5,Kasey's Way,456,11.8
"",D,4,6,32.6,340,2025-08-11,GUNN,5,20.3,20.12,19.62,6.88,2.5,Charge The Card,2544,7.0
"",D,2,6,32.6,400,2025-08-08,GRDN,5,23.51,23.35,22.61,11.58,2.25,Jet Fuel,422,10.0
"",D,4,2,32.2,340,2025-07-30,GUNN,5,20.15,19.9,19.55,6.77,3.5,TARGET TIME,3344,10.0
"",D,1,3,32.7,336,2025-07-19,MUSW,M,19.73,19.73,19.33,,6.0,Ninja Bye Bye,5111,1.75
3. Barstool Dollars,B,2,8,25.4,400,2025-08-16,GRDN,5,23.22,22.97,22.78,11.44,3.5,Kasey's Way,632,6.9
"",B,7,7,25.6,400,2025-08-08,GRDN,5,24.15,23.19,22.61,12.2,13.75,Housie Bob,37,15.0
"",B,1,2,25.2,388,2025-07-29,GOSF,M,22.63,22.63,22.14,10.24,1.0,Rico's Princess,1111,5.0
"",B,3,4,25.1,401,2025-07-25,RICH,M,23.41,22.92,22.43,6.91,7.0,Market Maverick,2223,26.0
4. Elite Koda,D,6,5,36.5,515,2025-08-16,GRDN,5,30.65,29.89,29.72,5.0,10.75,Zipping Viper,1166,50.8
"",D,4,5,36.5,400,2025-08-08,GRDN,5,23.6,23.28,22.61,11.58,4.5,Blazing Blue Ice,174,26.0
"",D,4,5,36.7,400,2025-08-01,GRDN,5,23.49,23.24,22.73,11.45,3.5,Froggy Did It,234,81.0
"",D,5,7,37.0,336,2025-07-12,MUSW,5,19.92,19.58,19.38,,4.75,Marvin Monelli,6555,6.5
"",D,5,3,36.8,400,2025-07-07,MAIT,5,23.11,22.51,22.4,5.38,8.5,Whitey,2245,51.0
5. RUN CLIFF RUN,D,3,1,37.4,300,2025-08-06,TARE,5,17.82,17.73,17.18,6.62,1.25,Kiarni Bad Girl,823,7.0
"",D,7,4,37.8,388,2025-07-15,GOSF,5,23.64,22.55,22.26,11.2,15.5,Princess Mika,7777,6.5
"",D,3,3,37.8,400,2025-07-05,GRDN,5,23.49,22.72,22.64,11.4,11.0,Tenacious Talker,343,23.0
"",D,2,3,36.8,400,2025-06-21,GRDN,5,23.39,22.88,22.82,11.47,7.25,Avocado Toast,752,9.5
"",D,5,5,36.6,388,2025-06-17,GOSF,5,22.88,22.4,22.26,10.53,6.75,Flying Damiro,6555,10.0
6. She's Ornate,B,5,2,28.2,400,2025-08-15,GRDN,5,23.08,22.72,22.72,11.34,5.25,She's Blissful,445,6.0
"",B,4,1,28.1,400,2025-08-11,MAIT,5,23.02,22.73,22.27,5.49,4.25,TARGET TIME,5564,3.0
"",B,5,4,27.7,400,2025-07-14,MAIT,5,23.07,22.65,22.24,5.55,6.0,Located,7875,13.0
"",B,2,7,27.5,400,2025-07-04,GRDN,5,23.34,23.12,22.39,11.46,3.0,Northern Tiger,632,2.2
"",B,5,2,27.3,400,2025-06-28,GRDN,5,23.51,23.38,22.77,11.59,1.75,Maeve Baby,765,5.5
7. Wreck It Rex,D,2,8,28.1,400,2025-08-15,GRDN,5,22.75,22.72,22.72,11.18,0.5,She's Blissful,632,6.0
"",D,1,7,28.0,340,2025-08-11,GUNN,5,20.0,20.0,19.62,6.69,4.0,Hip Hop,5411,1.8
"",D,3,4,28.2,400,2025-08-08,GRDN,5,23.27,23.19,22.61,11.56,1.0,Housie Bob,743,10.0
"",D,6,4,27.9,340,2025-07-30,GUNN,5,20.42,19.9,19.55,7.04,7.5,TARGET TIME,6666,3.3
"",D,7,6,28.0,431,2025-07-23,GUNN,5,26.13,24.98,24.85,12.12,16.25,Motor City Hawk,6677,4.6
8. Good Odds Keona,B,2,6,29.3,400,2025-07-25,GRDN,5,22.91,22.9,22.58,11.07,0.125,Minter Mulwee,422,3.2
"",B,3,8,29.3,400,2025-07-18,GRDN,5,23.25,23.2,23.0,,0.75,Barsando,833,3.8
"",B,2,3,29.4,400,2025-07-12,GRDN,5,23.09,23.06,22.91,11.32,0.5,Irinka Lindsay,612,1.8
"",B,2,2,30.0,400,2025-07-04,GRDN,5,23.18,23.18,22.39,11.34,0.031,Let's Trot Vixen,532,2.0
"",B,2,7,29.3,400,2025-06-27,GRDN,5,23.02,23.02,22.62,11.27,0.031,Past Tense,712,3.0
9. Circus Moon,B,5,4,25.1,400,2025-07-04,GRDN,5,23.54,23.18,22.39,11.61,5.25,Let's Trot Vixen,375,34.0
"",B,7,5,25.7,515,2025-05-17,GRDN,5,30.49,29.85,29.54,5.22,9.25,Sir Tick,6787,26.0
"",B,5,4,26.0,600,2025-05-10,GRDN,5,35.25,34.74,34.74,9.59,7.25,ARCTIC GIRL,235,9.0
"",B,5,7,25.8,600,2025-05-02,GRDN,MX,35.57,34.88,34.33,9.79,9.75,BLUE SUE,4555,23.0
"",B,6,8,25.9,515,2025-04-26,GRDN,5,30.38,29.46,29.46,5.24,13.25,ZIPPING PFEIFFER,7886,101.0
10. Bella Rory,B,4,9,28.8,400,2025-08-15,GRDN,5,23.48,23.1,22.72,11.72,5.25,It's A Rage,854,71.0
"",B,7,7,28.9,400,2025-08-08,GRDN,5,24.24,23.35,22.61,11.74,12.75,Jet Fuel,177,61.0
"",B,6,3,29.1,400,2025-07-25,GRDN,5,23.59,22.86,22.58,11.73,10.25,Hi Lo Rain,586,61.0
"",B,7,6,29.1,400,2025-07-11,GRDN,5,24.43,23.15,22.74,11.93,18.25,Moonshine Magic,477,21.0
"",B,6,6,29.3,400,2025-07-04,GRDN,5,23.57,22.98,22.39,11.82,8.25,Blue Dynamic,666,61.0
