Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Sunnybrook,D,2,7,34.1,320,2025-08-15,RICH,5,18.34,18.33,18.13,2.11,0.125,My Friend Bec,2222,7.0
"",D,1,4,34.0,320,2025-08-08,RICH,5,18.07,18.07,18.05,2.1,3.75,My Friend Bec,2211,5.5
"",D,3,4,33.2,320,2025-07-30,RICH,4/5,18.64,18.4,18.06,2.25,3.5,Hendrix,5543,4.0
"",D,7,4,33.6,401,2025-07-25,RICH,NG,23.51,22.89,22.43,6.96,8.75,Rema's Amethyst,4647,31.0
"",D,6,7,33.2,340,2025-07-15,BUL,4/5,19.62,19.14,19.14,3.43,6.75,HELLO EASY,7776,5.0
2. Usain Bark,B,6,1,28.1,401,2025-06-15,RICH,3/4,23.48,22.57,22.44,6.79,13.0,Both Bowers Ace,5346,10.0
"",B,1,1,28.2,320,2025-06-02,RICH,NG1-4,18.21,18.21,18.21,2.14,4.25,Not So Silent,2221,3.5
"",B,6,6,28.0,320,2025-05-21,RICH,NG1-4,18.56,18.09,18.03,2.17,6.5,Marlee Star,5576,51.0
"",B,7,4,27.9,320,2025-05-11,RICH,NG1-4,18.75,18.07,18.07,2.15,9.75,Flash Jet,5577,51.0
"",B,3,4,28.0,320,2025-01-03,RICH,NG1-4,18.55,18.15,18.15,2.15,5.75,Canya Supersonic,4443,14.0
4. Jack's Rocket,D,4,8,32.8,320,2025-08-15,RICH,FFA,18.5,18.13,18.13,2.32,5.25,Busy Man,6664,3.5
"",D,2,6,32.8,320,2025-08-10,RICH,NG1-4,18.38,18.37,18.16,2.2,0.125,Young Energy,4442,5.0
"",D,3,2,32.5,401,2025-07-11,RICH,NG1-4,23.06,22.67,22.67,6.72,5.5,Fusion Mint,2223,2.7
"",D,3,8,32.8,401,2025-06-22,RICH,NG1-4,22.96,22.45,22.45,6.84,7.25,Rema's Amethyst,5333,3.5
"",D,2,2,33.0,401,2025-06-15,RICH,3/4,22.62,22.57,22.44,6.66,0.75,Both Bowers Ace,2112,1.7
5. Batgirl,B,2,1,30.2,297,2025-08-14,DAPT,3/4,17.05,17.0,16.91,5.33,0.75,Corless Insane,222,2.5
"",B,3,2,29.8,297,2025-08-07,DAPT,FFA,17.21,17.06,17.06,5.36,2.0,Corless Insane,333,4.0
"",B,2,3,29.8,297,2025-07-31,DAPT,NG1-4,17.03,16.9,16.9,5.37,1.75,Forners Storm,222,12.0
"",B,3,4,29.9,320,2025-07-27,RICH,4/5,18.41,17.8,17.8,2.18,8.75,Zipping Strop,2243,11.0
"",B,3,1,29.5,297,2025-07-17,DAPT,FFA,17.21,17.04,17.02,,2.25,Canya Supersonic,233,5.0
7. Corless Insane,D,1,3,28.8,297,2025-08-14,DAPT,3/4,17.0,17.0,16.91,5.28,0.75,Batgirl,111,2.7
"",D,1,4,28.8,297,2025-08-07,DAPT,FFA,17.06,17.06,17.06,5.25,2.0,Raghnall Waltz,111,4.4
"",D,5,4,28.5,340,2025-07-29,BUL,NG1-4,19.53,19.19,19.14,3.31,4.75,HELLO EASY,5,9.0
"",D,4,3,28.3,297,2025-07-24,DAPT,3/4,17.42,16.96,16.91,5.39,6.5,Dynamic Sunny,344,4.2
"",D,8,3,28.0,297,2025-07-17,DAPT,FFA,17.89,17.04,17.02,,12.25,Canya Supersonic,388,4.0
8. Grid Girl,B,4,5,26.1,320,2025-06-20,RICH,FFA,18.82,18.25,18.25,2.08,8.25,Marlee Star,1124,4.2
"",B,6,8,26.5,350,2025-06-15,GRAF,NG,20.26,19.94,19.73,4.07,4.5,Divorce Source,1146,14.0
"",B,2,1,26.3,320,2025-06-04,RICH,NG,18.38,18.33,17.86,2.13,0.75,Crimson Dynamo,3312,3.4
"",B,1,5,25.9,320,2025-05-16,RICH,FFA,18.28,18.28,18.18,2.12,0.75,Marlee Star,3311,15.0
"",B,5,5,25.9,520,2025-04-17,W/PK,5,30.67,30.14,29.67,5.53,7.5,Fascinate Maria,1225,6.5
