Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Classic Emgrand,B,7,6,25.8,380,2025-08-15,TVLE,5,22.54,21.68,21.68,7.71,12.25,Underbelly Miss,7,17.0
"",B,7,4,25.6,380,2025-08-08,TVLE,P5,22.44,21.98,21.53,,6.5,ETERNAL WINTER,7,16.0
"",B,8,5,25.9,498,2025-08-05,TVLE,5,29.74,28.79,28.55,2.16,13.5,Bedworth,8,101.0
"",B,5,7,25.9,380,2025-08-01,TVLE,5,22.31,21.87,21.55,,6.25,Bridge Up Baby,5,41.0
"",B,3,3,25.7,380,2025-07-25,TVLE,P5,22.29,22.07,21.79,,3.0,Half Day Hero,3,9.0
2. Penny Girl,B,7,3,27.0,380,2025-08-15,TVLE,5,23.26,22.33,21.68,7.72,13.25,Dinosaur Bones,7,41.0
"",B,3,3,26.9,380,2025-08-08,TVLE,P5,22.37,22.14,21.53,6.18,3.25,ZIPPING PERKINS,3,41.0
"",B,6,8,26.5,380,2025-07-25,TVLE,P5,23.06,22.07,21.79,2.11,14.0,Half Day Hero,6,34.0
"",B,7,2,26.5,380,2025-06-20,TVLE,P5,22.82,22.1,21.8,,10.25,Oscar Tommy,7,34.0
"",B,8,5,26.3,380,2025-06-10,TVLE,5,22.8,21.78,21.56,,14.5,Molly Emgrand,8,51.0
3. TOMMY FROM MARS,D,6,8,32.4,498,2025-08-19,TVLE,5,29.68,29.11,28.72,9.11,8.25,BEN TANGO,6,51.0
"",D,4,5,32.4,380,2025-08-15,TVLE,5,22.09,21.68,21.68,7.76,5.75,Underbelly Miss,4,16.0
"",D,5,9,32.3,498,2025-08-12,TVLE,5/6,29.25,28.95,28.37,,4.25,Farmor Casual,5,71.0
"",D,4,6,32.5,380,2025-08-08,TVLE,P5,22.29,21.98,21.53,6.33,4.25,ETERNAL WINTER,4,31.0
"",D,5,6,32.7,498,2025-08-05,TVLE,5,29.47,29.01,28.55,2.2,6.5,Federal Tommy,5,41.0
4. Forner's Reign,D,4,4,35.5,380,2025-08-01,TVLE,5,21.98,21.76,21.55,6.13,3.0,FURIOUS PHANTOM,4,5.5
"",D,2,4,35.1,380,2025-07-18,TVLE,5,22.04,21.9,21.59,,2.0,Bar One Smokers,2,51.0
"",D,4,1,34.3,498,2025-06-06,TVLE,R/W,29.76,29.14,29.14,,8.75,Showtime Morris,4,6.5
"",D,7,8,34.2,380,2025-05-30,TVLE,P5,22.49,21.97,21.62,,7.5,ZIPPING PERKINS,7,5.0
"",D,8,5,34.4,380,2025-05-23,TVLE,5,22.7,21.8,21.7,,12.75,Cash Pirate,8,23.0
5. TURBO TOMMY,D,8,8,28.3,380,2025-08-15,TVLE,5,22.89,22.23,21.68,7.45,9.25,Time For Tina,8,31.0
"",D,3,6,28.3,380,2025-08-08,TVLE,P5,22.31,22.2,21.53,6.07,1.5,Aston Atkins,3,18.0
"",D,6,2,28.3,380,2025-08-01,TVLE,5,22.35,21.87,21.55,,6.75,Bridge Up Baby,6,51.0
"",D,5,7,28.3,380,2025-07-18,TVLE,5,22.53,21.81,21.59,,10.25,LOTS OF BUGS,5,21.0
"",D,6,7,28.3,380,2025-06-27,TVLE,5,22.3,21.65,21.65,,9.25,Poppy Ed,6,31.0
6. Call Me Alice,B,7,3,25.9,380,2025-08-12,TVLE,4/5,22.43,21.88,21.5,,7.75,Cash Pirate,7,10.0
"",B,7,6,25.9,380,2025-07-29,TVLE,4,22.46,21.5,21.5,,13.75,Total Franky,7,12.0
"",B,6,7,25.7,380,2025-07-22,TVLE,4,22.55,21.9,21.69,,9.25,Major Ando,6,9.0
"",B,5,5,25.6,380,2025-06-24,TVLE,3/4,22.19,21.81,21.69,,5.25,INSTINCTIVELY,5,8.5
"",B,4,5,25.6,380,2025-06-17,TVLE,3/4,22.29,22.0,21.63,,4.25,Cool Bananas,4,10.0
7. ARKA CHIEF,D,5,3,32.1,380,2025-08-15,TVLE,5,22.26,21.8,21.68,7.76,6.5,Baroski,5,7.0
"",D,4,4,32.6,380,2025-08-01,TVLE,5,22.09,21.87,21.55,6.16,3.0,Bridge Up Baby,4,7.5
"",D,7,3,32.1,380,2025-07-18,TVLE,5,22.59,21.74,21.59,,12.25,Hara's Serena,7,3.5
"",D,2,2,32.8,380,2025-06-24,TVLE,5,22.13,22.04,21.69,7.45,1.25,Ivy's Girl,2,2.8
"",D,3,2,32.7,380,2025-05-23,TVLE,5,21.97,21.8,21.7,,2.25,Cash Pirate,3,3.9
8. Cleo Blazer,B,6,8,26.0,380,2025-08-15,TVLE,5,22.47,21.78,21.68,7.58,9.75,ASTON JABBER,6,15.0
"",B,8,1,26.3,380,2025-08-08,TVLE,P5,22.46,21.81,21.53,,9.25,TOLD YOU SO,8,23.0
"",B,6,6,26.6,380,2025-08-01,TVLE,5,22.51,22.05,21.55,,6.5,Canya Scarlet,6,26.0
"",B,7,1,27.1,380,2025-07-18,TVLE,5,22.23,21.83,21.59,,5.75,Huey Luey,7,34.0
"",B,5,5,26.6,380,2025-06-24,TVLE,5,22.32,22.04,21.69,,4.0,Ivy's Girl,5,26.0
9. Maple Wave,B,5,6,26.2,380,2025-08-15,TVLE,5,22.27,21.83,21.68,7.65,6.25,BUG ME MORE,5,5.5
"",B,5,6,26.1,380,2025-08-01,TVLE,5,22.4,21.74,21.55,,9.25,Hara's Lilly,5,8.5
"",B,2,5,25.3,350,2025-06-13,GOUL,5,20.32,20.31,19.63,,0.125,Arthur Or Martha,4222,2.15
"",B,7,8,25.4,350,2025-06-06,GOUL,5,20.79,19.84,19.62,,13.5,Mellcat Bad Boy,7677,7.5
"",B,5,8,25.5,350,2025-05-30,GOUL,5,20.14,19.71,19.36,,6.0,Fancy Bella,6655,4.8
