Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. POWDER DRY,D,2,4,32.9,425,2025-08-08,BEN,Grade 7,24.483,24.368,23.892,,1.75,KRAKEN MILLY,2,21.0
"",D,2,7,33.7,425,2025-07-25,BEN,Grade 7,24.346,24.075,23.769,,4.25,NO MORE BEER,2,8.0
"",D,4,5,33.7,390,2025-07-21,SHE,Mixed 6/7,22.497,22.185,21.711,8.795,4.75,ROYAL RUPEE,4,10.0
"",D,5,6,33.0,425,2025-07-04,BEN,Mixed 6/7 Heat,24.583,24.189,23.619,,6.0,PAW DROGO,5,9.0
"",D,1,6,33.0,390,2025-06-26,SHE,Maiden,22.322,22.322,22.316,,1.0,GREEN SHOOTS,1,2.8
2. Mawonga Man,D,1,6,32.8,390,2025-08-18,SHE,Mixed 6/7 Heat,22.414,22.414,22.13,8.5995,2.25,HALF MAC,1,16.8
"",D,7,1,32.4,450,2025-07-28,SHE,Mixed 6/7,25.89,25.467,25.168,6.837,6.5,ANGRY MURRAY COD,7,2.6
"",D,2,6,32.4,457,2025-07-23,TEMA,5,25.81,25.75,25.75,,0.75,Indentations,2,8.0
"",D,2,1,33.7,457,2025-06-18,TEMA,5,25.94,25.86,25.5,,1.0,Ding's Sandy,2,3.1
"",D,7,7,33.5,457,2025-06-11,TEMA,5,26.43,25.8,25.56,,9.0,Yathong Tiger,7,7.1
3. FAST REPLY,D,3,1,36.0,450,2025-08-18,SHE,Mixed 6/7,25.614,25.334,25.279,6.87625,4.25,NO MORE BEER,3,18.3
"",D,7,1,36.4,450,2025-08-04,SHE,Mixed 6/7,25.715,24.783,24.783,6.971,14.0,TRAUMATISE,7,15.0
"",D,6,7,36.5,450,2025-07-28,SHE,Mixed 6/7,25.875,25.467,25.168,7.047,6.25,ANGRY MURRAY COD,6,12.0
"",D,3,3,36.5,500,2025-07-16,BEN,Tier 3 - Restricted Win,28.766,28.213,28.054,6.837,8.5,COUNT THE STARS,3,2.8
"",D,2,7,36.1,525,2025-07-09,MEA,Grade 7,30.735,30.367,30.145,5.366,5.5,JONI BLACK,2,8.5
4. MONALEEN HUGH,D,2,6,32.8,425,2025-08-13,BEN,Tier 3 - Grade 6,24.285,24.203,23.973,,1.25,MORAINE PIPER,2,12.0
"",D,7,3,33.0,525,2025-07-30,MEA,Mixed 6/7,31.051,30.399,30.091,,9.75,LIGHTNING SPEED,7,3.6
"",D,5,1,32.9,450,2025-07-26,BAL,Mixed 6/7,26.211,25.792,25.699,7.10175,6.5,MAJOR ORSON,5,4.6
"",D,2,3,32.3,425,2025-07-19,BEN,Grade 6,24.539,24.503,24.132,,0.75,BIRDHILL NED,2,3.6
"",D,2,6,32.0,525,2025-06-18,MEA,Mixed 6/7,30.334,30.033,29.967,5.26175,4.5,HERO BLUES,2,10.0
5. TICKETS,D,8,4,31.3,515,2025-08-07,SAN,Mixed 6/7 Final,31.055,29.478,28.933,5.145,23.75,CANYA MAROONS,8,21.0
"",D,2,8,31.1,515,2025-07-28,SAN,Mixed 6/7 Heat,30.259,30.216,29.654,,0.75,BRUTE FORCE,2,17.0
"",D,7,1,31.6,450,2025-05-30,BAL,Mixed 6/7 Final,25.705,24.761,24.694,,14.25,MEPUNGA FLYER,7,10.0
"",D,3,6,31.3,450,2025-05-25,BAL,Mixed 6/7 Heat,25.434,25.049,24.737,6.68,5.75,MEPUNGA FLYER,3,10.0
"",D,1,8,31.3,450,2025-05-10,BAL,Grade 7,25.704,25.704,25.368,6.775,0.75,MORAINE PIPER,1,6.5
6. THAI TIGER,D,1,2,34.9,425,2025-08-13,BEN,Tier 3 - Grade 7,24.249,24.249,23.973,,3.75,HUNTLY MISS,1,12.0
"",D,1,7,34.8,390,2025-08-07,SHE,Tier 3 - Maiden,23.299,23.299,22.632,,1.75,PRESENT GIFT,1,2.8
"",D,6,8,34.7,450,2025-06-19,SHE,Maiden,27.066,25.763,25.592,,19.5,ARGYLE WHISKEY,6,5.0
"",D,6,1,34.7,450,2025-06-09,SHE,Maiden,26.321,25.331,25.011,,15.0,CRACKERJACK RALF,6,2.8
"",D,5,8,34.4,460,2025-05-29,GEE,Maiden Heat,26.921,25.873,25.708,6.75,15.75,WEBLEC BILLY,5,3.0
7. ARGYLE WHISKEY,B,7,2,26.2,425,2025-08-15,BEN,Restricted Win,24.957,24.511,23.714,,6.75,SCOTT SIGMA,7,12.0
"",B,1,6,25.4,450,2025-07-31,SHE,Grade 7,25.798,25.798,25.302,6.607,1.0,It's All Bad,1,6.0
"",B,2,7,25.3,425,2025-07-04,BEN,Restricted Win,24.352,23.974,23.619,,5.75,PLATINUM RELEASE,2,3.6
"",B,5,5,25.3,425,2025-06-29,BEN,S/E Heat,24.467,24.014,23.624,,7.0,LAKEVIEW JUDE,5,15.0
"",B,1,2,25.6,450,2025-06-19,SHE,Maiden,25.763,25.763,25.592,,2.5,POWDER DRY,1,6.5
8. WEAPONRY,B,1,6,28.4,425,2025-08-16,BEN,Grade 7,24.059,24.059,24.017,,7.0,DARK MIRACLE,1,2.2
"",B,4,3,28.2,450,2025-08-04,SHE,Mixed 6/7,25.605,24.783,24.783,6.74,12.5,TRAUMATISE,4,4.6
"",B,1,5,28.1,450,2025-07-28,SHE,Maiden,25.436,25.436,25.168,6.68,3.5,LOUPART WOOD,1,10.0
"",B,5,4,28.1,450,2025-07-07,SHE,Maiden Heat,26.129,25.811,25.078,7.0695,4.75,BAILIESTON,5,4.2
9. BAILIESTON,B,7,7,25.0,525,2025-08-13,MEA,Mixed 6/7 Heat,31.951,30.173,29.875,5.2135,26.75,SOFT BEAUTY,7,12.0
"",B,5,3,25.0,450,2025-07-31,SHE,Grade 7,26.013,25.798,25.302,6.7645,3.25,ARGYLE WHISKEY,5,3.0
