Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Park Key Pop,D,6,3,30.0,336,2025-07-19,MUSW,4,19.66,19.41,19.33,,3.5,Marvin Monelli,2166,6.5
"",D,4,6,30.2,336,2025-07-12,MUSW,4,19.81,19.64,19.38,,2.25,HAVANA ROSE,2244,5.0
"",D,5,3,31.1,300,2025-06-25,TARE,5,18.04,17.5,17.26,6.66,7.75,She's Silky,345,12.0
"",D,2,8,31.3,300,2025-06-18,TARE,5,17.78,17.42,17.33,6.65,5.25,Blue Majestic,522,9.5
"",D,1,3,30.9,336,2025-06-14,MUSW,5,19.44,19.44,19.34,,2.5,White Key Hole,211,1.8
2. Mercurial High,B,8,2,25.2,388,2025-08-19,GOSF,5,23.1,22.41,22.15,10.64,9.75,Federal Duke,78,101.0
"",B,7,5,24.5,320,2025-07-27,RICH,5,18.91,18.29,17.8,2.22,8.75,Princess Mika,5557,7.0
"",B,2,8,24.5,350,2025-07-18,GOUL,5,20.42,20.29,19.51,,1.75,Big Bang Buster,7322,19.0
"",B,1,4,24.2,350,2025-07-11,GOUL,5,20.32,20.32,20.11,6.6,3.0,Reign Of Chaos,1111,10.0
"",B,3,8,24.0,350,2025-07-04,GOUL,5,20.5,20.4,19.67,,1.5,Calla Muffin,7233,5.0
3. PINEAPPLE JUICE,D,5,1,31.5,520,2025-07-10,W/PK,5,30.74,29.83,29.54,6.1,13.0,GINNY'S RUN,5555,51.0
"",D,3,3,31.4,400,2025-07-04,GRDN,5,23.29,23.05,22.39,11.6,3.5,Hardy Rum,453,18.0
"",D,6,4,31.6,400,2025-06-30,MAIT,5,23.5,22.89,22.34,5.94,8.75,Tarawi Pringle,7766,41.0
"",D,3,5,31.4,400,2025-06-27,GRDN,5,23.33,23.02,22.62,11.6,4.25,Past Tense,133,81.0
"",D,3,3,31.5,400,2025-06-20,GRDN,5,23.65,23.13,22.4,11.71,7.5,Rare Obsidian,743,23.0
4. Fabulous Flame,B,4,3,26.0,300,2025-07-20,TARE,5,17.94,17.78,17.34,6.71,2.25,Anguilliformes,364,5.5
"",B,2,7,26.1,388,2025-07-15,GOSF,5,22.75,22.72,22.26,10.23,0.5,QUEST FOR BUCKS,2112,11.0
"",B,7,4,26.1,300,2025-06-25,TARE,5,18.2,17.5,17.26,6.75,10.0,She's Silky,777,6.5
"",B,2,2,25.7,340,2025-06-18,GUNN,5,20.03,20.01,19.51,6.64,0.25,Salamat,1222,11.0
"",B,1,7,25.7,320,2025-06-14,PPK,4/5,18.38,18.38,18.18,,0.031,Screaming Envy,2221,2.0
6. Poppy Lane,B,7,3,28.8,340,2025-08-13,GUNN,4/5,20.87,19.65,19.46,6.92,17.25,Betty Bush,7777,23.0
"",B,4,1,28.2,340,2025-06-25,GUNN,NG1-4,20.0,19.59,19.59,6.64,5.75,Pessimism,3344,16.0
"",B,3,3,27.2,272,2025-06-11,GRDN,4/5,15.96,15.72,15.66,4.61,3.5,Elle Robbo,433,9.0
"",B,6,4,27.0,340,2025-06-08,GUNN,4/5,20.03,19.68,19.4,6.65,5.0,Shorty Boy,4466,26.0
"",B,3,2,26.9,272,2025-06-06,GRDN,4/5,16.14,15.82,15.82,4.59,4.5,Diva's Shine,443,4.8
7. Whiskey Red,D,5,2,31.5,340,2025-08-11,GUNN,5,20.7,20.0,19.62,6.95,10.0,Mortar,8855,14.0
"",D,6,3,31.6,400,2025-08-08,GRDN,5,23.66,22.77,22.61,11.77,12.75,Zipping Vivid,786,17.0
"",D,1,5,31.2,340,2025-07-21,GUNN,5,20.0,20.0,19.56,6.62,0.75,Time To Crank,1111,3.5
"",D,1,6,31.3,336,2025-07-19,MUSW,5,19.57,19.57,19.33,,1.5,Spot On Fernando,4111,3.7
"",D,3,3,31.4,336,2025-07-12,MUSW,5,19.72,19.58,19.38,,2.0,Marvin Monelli,5333,5.0
8. Muggle,B,5,1,24.9,340,2025-08-13,GUNN,5,20.18,19.59,19.46,6.63,8.25,Audition Day,2355,5.0
"",B,2,3,25.0,340,2025-07-30,GUNN,5,20.18,19.69,19.55,6.69,7.0,Bold Jet,2222,8.0
"",B,5,4,25.0,340,2025-07-16,GUNN,5,20.72,19.94,19.38,7.14,11.0,Fulfilment,5555,3.8
"",B,4,8,25.3,340,2025-07-09,GUNN,5,20.61,19.95,19.4,6.67,9.25,Prince Rolex,3244,2.25
"",B,1,2,25.0,340,2025-06-18,GUNN,5,19.75,19.75,19.51,6.57,6.0,Lumeah Ziggy,1111,1.65
