Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Bang Bang Jack,D,1,6,32.0,595,2025-07-18,AP/K,SE,34.82,34.82,34.82,8.89,1.75,Dolan,1,5.5
"",D,4,1,32.1,530,2025-07-10,AP/K,5,31.11,30.86,30.04,5.5,3.5,SIR DODGE,4,21.0
"",D,3,8,32.2,530,2025-07-03,AP/K,5,31.05,30.87,30.3,5.38,2.5,HOME TOWN,35643,17.0
"",D,3,2,32.2,342,2025-06-24,AP/K,TG5+W,19.77,19.67,19.67,4.66,1.5,Allinga Mercury,3433,5.5
"",D,3,4,32.2,530,2025-06-19,AP/K,5,31.06,30.95,30.18,5.34,1.5,Princess Tilley,12233,17.0
2. Pet Detective,D,1,2,32.8,455,2025-07-20,MBR,4/5,25.49,25.49,25.37,8.09,4.75,Terrific Baz,1,1.6
"",D,2,3,32.6,455,2025-07-13,MBR,4/5,25.87,25.85,25.7,8.24,0.25,Terrific Izzy,2,1.3
"",D,1,6,32.4,395,2025-07-06,MBR,3/4/5,22.38,22.38,22.3,5.11,5.0,Victory Club,1111,1.09
"",D,1,8,32.5,400,2025-06-29,GAWL,5,22.88,22.88,22.8,8.83,1.75,Long Gully Ash,4111,2.15
"",D,2,5,32.3,300,2025-06-24,MBS,5,16.57,16.49,16.23,4.46,1.0,Bobcat Chevy,3222,1.65
4. Time After Time,B,3,3,29.8,530,2025-07-17,AP/K,5,31.22,31.13,30.05,5.44,1.25,Eldritch,3,4.4
"",B,1,6,29.6,530,2025-07-10,AP/K,I,30.75,30.75,30.04,,2.5,Multi Matt,1,2.5
"",B,5,6,29.6,595,2025-07-03,AP/K,SE,34.81,34.08,34.08,8.63,10.25,Big Chief Size,333555,101.0
"",B,5,6,29.3,595,2025-06-26,AP/K,SE,34.76,34.16,34.16,8.54,8.5,Black Chip,455555,31.0
"",B,3,7,29.1,400,2025-06-18,GAWL,I,23.31,22.99,22.49,8.99,4.5,Lucinda Grey,3,5.5
5. Dolan,D,2,8,35.2,595,2025-07-18,AP/K,SE,34.94,34.82,34.82,8.96,1.75,Bang Bang Jack,2,1.8
"",D,1,6,35.1,530,2025-07-11,AP/K,TG5+W,31.09,31.09,30.73,5.39,0.5,Kiss For Luck,1,1.6
"",D,1,3,35.1,530,2025-07-04,AP/K,SE,30.7,30.7,30.33,5.27,1.5,Wicket,22211,3.2
"",D,2,4,35.5,530,2025-06-26,AP/K,6,31.05,30.83,30.01,5.37,3.0,Sebea,46442,2.9
"",D,1,2,35.0,530,2025-06-19,AP/K,6,30.87,30.87,30.18,5.36,2.0,Referent Power,41111,2.1
7. ISABELLA'S BLITZ,B,2,6,24.5,595,2025-07-17,AP/K,5/6,34.51,34.34,34.13,8.68,2.25,Zinfandel Trace,2,3.0
"",B,2,4,24.0,595,2025-07-10,AP/K,4/5,34.44,34.36,34.36,8.69,1.0,Big Chief Size,2,23.0
"",B,2,7,23.6,680,2025-07-06,MBR,SE,39.63,39.48,39.48,,2.0,DAINTREE TIGER,222222,1.85
"",B,3,4,23.9,455,2025-06-27,MBR,5,25.89,25.24,25.24,8.34,9.25,Cubit Monelli,65553,6.5
"",B,1,8,24.0,595,2025-06-19,AP/K,6,34.46,34.46,34.46,8.73,1.5,HOME TOWN,333211,6.0
8. Royal Nangar,D,3,4,36.2,512,2025-07-20,MT/G,OPEN,30.45,30.1,30.02,4.42,5.0,Gaping Margin,3,2.8
"",D,1,2,35.7,512,2025-07-13,MT/G,OPEN,30.07,30.07,30.07,,2.0,DIRTY DASH,1,3.7
"",D,3,5,36.1,530,2025-07-04,AP/K,5,30.98,30.33,30.33,5.35,9.25,Dakota Ava,42333,4.8
"",D,1,2,35.5,530,2025-06-26,AP/K,I,30.77,30.77,30.01,5.29,0.25,Hunker Down,11111,1.6
"",D,1,3,35.4,530,2025-06-09,AP/K,I,30.79,30.79,30.69,5.24,6.25,No Idea,1,1.35
