Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. MADE UP STORIES,B,2,2,27.3,390,2025-07-09,BAL,Grade 5 Heat,22.492,22.458,22.065,,0.75,Butterflies Lad,2,10.0
"",B,4,3,26.8,400,2025-07-04,WAR,Grade 5,23.113,22.872,22.686,,3.75,QILIN BALE,4,7.5
"",B,7,6,27.0,435,2025-06-29,SAL,Mixed 4/5,25.289,24.357,24.357,,14.0,PAW ZELINI,7,7.0
"",B,2,8,27.2,300,2025-06-22,HEA,Restricted Win Final,16.752,16.665,16.519,,1.5,NAMBROK NICK,2,4.6
"",B,1,8,27.4,300,2025-06-15,HEA,Restricted Win Heat,16.818,16.818,16.547,,1.0,ZINZAN PLODDER,1,3.6
2. MIA COCO,D,2,7,31.3,390,2025-07-09,BAL,Grade 5 Heat,22.591,22.43,22.065,,2.5,Simply Stylish,2,2.8
"",D,3,1,30.8,450,2025-07-03,WAR,Grade 5,25.504,25.025,25.025,6.585,7.25,NEEDFUL,3,10.0
"",D,1,5,30.7,450,2025-06-25,BAL,Mixed 4/5,25.945,25.945,25.722,,0.75,BRING YOUR BEST,1,10.0
"",D,7,2,31.2,450,2025-06-11,BAL,Mixed 4/5,26.284,25.514,25.514,,11.5,FLYING CURRENCY,7,14.0
"",D,5,7,30.8,425,2025-06-06,BEN,S/E Heat,24.461,23.933,23.727,,8.0,DUBROW,5,4.0
3. Funny Old Fellow,D,1,7,35.5,390,2025-07-09,BAL,Grade 5 Heat,22.515,22.515,22.065,,0.5,MY GRACIE,1,1.9
"",D,5,8,35.4,425,2025-06-20,BEN,Mixed 4/5,24.473,24.219,23.851,,4.0,Dusty Mcgraw,5,2.8
"",D,1,7,35.8,400,2025-06-13,GEE,Group Listed,22.221,22.221,22.221,8.28,6.25,Lyndl Said No,1,1.9
"",D,1,5,36.2,390,2025-06-05,BAL,Veterans Heat,21.704,21.704,21.704,,7.5,Awesome Avenger,1,6.0
"",D,2,4,36.2,300,2025-06-01,HEA,Special Event,16.709,16.697,16.604,3.96,0.25,Millie,2,2.8
4. MY GRACIE,B,2,5,29.1,390,2025-07-09,BAL,Grade 5 Heat,22.538,22.515,22.065,,0.5,Funny Old Fellow,2,18.0
"",B,1,5,29.0,425,2025-06-13,BEN,Restricted Win,24.212,24.212,23.779,,5.75,MAGIC TIGERESS,1,4.0
"",B,2,2,29.0,600,2025-06-04,MEA,Restricted Win,35.485,34.831,34.831,9.27,10.0,DESTINY LANE,2,10.0
"",B,8,10,29.0,450,2025-05-25,BAL,Mixed 6/7 Heat,26.375,25.336,24.737,,15.75,GALENTO,8,26.0
"",B,4,1,28.8,390,2025-05-19,SHE,Mixed 6/7 Final,22.399,21.819,21.765,8.7225,8.75,THIS BLACK DUCK,4,15.0
5. Wario,D,1,2,33.0,390,2025-07-09,BAL,Grade 5 Heat,22.125,22.125,22.065,,7.25,ROSCOE BALE,1,2.2
"",D,2,8,33.2,390,2025-07-02,BAL,Mixed 4/5,22.242,22.124,22.076,,2.0,PRETTY FOLLIE,2,3.4
"",D,3,1,32.7,400,2025-06-27,GEE,Mixed 4/5,22.634,22.299,22.299,8.37,5.0,NO RESTRICTIONS,3,3.4
"",D,1,4,33.2,300,2025-06-22,HEA,Mixed 4/5,16.568,16.568,16.519,3.85,4.0,Spotty Can Run,1,2.6
"",D,1,2,32.7,390,2025-06-11,BAL,S/E Veteran,21.865,21.865,21.865,,1.25,Silky Sauce,1,2.8
6. Simply Stylish,D,1,8,35.5,390,2025-07-09,BAL,Grade 5 Heat,22.43,22.43,22.065,,2.5,MIA COCO,1,4.0
"",D,6,3,35.2,350,2025-07-06,HEA,Grade 5,19.851,19.547,19.051,6.8075,4.75,HEAD HUNTER,6,5.5
"",D,1,6,34.8,390,2025-07-01,BAL,Grade 5,22.08,22.08,22.08,8.41,10.0,BINGO DASH,1,3.2
"",D,4,6,34.9,390,2025-06-25,BAL,Grade 5,22.76,22.527,22.226,,3.5,IDRON BALE,4,8.0
"",D,1,3,34.7,350,2025-06-20,HEA,Grade 5 T3,19.295,19.295,19.295,6.55,3.25,SPECIAL SIAN,1,10.0
7. ROSCOE BALE,D,2,8,30.9,390,2025-07-09,BAL,Grade 5 Heat,22.603,22.125,22.065,,7.25,Wario,2,4.8
"",D,4,1,30.8,400,2025-07-04,GEE,Mixed 4/5,22.635,22.491,22.491,,2.25,GAS LANTERN,4,7.5
"",D,6,4,30.7,425,2025-06-27,BEN,Grade 5,24.499,24.299,23.682,,3.0,SPEEDY KHE SANH,6,3.6
"",D,3,1,30.4,425,2025-06-20,BEN,Grade 5,24.28,24.036,23.851,6.7125,3.75,PAW RIVAL,3,4.8
"",D,3,3,30.4,425,2025-06-13,BEN,Grade 5,24.239,24.104,23.779,,2.25,DEROGATIVE,3,6.5
8. Butterflies Lad,D,1,4,33.2,390,2025-07-09,BAL,Grade 5 Heat,22.458,22.458,22.065,,0.75,MADE UP STORIES,1,9.0
"",D,7,4,33.2,390,2025-07-02,BAL,Grade 5,23.075,22.294,22.076,,11.75,SCENIC COURT,7,8.0
"",D,6,4,33.6,450,2025-06-25,BAL,Grade 5,26.232,25.722,25.722,6.868,7.75,BLACK STATESMAN,6,16.0
"",D,2,7,33.8,390,2025-06-18,BAL,Grade 5,22.389,22.121,22.072,,4.0,JUST BELIEVE,2,7.0
"",D,6,5,33.8,390,2025-06-12,WAR,Grade 5,22.653,22.258,21.979,,6.0,TRUTH TELLER,6,8.0
9. Myola Nick,D,2,6,34.8,390,2025-07-16,BAL,Grade 5,22.172,22.071,21.708,,1.75,Ice Bath Forth,2,7.5
"",D,3,2,35.1,390,2025-07-09,BAL,Grade 5 Heat,22.565,22.515,22.065,,0.75,Funny Old Fellow,3,8.0
"",D,5,1,35.3,390,2025-07-02,BAL,Mixed 4/5,22.451,22.124,22.076,,5.0,PRETTY FOLLIE,5,10.0
"",D,2,4,34.9,400,2025-06-27,GEE,Grade 5,22.903,22.865,22.299,8.4775,0.75,ON SONG ICE,2,9.0
"",D,3,2,35.5,350,2025-06-22,HEA,Mixed 4/5,19.442,19.398,18.976,6.6245,0.75,RAGING STORM,3,6.5
10. TINKER DOT,B,5,1,27.7,390,2025-07-16,BAL,Mixed 4/5,22.471,22.075,21.708,,6.0,QUEEN AVENGER,5,7.5
"",B,3,4,28.0,390,2025-07-09,BAL,Grade 5 Heat,22.6,22.43,22.065,,2.75,Simply Stylish,3,5.0
"",B,2,1,27.9,390,2025-07-02,BAL,Grade 5,22.221,22.076,22.076,,2.25,NAUGHTY NORM,2,9.0
"",B,2,7,27.9,425,2025-06-27,BEN,Grade 5,24.126,24.001,23.682,,2.0,SWEET LOVE,2,18.0
"",B,5,7,28.2,400,2025-06-24,WAR,Free For All,22.995,22.842,22.648,,2.5,MORE BEER PLEASE,5,11.0
