Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. MIKADO JEWEL,B,3,7,26.5,300,2025-06-25,HEA,Grade 5,17.247,17.065,17.065,4.054,2.75,MT. VIEW AMOUR,3,10.0
"",B,6,5,27.3,400,2025-06-05,WAR,Grade 5,23.502,23.255,22.545,,3.75,Sons Of Tom,6,12.0
"",B,7,3,27.1,350,2025-05-30,HEA,Grade 5 T3,20.093,19.714,19.712,6.82425,5.75,BLAME ESMERALDA,7,10.0
"",B,5,3,27.1,400,2025-05-22,WAR,Grade 5,23.437,22.889,22.856,,8.25,ROLLING COAL,5,6.5
"",B,8,6,26.5,350,2025-05-06,HEA,Grade 5,20.014,19.332,19.332,6.842,10.25,BRAVADO,8,5.0
2. Especial Yogi,D,8,8,32.3,350,2025-03-28,HEA,Grade 5 T3,19.758,19.448,19.448,6.5455,4.75,SPECIAL SIAN,8,5.3
"",D,8,7,32.3,350,2025-03-09,HEA,Grade 5,19.763,18.974,18.974,6.61175,12.0,FURIOSO RICK,8,41.0
"",D,1,3,32.1,300,2025-03-02,HEA,Grade 5,17.099,17.099,16.66,3.947,0.5,Easily Amused,1,5.0
"",D,8,1,31.6,300,2025-01-26,HEA,Grade 5,17.286,16.517,16.517,3.97125,11.5,Shima Stripe,8,12.0
"",D,7,6,31.8,300,2025-01-19,HEA,Grade 5,16.838,16.602,16.5,3.91,3.75,STIFLER,7,21.0
3. COLLINDA AIR,B,3,3,28.2,450,2025-07-07,WAR,Grade 5,25.912,25.856,25.533,6.72,1.0,JETSON EXPRESS,3,1.7
"",B,3,7,28.5,500,2025-07-02,BEN,Grade 5,28.849,28.498,28.498,,5.25,ALFIE ABALONE,3,7.0
"",B,6,5,28.2,500,2025-06-27,BEN,Grade 5,28.666,28.216,28.107,,6.75,JILL'S JULIETTE,6,21.0
"",B,7,4,27.9,500,2025-06-18,BEN,Grade 5 T3,29.189,28.803,28.422,,6.0,URANO BALE,7,12.0
"",B,5,7,27.5,450,2025-06-14,BAL,Mixed 4/5,26.266,25.998,25.721,6.84775,4.0,DON'T TELL SHELL,5,8.0
4. Sarah Louise,B,7,3,27.0,350,2025-06-27,HEA,Grade 5 T3,20.026,19.509,19.485,,7.75,ANGRY FRANKY,7,8.0
"",B,6,5,26.9,350,2025-06-20,HEA,Grade 5 T3,19.712,19.295,19.295,6.64625,6.25,Simply Stylish,6,15.0
"",B,3,1,27.1,350,2025-06-06,HEA,Grade 5 T3,19.692,19.577,19.389,6.72975,1.75,Aussie Savannah,3,3.6
"",B,3,6,27.1,300,2025-05-30,HEA,Grade 5 T3,17.3,17.212,16.953,4.05875,1.5,Full On Aileen,3,8.5
"",B,5,6,27.3,350,2025-05-23,HEA,Grade 5 T3,20.01,19.717,19.603,6.8025,4.5,WHATEVER HE SAID,5,5.5
5. HARD PRESS,B,6,1,27.6,350,2025-06-27,HEA,Grade 5 T3,19.83,19.485,19.485,6.6175,5.25,FIRING CHIEF,6,3.6
"",B,4,1,28.1,350,2025-05-30,HEA,Grade 5 T3,19.983,19.776,19.712,,3.25,WE ARE ONE,4,3.0
"",B,1,3,28.0,350,2025-05-23,HEA,Grade 5 T3,19.696,19.696,19.603,6.61,1.75,Nigerian Kaboom,1,3.2
"",B,4,5,27.9,350,2025-05-16,HEA,Grade 5 T3,20.001,19.791,19.414,6.752,3.25,Howe Pie,4,2.4
"",B,5,7,28.1,350,2025-05-09,HEA,Grade 5 T3,19.849,19.616,19.224,6.635,3.5,Aussie Savannah,5,4.2
6. BULLSEYE BOB,D,1,3,32.8,350,2025-07-09,HEA,Grade 5,19.646,19.646,19.646,6.7405,2.25,Howe Pie,1,3.2
"",D,1,1,32.7,350,2025-07-04,HEA,Grade 5 T3,19.702,19.702,19.397,6.6975,1.25,INTERCEPT QUEEN,1,3.2
"",D,3,7,32.5,350,2025-06-27,HEA,Tier 3 - Restricted Win,19.742,19.707,19.485,6.869,0.75,BENGAL  BEAST,3,10.0
"",D,6,1,32.5,350,2025-06-25,HEA,Grade 5,20.385,20.035,19.491,6.8265,5.25,ZIPPI MUSTANG,6,2.8
"",D,2,10,32.0,350,2025-06-20,HEA,Grade 5 T3,19.717,19.622,19.295,6.775,1.5,REDGUM WARS,2,7.5
7. REV QUERIDA,B,7,2,29.2,425,2025-07-02,BEN,Grade 5,25.274,24.436,24.131,6.7995,12.75,PERFECT LIAM,7,16.0
"",B,7,1,28.7,350,2025-06-27,HEA,Grade 5 T3,20.225,19.839,19.485,6.87425,6.0,Superfly Girl,7,8.0
