Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. TAKE THE STEPS,D,6,6,36.2,485,2025-07-15,HOR,Grade 5,27.998,27.329,27.166,,10.0,BABY GIRL PEARL,6,2.8
"",D,1,5,36.2,450,2025-07-10,WAR,Grade 5,25.548,25.548,25.354,6.71,2.0,PAW XANDER,1,3.2
"",D,7,6,36.4,450,2025-06-19,WAR,Mixed 4/5,25.912,25.115,24.716,6.78875,12.0,TRIBECA,7,18.0
"",D,4,3,36.4,450,2025-06-12,WAR,Mixed 4/5,25.642,25.224,24.946,,6.25,LADY JULIA,4,9.0
"",D,5,5,36.3,485,2025-06-03,HOR,Mixed 4/5,27.919,27.288,27.288,,9.5,CHEAP RED WINE,5,9.0
2. TOXIC SLIME,D,2,2,34.6,485,2025-07-15,HOR,Grade 5,27.599,27.329,27.166,,4.25,BABY GIRL PEARL,2,6.0
"",D,6,8,34.6,450,2025-07-09,BAL,Grade 5,26.415,25.98,25.536,,6.5,AUNTY ETHEL,6,6.5
"",D,4,5,34.2,450,2025-07-02,BAL,Grade 5,25.923,25.596,25.213,,5.0,Kimiko,4,6.5
"",D,2,6,34.5,485,2025-06-24,HOR,Grade 5,27.837,27.707,27.603,,2.0,PAW FARINA,2,8.0
"",D,2,3,34.8,485,2025-06-17,HOR,Grade 5,27.789,27.758,27.4,,0.5,WEBLEC MARQUISE,2,4.8
3. AFTERSHOCK,D,1,4,34.2,515,2025-07-14,SAN,Grade 5 No Penalty,30.086,30.086,29.457,,0.75,Obstropalous,1,2.7
"",D,3,1,34.7,460,2025-07-10,WAR,Grade 5 T3,26.695,26.627,26.291,6.7075,1.25,BAGGIO,3,7.5
"",D,6,8,34.3,450,2025-07-03,SHE,Grade 5 T3,25.968,25.269,25.269,6.84525,10.5,AUNTY ETHEL,6,3.6
"",D,5,2,34.5,460,2025-06-26,WAR,Grade 5 T3,26.477,26.286,26.286,,3.0,BAGGIO,5,10.0
"",D,6,7,33.6,545,2025-06-09,BAL,Grade 5 T3,32.155,31.49,31.49,,10.0,PAW JULIA,6,3.4
4. HEAD FOR HOME,D,4,7,31.4,485,2025-07-15,HOR,Restricted Win Final,27.755,27.166,27.166,,9.0,SETTLE FOR LESS,4,4.0
"",D,1,2,31.5,485,2025-07-07,HOR,Restricted Win Heat,27.328,27.328,27.221,,2.0,CANYA JUMP,1,4.0
"",D,8,7,31.3,450,2025-07-03,WAR,Mixed 6/7,26.03,25.572,25.025,6.92125,7.0,LEKTRA SOLO,8,3.4
"",D,2,6,31.6,410,2025-06-24,HOR,Mixed 6/7,23.784,23.283,23.283,10.8595,7.5,Capybara,2,3.2
"",D,1,3,31.4,410,2025-06-17,HOR,Mixed 6/7,23.476,23.476,23.306,,6.0,LET'S GO OUT,1,2.8
5. Lala Rapid,D,4,5,42.6,485,2025-07-15,HOR,Grade 5,27.806,27.329,27.166,,7.25,BABY GIRL PEARL,4,12.0
"",D,2,5,42.6,485,2025-07-07,HOR,Grade 5,27.64,27.498,27.221,8.0255,2.25,DELICIOUS,2,9.0
"",D,4,4,42.6,485,2025-06-17,HOR,Grade 5,27.855,27.758,27.4,,1.5,WEBLEC MARQUISE,4,12.0
"",D,3,2,43.1,450,2025-06-02,WAR,Grade 5,26.254,25.55,25.55,6.9575,10.75,Bismuth,3,4.8
"",D,6,4,43.0,485,2025-05-20,HOR,Mixed 4/5,27.919,27.159,27.159,,11.5,WREN BALE,6,16.0
6. ASTON JOPLIN,B,7,6,26.2,485,2025-07-15,HOR,Restricted Win Final,27.923,27.166,27.166,,11.5,SETTLE FOR LESS,7,12.0
"",B,3,8,26.5,485,2025-07-07,HOR,Restricted Win Heat,27.612,27.328,27.221,,4.25,HEAD FOR HOME,3,6.0
"",B,1,6,26.0,450,2025-06-26,SHE,Mixed 6/7,25.222,25.222,25.222,,3.25,SHOOT THE BREEZE,1,4.2
"",B,1,1,26.0,450,2025-06-04,WAR,Mixed 6/7,25.522,25.522,25.192,,1.75,LEKTRA SOLO,1,4.6
"",B,4,4,26.3,450,2025-05-25,BAL,Mixed 6/7 Heat,25.704,25.049,24.737,6.771,10.0,MEPUNGA FLYER,4,7.5
7. Flax Mill,D,7,8,30.8,450,2025-07-16,BAL,Grade 5,26.111,25.698,25.226,,6.25,Mr. Kia Ora,7,26.0
"",D,6,7,31.1,512,2025-07-06,MT/G,4/5,30.68,29.72,29.72,4.5,13.75,Prickle Town,66666,26.0
"",D,7,7,31.1,485,2025-06-24,HOR,Grade 5,28.432,28.011,27.603,6.9275,6.5,LANKY LARRY,7,10.0
"",D,2,7,31.2,600,2025-06-15,MT/G,4/5/6,35.76,35.24,35.24,9.2,7.5,RINGER'S GIRL,2,41.0
"",D,4,8,30.8,600,2025-06-08,MT/G,4/5/6,36.03,35.65,35.65,,5.25,STARLIGHT JEWEL,4,34.0
8. SAINT TAY,D,4,2,28.8,450,2025-07-17,WAR,Grade 5,25.967,25.506,25.151,,7.0,DELICIOUS,4,16.0
"",D,7,6,28.3,450,2025-07-10,WAR,Grade 5,26.18,25.844,25.354,,5.25,AMRON BOBBY,7,10.0
"",D,3,4,28.7,485,2025-07-07,HOR,Grade 5,27.704,27.498,27.221,8.015,3.25,DELICIOUS,3,4.6
