Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. King Toby,D,7,8,30.3,342,2025-07-07,AP/K,6,19.96,19.42,19.38,4.76,7.75,Lois Einhorn,6677,26.0
"",D,4,7,30.4,400,2025-06-25,GAWL,TG5+W,23.58,23.1,22.87,9.08,6.75,IVORY PYGMY,5554,6.0
"",D,1,2,30.5,400,2025-06-18,GAWL,6,22.98,22.98,22.49,8.85,1.75,CAPTURE MY SOUL,1,2.2
"",D,3,4,30.9,455,2025-06-13,MBR,5,25.88,25.75,25.39,8.32,1.75,Hey You Guys,3,23.0
"",D,3,6,30.3,395,2025-06-08,MBR,4/5,22.81,22.57,22.57,5.37,3.5,Elwomple,3,7.0
2. WEBLEC WRANGLER,D,7,7,34.4,300,2025-07-08,MBS,TG5+W,17.32,16.44,16.44,4.93,12.5,Mr. Yellowstone,7,9.0
"",D,5,2,34.2,300,2025-06-17,MBS,5,17.22,16.53,16.53,4.54,9.75,Aussie Audi,5,23.0
"",D,5,8,33.5,395,2025-06-13,MBR,5,22.69,22.12,22.12,5.19,8.25,Buzz The Hustler,5,41.0
"",D,5,1,33.5,300,2025-06-10,MBS,5,17.25,17.12,16.9,4.6,1.75,ALPHA BLOKE,5,5.5
"",D,8,1,33.0,530,2025-05-08,AP/K,TG1-6W,31.98,30.78,30.65,5.49,17.25,KIWI MAKAVELI,88888,51.0
3. Pet Detective,D,1,6,32.4,395,2025-07-06,MBR,3/4/5,22.38,22.38,22.3,5.11,5.0,Victory Club,1111,1.09
"",D,1,8,32.5,400,2025-06-29,GAWL,5,22.88,22.88,22.8,8.83,1.75,Long Gully Ash,4111,2.15
"",D,2,5,32.3,300,2025-06-24,MBS,5,16.57,16.49,16.23,4.46,1.0,Bobcat Chevy,3222,1.65
"",D,7,5,32.5,530,2025-06-12,AP/K,5,31.48,30.38,30.21,5.36,15.75,KISAUNI,7,5.0
"",D,3,8,32.1,530,2025-06-05,AP/K,3/4/5,30.97,30.55,30.55,5.34,6.0,Mallee Beauty,32233,9.0
4. Terrific Izzy,B,3,8,26.1,455,2025-07-06,MBR,4/5,25.99,25.44,25.44,8.18,7.75,Cubit Monelli,44333,16.0
"",B,3,1,26.3,300,2025-07-01,MBS,5,16.96,16.83,16.6,4.57,1.75,TECTONIC,3333,2.0
"",B,4,4,26.3,395,2025-06-27,MBR,SE,22.54,22.2,22.2,5.16,4.75,Flying Artie,5554,3.1
"",B,4,1,26.3,350,2025-06-24,MBS,3/4/5,19.1,18.97,18.97,6.94,1.75,Beast Cut Loose,5544,10.0
"",B,2,1,26.3,350,2025-06-17,MBS,5,19.49,19.35,19.35,6.99,2.0,Fantastic Spike,2,4.6
6. Fantastic Ada,B,3,5,27.8,342,2025-07-03,AP/K,4/5,20.18,19.56,19.5,4.72,8.75,Grand Chief,5333,5.5
"",B,5,8,28.1,455,2025-06-27,MBR,5,25.96,25.24,25.24,8.09,10.25,Cubit Monelli,32345,12.0
"",B,2,1,28.0,300,2025-06-24,MBS,4/5,16.37,16.23,16.23,4.34,2.0,Aussie Audi,1222,4.0
"",B,5,2,28.1,455,2025-06-13,MBR,4/5,25.87,25.39,25.39,8.1,6.75,Afire,5,19.0
"",B,5,2,27.8,455,2025-06-08,MBR,4/5,26.22,25.44,25.44,8.26,11.0,Afire,5,7.0
7. Terrific Baz,D,4,3,30.9,300,2025-07-06,MBR,4/5,17.31,16.8,16.8,4.68,7.25,Zipping Hagrid,8654,4.2
"",D,1,6,31.1,300,2025-07-01,MBS,4/5,16.86,16.86,16.6,4.44,1.75,Pin Up,2111,3.4
"",D,4,3,31.0,455,2025-06-27,MBR,5,25.92,25.24,25.24,8.12,9.75,Cubit Monelli,23234,31.0
"",D,1,1,30.9,300,2025-06-17,MBS,6,16.86,16.86,16.53,4.47,5.75,Whiskey Roll,1,1.15
"",D,2,1,31.1,455,2025-05-23,MBR,5,25.83,25.78,25.66,8.12,0.75,Pin Up,11112,2.9
8. Ricki's Burner,D,5,10,31.9,530,2025-07-10,AP/K,5,31.14,30.67,30.04,,6.5,Majestic Mclaren,5,41.0
"",D,5,1,31.2,531,2025-06-29,GAWL,6,31.67,30.89,30.67,3.29,11.0,Buster Brady,34555,13.0
"",D,4,1,31.0,531,2025-06-18,GAWL,6,31.42,31.02,31.02,3.31,5.75,Dakota Olivia,4,2.8
"",D,3,1,31.2,531,2025-06-11,GAWL,TG5+W,31.52,31.02,31.02,3.4,7.0,Time After Time,3,2.8
"",D,2,3,31.5,531,2025-06-04,GAWL,6,31.4,30.86,30.86,3.36,7.75,Josie Dakota,33222,5.5
