Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. BRUTALITY,B,1,1,27.0,425,2025-08-16,BEN,Grade 5,24.017,24.017,24.017,,6.5,DAD'S SURPRISE,1,4.4
"",B,4,4,26.9,410,2025-08-12,HOR,Grade 5,23.811,23.174,23.012,,9.75,Tarawi Therese,4,26.0
"",B,2,7,27.5,425,2025-08-06,BEN,Grade 5,24.481,24.413,24.279,,1.25,SMALL MERCIES,2,4.0
"",B,3,1,27.4,410,2025-07-29,HOR,Grade 5,23.722,23.362,23.141,,5.5,PYRENEES PIZAZZ,3,6.0
"",B,7,4,27.7,485,2025-07-22,HOR,Grade 5,28.57,27.769,27.523,6.9095,12.0,BRIELLE,7,10.0
2. JED'S MEMORY,D,7,2,32.3,545,2025-08-06,BAL,Special Event,31.857,31.268,30.843,,9.0,KEY PHILOSOPHY,7,8.0
"",D,5,7,32.0,545,2025-07-30,BAL,Special Event,31.647,30.918,30.875,,11.0,KEY PHILOSOPHY,5,8.0
"",D,5,1,32.3,500,2025-07-25,BEN,Mixed 3/4,28.656,27.94,27.94,,10.75,ZIPPING HOPKINS,5,12.0
"",D,4,4,31.8,600,2025-07-16,MEA,Mixed 4/5,35.052,34.77,34.77,,4.25,GREYSYND SAMMY,4,12.0
"",D,8,7,32.0,600,2025-07-05,MEA,Grade 5,35.496,34.935,34.733,9.3945,8.5,MISS JAZZ,8,4.8
4. KRAKEN COOL,B,1,6,26.6,390,2025-07-07,SHE,Grade 5,22.712,22.712,22.025,,1.0,MAN OF COURAGE,1,10.0
"",B,2,2,26.5,450,2025-06-26,SHE,Grade 5,25.658,25.566,25.222,,1.5,Aston Reeves,2,5.0
"",B,1,1,26.5,390,2025-06-19,SHE,Grade 6,22.384,22.384,22.231,,2.0,CLAUSE EDWARD,1,2.8
"",B,1,1,26.2,390,2025-06-12,SHE,Mixed 6/7,22.751,22.751,22.393,,1.5,MOSCOSO GIRL,1,2.6
"",B,6,4,26.2,390,2024-11-07,SHE,Tier 3 - Grade 7,22.826,22.619,22.257,8.784,3.25,KRAKEN CASPER,6,4.5
5. MOTIVATE,D,1,6,34.1,425,2025-08-16,BEN,Grade 5,24.434,24.434,24.017,,4.75,PAW JUDD,1,5.0
"",D,1,2,33.8,425,2025-08-13,BEN,Grade 5 T3,24.29,24.29,23.973,,5.75,SMALL MERCIES,1,8.0
"",D,3,4,33.8,425,2025-08-06,BEN,Grade 5,24.741,24.537,24.279,6.7945,3.25,Revenge Speckle,3,8.0
"",D,1,4,33.9,390,2025-07-28,BAL,Tier 3 - Grade 6,22.456,22.456,22.431,8.44,4.0,TINKER RAYS,1,7.5
"",D,5,4,33.5,425,2025-07-23,BEN,Grade 6,24.543,24.344,24.158,,3.0,BED TIME DAISY,5,7.5
7. HIGHWAY HOOLIGAN,D,2,7,33.6,450,2025-08-14,SHE,Grade 5,25.597,25.571,25.571,,0.5,MONTANA ICON,2,3.4
"",D,1,4,33.6,450,2025-08-11,BAL,Grade 5 T3,25.541,25.541,25.541,,4.5,Aminah,1,3.2
"",D,2,5,33.7,425,2025-08-06,BEN,Grade 5,24.613,24.537,24.279,6.777,1.25,Revenge Speckle,2,2.8
"",D,6,6,33.2,525,2025-07-09,MEA,Grade 5,31.473,30.68,30.145,5.2395,12.0,DOONGALLA FLASH,6,14.0
"",D,1,10,33.3,350,2025-07-06,HEA,Grade 5,19.303,19.303,19.051,6.48,0.75,WILD VENUS,1,15.0
8. BLUE ROSES,B,6,6,26.8,425,2025-08-15,BEN,Mixed 3/4,24.705,23.958,23.714,,11.25,BOMBARDA MAXIMA,6,51.0
"",B,7,7,26.8,300,2025-07-27,HEA,Grade 5,17.09,16.677,16.566,4.002,6.25,I'M FABULOUS,7,6.5
"",B,1,7,27.4,425,2025-05-09,BEN,Grade 5,24.38,24.38,23.814,,1.25,CRUSOE RICO,1,7.5
"",B,1,8,27.1,450,2025-05-01,SHE,Tier 3 - Grade 6,25.553,25.553,25.339,6.63,5.75,JAIMANDY FRANK,1,4.4
"",B,4,5,27.2,450,2025-04-22,BAL,Tier 3 - Grade 6,26.115,25.755,25.755,6.70175,5.5,Glowing Ethics,4,4.0
