Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. AMRON BONNIE,B,8,2,28.5,425,2025-07-16,BEN,Tier 3 - Grade 7,25.049,24.318,23.987,,11.0,TOPPER SNOWDRIFT,8,16.0
"",B,4,1,28.2,350,2025-07-09,HEA,Grade 7,20.07,19.648,19.646,6.7425,6.5,THEO'S DIM SIM,4,12.0
"",B,6,3,28.2,425,2025-07-02,BEN,Grade 7,25.109,24.181,24.131,,14.0,SHE REBEL,6,8.0
"",B,7,2,27.2,460,2025-05-20,GEE,Mixed 6/7,27.2,26.11,26.061,6.995,16.5,SPICY SEDUCTION,7,15.0
"",B,5,7,27.4,450,2025-05-12,BAL,Tier 3 - Restricted Win,26.23,26.008,25.672,,3.5,COUNTY TYRONE,5,9.0
2. MY MATE HUX,D,7,4,30.0,390,2025-07-17,SHE,Grade 7,23.82,22.775,22.297,8.714,15.75,FRANCESCA ROSE,7,10.0
"",D,8,2,30.0,390,2025-06-12,SHE,Grade 7,24.252,22.499,22.393,,26.25,BOY,8,15.0
"",D,8,5,29.6,425,2025-05-14,BEN,Grade 7,25.383,24.816,24.208,,8.5,LOUIE CABANG,8,16.0
"",D,6,6,30.0,390,2025-05-08,SHE,Grade 7,23.937,22.92,22.541,,15.25,RUNWAY DIVA,6,10.0
"",D,4,6,30.2,425,2025-04-30,BEN,Mixed 6/7,24.789,24.618,23.952,,2.75,CLASSIC GREY,4,16.0
3. BARELLEN SILK,B,7,10,27.7,390,2025-07-14,BAL,Tier 3 - Grade 7,23.008,22.608,22.421,8.8375,6.0,RUCKMAN,7,16.0
"",B,5,1,27.3,390,2025-06-30,BAL,Tier 3 - Grade 7,22.99,22.847,22.223,,2.25,Pinaroo Flyer,5,12.0
"",B,5,1,27.5,390,2025-06-23,BAL,Tier 3 - Grade 7,23.236,22.939,22.401,8.942,4.5,BARELLEN LACE,5,13.0
"",B,7,4,27.6,450,2025-06-16,BAL,Tier 3 - Grade 7,26.409,25.539,25.539,6.8825,13.0,METEOROLOGY,7,26.0
"",B,5,2,27.5,450,2025-06-09,BAL,Tier 3 - Grade 7,26.608,26.147,25.727,,7.0,THERMAL FLAME,5,14.0
4. MAGIC BOOM,D,4,8,32.5,390,2025-07-17,SHE,Grade 7,22.869,22.504,22.297,8.645,5.5,UNLEASH CRIPPS,4,3.6
"",D,7,2,31.9,390,2025-07-07,SHE,Mixed 6/7,23.235,22.538,22.025,,10.5,TRAJECTORY,7,8.0
"",D,3,2,32.0,425,2025-06-25,BEN,Tier 3 - Grade 7,24.883,24.313,24.085,,8.75,SHADOW MAC,3,2.8
"",D,1,1,31.9,390,2025-06-19,SHE,Maiden,22.58,22.58,22.231,,0.25,GREEN SHOOTS,1,12.0
"",D,5,6,31.9,390,2025-06-12,SHE,Maiden,23.418,22.837,22.393,,8.75,SO ANGELIC,5,10.0
5. BERRINGA BLACK,D,5,4,32.6,450,2025-07-17,SHE,Mixed 6/7,26.665,26.003,25.506,6.8775,10.0,PATTY'S DREAM,5,4.4
"",D,1,4,32.7,425,2025-07-02,BEN,Maiden,24.939,24.939,24.131,,0.5,WHERE'S HUNTLY,1,7.5
"",D,7,4,32.8,425,2025-06-25,BEN,Tier 3 - Maiden,25.116,24.169,24.085,,14.25,MIDNIGHT THUNDER,7,12.0
"",D,3,7,32.9,390,2025-06-19,SHE,Maiden,22.932,22.58,22.231,,5.5,MAGIC BOOM,3,10.0
"",D,5,5,32.9,450,2025-06-12,SHE,Maiden,26.58,25.678,25.678,,13.5,HERO BLUES,5,8.0
6. THAT'S MY TYPE,D,7,6,35.0,425,2025-06-25,BEN,Tier 3 - Grade 7,25.713,24.313,24.085,,21.0,SHADOW MAC,7,7.5
"",D,6,1,34.8,410,2025-06-03,HOR,Grade 7,25.039,23.878,23.326,,17.5,LEKTRA UNHINGED,6,10.0
"",D,7,1,34.7,390,2025-05-22,SHE,Grade 7,23.894,22.391,22.264,9.05175,22.5,PAW TONELLI,7,12.0
