Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Indentations,B,1,8,29.4,330,2025-08-13,TEMA,5,19.29,19.29,18.68,,0.125,Zipping Dante,1,1.18
"",B,2,5,29.3,457,2025-08-06,TEMA,5,25.89,25.71,25.71,,2.5,Flying High,2,1.6
"",B,1,6,29.2,457,2025-07-30,TEMA,5,25.94,25.94,25.74,,0.75,Blue Swallow,1,5.5
"",B,1,4,29.5,457,2025-07-23,TEMA,5,25.75,25.75,25.75,,0.75,Mawonga Man,1,4.6
"",B,5,2,29.2,330,2025-07-16,TEMA,5,19.37,18.79,18.68,,8.25,Lumeah Jolie,5,2.3
2. Sophie's Desire,B,6,4,31.4,457,2025-07-23,TEMA,4/5,26.37,25.82,25.75,,7.75,JOLLY OLLIE,6,20.0
"",B,4,6,31.6,457,2025-07-16,TEMA,5,26.3,26.22,25.79,,1.0,GOT A SCAN,4,3.6
"",B,6,6,31.2,330,2025-07-02,TEMA,5,19.46,18.96,18.71,,7.0,Canya Be Lucky,6,4.8
"",B,6,4,31.6,457,2025-06-18,TEMA,5,26.39,25.5,25.5,,12.75,Son Of Bianca,6,20.0
"",B,2,8,30.9,457,2025-06-11,TEMA,5,25.78,25.58,25.56,,2.75,Shiralee,2,5.5
4. Media Magnate,D,4,4,34.7,527,2025-08-13,GUNN,5,31.25,30.81,30.81,3.76,6.25,Lily Bloom,4444,19.0
"",D,5,3,34.9,400,2025-07-28,DUBO,5,24.03,23.02,23.01,9.41,14.25,Arctic Image,6855,4.0
"",D,2,2,34.3,318,2025-07-07,DUBO,5,18.71,18.58,18.43,4.95,1.75,Charge The Card,5522,3.1
"",D,4,8,34.6,431,2025-07-02,GUNN,5,25.58,24.59,24.59,11.96,14.0,Danny Whizz Bang,7544,23.0
"",D,4,1,34.9,400,2025-06-28,DUBO,5,23.3,23.01,22.95,9.22,4.25,Slippery Bogan,5444,8.0
5. My Three Boys,D,3,5,31.2,457,2025-08-13,TEMA,4/5,26.25,26.17,25.81,,1.0,STAPLETON,3,1.4
"",D,1,5,31.5,457,2025-08-06,TEMA,4/5,25.75,25.75,25.71,,1.5,Lone Shark,1,2.4
"",D,2,3,31.4,457,2025-07-30,TEMA,4/5,25.84,25.74,25.74,,1.5,Tin Roof Rusty,2,3.2
"",D,1,2,31.1,330,2025-07-23,TEMA,5,18.77,18.77,18.61,,9.25,Oscar Titus,1,1.5
"",D,2,3,31.2,457,2025-06-18,TEMA,5,25.71,25.5,25.5,,3.0,Son Of Bianca,2,3.2
7. UPPER'S FLYER,D,4,7,32.6,457,2025-08-06,TEMA,5,26.26,25.71,25.71,,7.75,Flying High,4,36.5
"",D,3,6,32.8,440,2025-08-01,GOUL,5,25.26,24.71,24.53,,7.75,Lucky Blue Book,55333,51.0
"",D,6,2,32.8,318,2025-07-28,DUBO,5,19.48,18.78,18.51,4.9,10.0,Mid City Queen,5666,2.6
"",D,7,3,32.7,400,2025-07-19,DUBO,5,23.51,23.15,22.73,9.28,5.25,Go Forward Block,1577,41.0
"",D,6,5,32.5,457,2025-07-16,TEMA,5,26.38,26.22,25.79,,2.25,GOT A SCAN,6,24.2
8. Lone Shark,D,2,1,31.9,457,2025-08-13,TEMA,4/5,26.18,26.17,25.81,,0.125,STAPLETON,2,6.4
"",D,2,4,31.4,457,2025-08-06,TEMA,4/5,25.86,25.75,25.71,,1.5,My Three Boys,2,16.0
"",D,5,1,31.3,440,2025-08-01,GOUL,4/5,25.22,24.54,24.53,,9.75,Ayden's Warrior,53355,9.5
"",D,2,2,31.5,457,2025-07-23,TEMA,4/5,26.09,25.82,25.75,,3.75,JOLLY OLLIE,2,5.5
"",D,2,2,31.2,457,2025-07-16,TEMA,4/5,25.95,25.79,25.79,,2.25,Son Of Bianca,2,12.3
