Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP,day_of_week,month,track_code
1. Super Wings,B,5,4,26.0,375,2025-07-27,BKHL,M,23.22,21.91,21.5,,18.5,RAVEN ZAYLEE,5,101.0,Sunday,July,BKHL
1. Super Wings,B,7,3,26.0,375,2025-07-20,BKHL,M,23.04,22.19,21.37,,12.25,Del Mar Deb,7,19.0,Sunday,July,BKHL
2. Masked Riot,B,6,6,29.8,375,2025-07-27,BKHL,5,22.73,22.05,21.5,,9.75,UNCONTESTED,6,9.0,Sunday,July,BKHL
2. Masked Riot,B,8,7,29.8,525,2025-07-20,BKHL,5,31.46,30.32,30.32,,16.25,STATE OF MADNESS,8,101.0,Sunday,July,BKHL
2. Masked Riot,B,8,5,29.6,375,2025-05-25,BKHL,5,22.76,22.03,21.72,,10.25,RUSTY FLYER,8,26.0,Sunday,May,BKHL
2. Masked Riot,B,5,7,29.8,375,2025-05-18,BKHL,5,22.66,21.97,21.72,,9.75,Possible,5,4.4,Sunday,May,BKHL
2. Masked Riot,B,3,3,30.1,375,2025-05-11,BKHL,5,22.1,21.7,21.63,,5.75,PATRIOT OISIN,3,17.0,Sunday,May,BKHL
3. Skedaddle Boss,D,8,2,32.1,365,2025-07-21,NOWR,5,21.11,20.52,20.45,8.97,8.25,Fancy Bentley,88,12.0,Monday,July,NOWR
3. Skedaddle Boss,D,2,1,32.2,365,2025-07-14,NOWR,5,20.86,20.78,20.54,8.66,1.0,Nicko King,32,2.5,Monday,July,NOWR
3. Skedaddle Boss,D,3,2,31.7,365,2025-07-07,NOWR,5,21.05,20.84,20.52,8.84,3.0,Tommy Tangles,33,2.4,Monday,July,NOWR
3. Skedaddle Boss,D,5,7,31.7,365,2025-06-30,NOWR,5,20.93,20.38,20.38,8.82,7.75,Spring Breezing,55,11.0,Monday,June,NOWR
3. Skedaddle Boss,D,2,6,31.6,365,2025-06-23,NOWR,5,21.24,20.98,20.47,8.88,3.75,Be Wowed,32,26.0,Monday,June,NOWR
4. Del Mar Ice,D,4,6,32.7,375,2025-07-27,BKHL,5,22.74,22.12,21.5,8.88,8.75,Del Mar Sal,4,6.5,Sunday,July,BKHL
4. Del Mar Ice,D,1,8,32.6,375,2025-07-20,BKHL,5,22.01,22.01,21.37,8.88,3.0,Del Mar Sal,1,7.0,Sunday,July,BKHL
4. Del Mar Ice,D,2,6,33.1,375,2025-07-13,BKHL,MX,22.33,21.96,21.63,8.88,5.25,Seldom Found,2,2.8,Sunday,July,BKHL
4. Del Mar Ice,D,4,5,33.1,375,2025-07-06,BKHL,MX,22.58,21.93,21.73,8.88,9.25,Del Mar Beeper,4,4.4,Sunday,July,BKHL
4. Del Mar Ice,D,1,2,33.1,375,2025-06-29,BKHL,MX,21.88,21.88,21.71,8.88,4.25,Del Mar Beeper,1,9.0,Sunday,June,BKHL
5. Lethal Riot,D,2,7,34.8,375,2025-07-27,BKHL,M,22.46,21.91,21.5,8.88,7.75,RAVEN ZAYLEE,2,12.0,Sunday,July,BKHL
5. Lethal Riot,D,4,2,34.8,375,2025-07-20,BKHL,M,22.47,22.19,21.37,8.88,4.0,Del Mar Deb,4,7.0,Sunday,July,BKHL
5. Lethal Riot,D,3,3,34.7,375,2025-07-13,BKHL,MX,22.47,21.96,21.63,8.88,7.25,Seldom Found,3,18.0,Sunday,July,BKHL
5. Lethal Riot,D,5,2,35.0,375,2025-07-06,BKHL,MX,23.13,22.14,21.73,8.88,14.0,Sweet Spot,5,10.0,Sunday,July,BKHL
5. Lethal Riot,D,6,5,36.6,375,2024-12-01,BKHL,MX,22.85,22.17,21.61,8.88,9.75,Masked Riot,6,12.0,Sunday,December,BKHL
6. IN THE WEST,D,7,8,33.2,375,2025-07-27,BKHL,5,23.17,22.06,21.5,8.88,15.75,Who Knows Reg,7,21.0,Sunday,July,BKHL
6. IN THE WEST,D,8,4,33.5,375,2025-07-13,BKHL,5,22.81,21.94,21.63,8.88,12.25,Sweet Spot,8,21.0,Sunday,July,BKHL
6. IN THE WEST,D,1,5,33.1,400,2025-05-08,WAR,Grade 7,23.144,23.144,22.99,8.56,2.25,SMOKEY NACHO,1,4.6,Thursday,May,WAR
6. IN THE WEST,D,2,1,32.9,350,2025-05-02,HEA,Tier 3 - Grade 7,19.625,19.607,19.384,8.56,0.5,PUT IT TOGETHER,2,4.6,Friday,May,HEA
6. IN THE WEST,D,1,7,33.0,350,2025-04-29,HEA,Maiden,19.932,19.932,19.583,8.56,2.75,BENNY ROCKS,1,9.0,Tuesday,April,HEA
7. PHOENIX SILVER,D,3,7,33.0,330,2025-07-30,TEMA,5,19.28,19.2,18.74,8.56,1.0,Darby Said,3,2.5,Wednesday,July,TEMA
7. PHOENIX SILVER,D,1,7,33.4,450,2025-07-02,BAL,Maiden,25.711,25.711,25.213,8.56,1.0,ASCEND IGLOO,1,4.6,Wednesday,July,BAL
7. PHOENIX SILVER,D,2,7,33.1,450,2025-06-25,BAL,Maiden,26.373,26.365,25.722,8.56,0.25,DIM SIM NODDY,2,3.4,Wednesday,June,BAL
7. PHOENIX SILVER,D,3,6,33.1,525,2025-06-18,MEA,Maiden Heat,30.625,30.405,29.967,8.56,3.5,QUICK STRIKE,3,6.0,Wednesday,June,MEA
8. Visibility,D,7,3,26.5,375,2025-07-27,BKHL,M,23.31,21.91,21.5,8.56,20.0,RAVEN ZAYLEE,7,21.0,Sunday,July,BKHL
8. Visibility,D,5,4,26.5,375,2025-07-20,BKHL,M,22.87,22.19,21.37,8.56,9.75,Del Mar Deb,5,12.0,Sunday,July,BKHL
8. Visibility,D,4,6,26.6,375,2025-07-13,BKHL,MX,22.72,21.63,21.63,8.56,15.5,CLARETOWN RAY,4,23.0,Sunday,July,BKHL
8. Visibility,D,6,4,26.7,375,2025-07-06,BKHL,MX,23.25,22.14,21.73,8.56,15.75,Sweet Spot,6,19.0,Sunday,July,BKHL
