Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP,day_of_week,month,track_code
1. Beard Stroker,D,6,2,32.0,400,2025-06-17,MAND,M5,28.04,22.78,22.78,15.77,75.0,Impress Rocks,666,2.65,Tuesday,June,MAND
1. Beard Stroker,D,1,2,31.8,400,2025-06-10,MAND,M5,22.71,22.71,22.65,6.38,2.25,Impress Rocks,211,1.85,Tuesday,June,MAND
1. Beard Stroker,D,2,5,31.8,400,2025-06-03,MAND,M5,22.56,22.54,22.41,6.44,0.25,Miss Valentine,322,2.35,Tuesday,June,MAND
1. Beard Stroker,D,7,7,31.4,381,2025-05-28,CANN,FFA,22.39,21.74,21.74,6.66,9.25,Pad Up Declan,3577,23.0,Wednesday,May,CANN
1. Beard Stroker,D,3,5,31.2,400,2025-05-16,MAND,4/5,22.72,22.25,22.25,6.47,6.5,Stu Mcfly,433,12.0,Friday,May,MAND
2. Yunderup Sun,D,2,4,33.3,400,2025-06-24,MAND,M5,22.68,22.6,22.59,6.42,1.0,Impress Rocks,322,2.4,Tuesday,June,MAND
2. Yunderup Sun,D,3,5,33.7,400,2025-06-17,MAND,M5,22.99,22.78,22.78,11.95,3.0,Impress Rocks,333,2.8,Tuesday,June,MAND
2. Yunderup Sun,D,1,2,33.7,400,2025-06-12,MAND,6,22.5,22.5,22.5,6.41,7.75,Bluey Hook,111,1.65,Thursday,June,MAND
2. Yunderup Sun,D,7,2,33.8,400,2025-06-06,MAND,5,23.1,22.41,22.31,6.54,9.75,ARTISAN ARTIST,777,4.2,Friday,June,MAND
2. Yunderup Sun,D,5,3,33.3,400,2025-05-29,MAND,6,23.53,23.0,22.6,6.6,7.5,Colour Of Red,675,1.55,Thursday,May,MAND
4. Squeeze Li,B,3,1,26.4,275,2025-06-25,CANN,5,16.28,15.76,15.76,5.67,7.5,Toad,543,7.5,Wednesday,June,CANN
4. Squeeze Li,B,2,4,26.2,275,2025-06-18,CANN,5/6,16.31,16.07,16.02,5.68,3.5,Red Ned Gundi,332,13.0,Wednesday,June,CANN
4. Squeeze Li,B,4,4,25.9,400,2025-06-10,MAND,M5,23.1,22.71,22.65,6.47,5.5,Beard Stroker,434,81.0,Tuesday,June,MAND
4. Squeeze Li,B,7,1,25.6,400,2025-05-27,MAND,M5,23.35,22.88,22.58,6.47,6.5,Marathon,557,51.0,Tuesday,May,MAND
4. Squeeze Li,B,8,3,26.0,400,2025-05-06,MAND,M5,23.71,22.6,22.43,6.55,15.75,Beard Stroker,558,20.0,Tuesday,May,MAND
5. Nova Girl,B,4,4,28.5,400,2025-05-27,MAND,M5,23.13,22.88,22.58,6.45,3.5,Marathon,444,3.6,Tuesday,May,MAND
5. Nova Girl,B,5,4,29.0,400,2025-05-20,MAND,M4/M5,22.84,22.38,22.38,6.35,6.5,Yunderup Sun,335,8.0,Tuesday,May,MAND
5. Nova Girl,B,4,2,28.8,400,2025-05-13,MAND,M5,22.91,22.46,22.42,6.45,6.25,Yunderup Sun,444,2.1,Tuesday,May,MAND
5. Nova Girl,B,5,4,29.0,300,2025-05-08,MAND,3/4,17.55,17.31,16.91,6.81,3.5,Slingshot Cooper,55,4.2,Thursday,May,MAND
5. Nova Girl,B,7,6,29.0,300,2025-05-01,MAND,FFA,17.4,17.16,17.11,6.87,3.5,OSPREY WIZARD,87,19.0,Thursday,May,MAND
7. Miss Valentine,B,3,3,29.1,400,2025-06-24,MAND,M5,22.87,22.6,22.59,6.4,3.75,Impress Rocks,233,6.5,Tuesday,June,MAND
7. Miss Valentine,B,2,1,29.0,400,2025-06-17,MAND,M5,22.86,22.78,22.78,11.77,1.0,Impress Rocks,222,5.0,Tuesday,June,MAND
7. Miss Valentine,B,5,7,28.9,400,2025-06-10,MAND,M5,23.18,22.71,22.65,6.47,6.5,Beard Stroker,565,3.4,Tuesday,June,MAND
7. Miss Valentine,B,1,1,29.0,400,2025-06-03,MAND,M5,22.54,22.54,22.41,6.36,0.25,Beard Stroker,111,2.9,Tuesday,June,MAND
7. Miss Valentine,B,6,1,29.0,400,2025-05-20,MAND,M4/M5,23.14,22.38,22.38,6.44,10.75,Yunderup Sun,466,5.0,Tuesday,May,MAND
8. Slingshot Cooper,D,6,8,32.6,400,2025-06-24,MAND,M5,23.13,22.6,22.59,6.56,7.5,Impress Rocks,666,15.0,Tuesday,June,MAND
8. Slingshot Cooper,D,4,8,32.6,400,2025-06-03,MAND,M5,22.86,22.54,22.41,6.45,4.5,Miss Valentine,444,5.5,Tuesday,June,MAND
8. Slingshot Cooper,D,2,8,32.6,400,2025-05-27,MAND,M5,22.93,22.88,22.58,6.39,0.75,Marathon,232,9.0,Tuesday,May,MAND
8. Slingshot Cooper,D,7,7,32.9,400,2025-05-20,MAND,4/5,23.07,22.54,22.38,6.46,7.5,Rigatoni Monelli,467,91.0,Tuesday,May,MAND
8. Slingshot Cooper,D,7,8,32.9,400,2025-05-13,MAND,5,22.86,22.45,22.42,6.38,5.75,Bula,677,51.0,Tuesday,May,MAND
