Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Stratavon Sissy,B,1,5,24.5,340,2025-07-30,GUNN,M,20.12,20.12,19.55,6.7,3.0,Scootin' Scooby,2111,41.0
"",B,2,2,24.8,300,2025-07-26,TARE,M,17.77,17.48,17.47,6.63,4.25,Simplicity Magic,212,19.0
"",B,6,1,25.1,300,2025-06-28,TARE,M,18.63,17.97,17.33,6.72,9.25,Little Kaos,646,19.0
"",B,5,5,25.0,400,2025-06-09,MAIT,M,23.82,22.79,22.47,5.61,14.5,Tarawi,8875,51.0
"",B,8,5,26.8,300,2025-04-12,TARE,M,18.63,17.95,17.58,6.9,9.75,Majestic Jojo,878,21.0
2. Cyclone Sebas,D,4,6,32.5,300,2025-07-23,TARE,M,17.9,17.31,17.31,6.69,8.25,Eader,654,13.0
3. Bubble Whacker,B,3,3,31.1,300,2025-07-26,TARE,M,18.14,17.57,17.47,6.72,8.25,Witch Rolex,233,16.0
"",B,5,1,31.6,300,2025-07-05,TARE,M,18.29,18.02,17.52,6.82,3.75,Stratavon Bear,665,31.0
"",B,8,8,30.8,272,2025-05-09,GRDN,M,17.03,16.01,16.01,5.0,14.5,Toby Bell,888,15.0
"",B,8,3,29.8,400,2025-03-01,GRDN,M,24.42,23.18,22.75,11.91,17.75,Songar Oscar,3788,81.0
"",B,6,10,29.6,272,2025-02-10,GRDN,M,16.77,15.99,15.73,4.68,11.0,Android,446,41.0
4. Fab Prince,D,3,4,30.3,300,2025-07-26,TARE,M,18.05,17.48,17.47,6.64,8.25,Simplicity Magic,123,14.0
"",D,6,3,30.2,300,2025-07-05,TARE,M,18.39,17.87,17.52,6.88,7.5,Kicker Mini,876,4.8
"",D,6,6,32.2,300,2024-12-07,TARE,M,18.41,17.53,17.33,6.74,12.5,Ricardo Got Zip,546,34.0
"",D,8,2,31.2,300,2024-11-16,TARE,M,19.27,17.78,17.41,6.98,21.25,Stratavon Kiwi,678,16.0
"",D,6,8,31.0,300,2024-11-02,TARE,M,18.53,17.9,17.23,6.84,9.0,Petite Whacker,766,10.0
5. Tulloch Road,D,3,8,33.8,300,2025-07-30,TARE,M,17.92,17.49,17.28,6.53,6.0,Christie Road,133,8.0
"",D,2,6,34.1,300,2025-07-23,TARE,M,17.89,17.49,17.31,6.61,5.75,Malicious,122,12.0
"",D,5,3,34.1,300,2025-07-20,TARE,M,18.26,17.34,17.34,6.86,13.25,Very Savage,885,11.0
"",D,7,9,33.0,388,2025-06-03,GOSF,M,24.0,22.53,21.91,10.58,21.0,Iron Dome,57,7.5
"",D,5,5,33.3,300,2025-04-26,TARE,M,18.05,17.55,17.29,6.54,7.0,Pearl Shiraz,125,4.0
6. Harper's Delight,B,5,8,26.7,300,2025-07-20,TARE,M,18.19,17.98,17.34,6.63,3.0,She's Vicious,425,31.0
"",B,6,4,26.2,300,2025-06-21,TARE,M,18.51,17.78,17.37,6.84,10.25,Big Cool Kaos,456,17.0
7. Swooping Season,B,8,7,26.3,300,2025-07-05,TARE,M,18.83,18.02,17.52,6.81,11.5,Stratavon Bear,258,3.8
"",B,6,6,26.5,272,2025-06-07,GRDN,M,16.61,16.15,15.61,4.63,6.5,Sketchy Sister,466,5.5
8. Buffalina,B,6,8,25.0,300,2025-07-05,TARE,M,18.61,18.02,17.52,6.69,8.25,Stratavon Bear,536,14.0
"",B,5,2,25.7,300,2025-06-21,TARE,M,18.35,17.78,17.37,6.91,8.25,Big Cool Kaos,665,9.5
"",B,8,7,25.5,300,2025-05-27,CASO,M,18.11,17.05,16.75,2.53,15.0,Integrity Bet,3888,17.0
9. Impress Bev,B,4,1,31.2,300,2025-07-26,TARE,M,18.18,17.57,17.47,6.76,8.75,Witch Rolex,444,16.0
"",B,7,5,30.9,300,2025-07-23,TARE,M,18.86,17.49,17.31,6.95,19.5,Malicious,767,61.0
"",B,7,8,31.3,300,2025-06-21,TARE,M,19.15,17.76,17.37,6.83,19.75,Elle Nismo,347,8.0
10. Turbo Whacker,D,7,9,35.4,300,2025-08-02,TARE,M,18.87,18.26,17.77,6.85,8.75,Ella Black,787,71.0
"",D,7,5,35.6,300,2025-07-26,TARE,M,18.83,17.48,17.47,7.0,19.25,Simplicity Magic,667,81.0
"",D,8,6,36.3,300,2025-04-26,TARE,M,18.86,17.65,17.29,6.82,17.25,Fabio Zed,668,81.0
"",D,8,5,36.3,300,2025-04-19,TARE,M,19.08,17.67,17.38,6.82,20.25,Imagine The Fun,668,51.0
