Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Folding Stuff,B,3,1,27.4,401,2025-07-13,RICH,5,22.99,22.67,22.67,6.76,4.5,Zipping Ali,1113,4.8
"",B,5,6,27.4,401,2025-07-06,RICH,5,23.45,23.23,22.89,6.91,3.0,Sandi Kingdom,2555,2.5
"",B,4,6,27.0,401,2025-06-29,RICH,5,23.1,22.81,22.81,6.76,4.25,Premier Status,2244,6.0
"",B,5,7,26.3,401,2025-06-22,RICH,5,23.37,22.86,22.45,6.83,7.25,Too Busy,5335,9.0
"",B,2,6,25.6,401,2025-06-08,RICH,5,23.03,23.02,22.54,6.78,0.125,Nikita Banner,2222,4.8
2. Heavy Bound,D,5,7,32.1,401,2025-07-11,RICH,5,23.33,22.81,22.67,6.99,7.5,Unleash Shirley,6675,61.0
"",D,8,3,33.0,324,2025-07-03,RICS,5,18.32,17.74,17.62,7.38,8.25,Hear Me Roar,8888,101.0
"",D,3,4,32.5,388,2025-07-01,GOSF,5,22.82,22.46,22.24,10.63,5.25,Princess Mika,7843,23.0
"",D,2,7,32.4,320,2025-06-27,RICH,5,19.11,18.63,18.25,2.3,6.75,Cash Worth,6662,23.0
"",D,8,8,32.8,401,2025-06-20,RICH,5,24.19,23.62,22.6,7.28,8.25,Wicked Raven,8888,26.0
3. Knighted Marshal,D,8,3,30.3,401,2025-07-06,RICH,5,23.81,23.23,22.89,6.95,8.25,Sandi Kingdom,3688,61.0
"",D,1,8,30.3,320,2025-07-04,RICH,5,18.72,18.72,18.23,2.23,2.75,Miss Delgardo,3311,9.0
"",D,8,5,30.4,320,2025-06-27,RICH,5,19.47,18.63,18.25,2.28,12.0,Cash Worth,5588,71.0
"",D,8,8,30.1,340,2025-06-24,BUL,5,20.54,19.64,19.33,3.51,12.75,Rockstar Lylah,7788,26.0
"",D,8,6,29.5,401,2025-06-20,RICH,5,24.15,23.55,22.6,7.09,8.5,BABY TIME,6688,31.0
4. So Irrelevant,D,3,2,25.8,320,2025-07-13,RICH,5,18.6,18.45,18.01,2.17,2.0,She's Our Joy,3333,6.0
"",D,4,5,25.6,320,2025-07-09,RICH,5,18.74,18.38,17.98,2.21,5.25,Kid Power,3344,3.2
"",D,1,3,25.8,320,2025-07-02,RICH,5,18.46,18.46,18.27,2.16,2.0,Montana Banner,1111,3.2
"",D,4,2,25.8,320,2025-06-29,RICH,5,18.57,18.35,18.18,2.25,3.0,My Bread Roll,5544,11.0
"",D,2,1,25.8,320,2025-06-22,RICH,5,18.71,18.67,18.29,2.26,0.75,Belle's Charm,7762,8.0
5. Canya Flaming,B,3,4,28.7,324,2025-07-17,RICS,5,18.29,17.9,17.69,7.27,5.5,Mia Zipper,3333,101.0
"",B,6,4,28.2,320,2025-07-04,RICH,5,19.11,18.35,18.23,2.32,10.75,Red Rock Rattler,8866,23.0
"",B,8,2,28.1,320,2025-06-29,RICH,5,19.04,18.45,18.18,2.36,8.25,Dire,8888,19.0
"",B,3,5,27.8,340,2025-06-10,BUL,5,19.98,19.65,19.18,3.56,4.75,Jessie Jet Power,6633,31.0
"",B,5,3,28.0,324,2025-06-05,RICS,5,18.39,17.89,17.63,7.4,7.0,Cawbourne Leota,6755,81.0
6. Red Rock Razzle,D,4,2,29.8,520,2025-07-10,W/PK,5,30.35,29.83,29.54,5.54,7.5,GINNY'S RUN,3224,4.0
"",D,1,2,29.7,520,2025-07-03,W/PK,M,30.05,30.05,29.54,5.49,2.0,Elsa Above,2111,4.8
"",D,4,2,29.4,520,2025-06-26,W/PK,M,30.56,30.13,29.75,5.55,6.0,Vintage Flair,5334,4.2
"",D,3,7,30.1,350,2025-06-06,GOUL,M,20.11,20.0,19.62,,1.5,Ancestral Queen,3333,5.0
"",D,4,4,29.5,318,2025-05-12,DUBO,M,18.79,18.54,17.99,4.88,3.5,Motor City Hawk,3444,6.5
7. Hey Bubba Louie,D,1,6,29.4,320,2025-07-13,RICH,5,18.01,18.01,18.01,2.13,4.25,Say Your Prayers,1111,2.6
"",D,2,5,29.9,320,2025-07-02,RICH,M,18.61,18.27,18.27,2.14,4.75,Stephen Witherap,3332,2.3
