Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Miss Chirpy,B,8,6,28.8,278,2025-07-21,LCTN,5,16.77,16.33,16.19,5.2,6.25,Kisses For Ruby,8,16.77
"",B,3,9,28.8,278,2025-07-14,LCTN,5,16.39,16.16,16.07,5.15,3.25,Buckle Up Majel,3,4.6
"",B,2,7,28.5,340,2025-07-10,HOBT,4,19.54,19.47,19.3,,1.0,Pressing Matters,2,8.5
"",B,7,8,28.6,278,2025-07-07,LCTN,5,16.66,16.2,16.14,5.12,6.5,Aussie Pablo,7,6.0
"",B,3,5,28.4,340,2025-07-03,HOBT,4,19.68,19.66,19.52,5.12,0.25,Aston Donna,3,8.5
2. LITTLE ZOOM,D,5,2,29.3,515,2025-07-29,LCTN,4/5,30.33,29.68,29.5,,9.25,Sherwood Boys,5,4.0
"",D,2,4,28.8,340,2025-07-24,HOBT,4,19.85,19.47,19.47,5.34,5.25,APPENZELL,22,12.0
"",D,7,5,28.9,340,2025-07-22,HOBT,3/4,20.2,19.33,19.33,5.42,12.25,Buzzard Zorro,7,21.0
"",D,7,8,28.6,515,2025-07-14,LCTN,INV,30.45,29.76,29.38,5.11,9.75,Seattle,7,26.0
"",D,7,6,28.3,461,2025-07-08,HOBT,3/4,26.74,26.03,26.03,5.1,10.0,Wynburn Primus,7,11.0
3. Buzzard Zorro,D,7,7,33.9,461,2025-07-24,HOBT,3/4/5,26.96,26.14,25.93,5.29,11.75,Pollinator Ken,7,19.0
"",D,1,9,34.3,340,2025-07-22,HOBT,3/4,19.33,19.33,19.33,5.13,1.75,CHALUPA BATMAN,1,17.0
"",D,4,5,33.9,340,2025-07-10,HOBT,4,19.65,19.47,19.3,,2.5,Pressing Matters,4,11.0
"",D,5,3,34.6,515,2025-07-01,LCTN,5,30.57,30.22,30.22,5.25,5.0,WENDIGO,25,2.2
"",D,4,4,34.3,515,2025-06-10,LCTN,4/5,30.32,29.69,29.69,5.23,9.0,Two Girls,4,16.0
4. If I'M Lucky,D,5,3,32.1,515,2025-07-21,LCTN,BT8,30.64,29.73,29.73,,13.0,Ducati Roy,5,11.0
"",D,3,7,32.2,340,2025-07-17,HOBT,MI4/5MA,19.75,19.48,19.23,5.28,3.75,Mighty Quinn,3,3.9
"",D,7,6,31.5,340,2025-06-26,HOBT,4,19.77,19.34,19.25,5.21,6.0,My Girl Tenika,7,12.0
"",D,2,8,31.8,340,2025-06-19,HOBT,MI4/5MA,19.63,19.59,19.4,5.21,0.75,Get Noticed,2,3.8
"",D,8,6,31.9,461,2025-06-12,HOBT,INV,26.55,25.62,25.62,5.35,13.25,Dealer,28,61.0
5. CHALUPA BATMAN,D,5,5,31.4,278,2025-07-28,LCTN,4,16.66,16.0,16.0,5.34,9.25,Buckle Up Majel,25,2.9
"",D,2,3,31.4,340,2025-07-22,HOBT,3/4,19.46,19.33,19.33,5.2,1.75,Buzzard Zorro,2,5.0
"",D,5,1,31.4,461,2025-06-24,HOBT,5,26.36,26.05,25.86,5.2,4.25,Eton,25,3.2
"",D,5,3,31.0,461,2025-06-19,HOBT,4,26.22,25.87,25.76,5.12,5.0,APPENZELL,25,6.0
"",D,2,8,31.4,278,2025-06-10,LCTN,INV,16.12,16.01,15.91,5.12,1.5,Lady Juliette,2,2.1
6. Paco,D,6,5,33.0,278,2025-07-21,LCTN,INV,16.96,16.35,16.19,5.15,8.75,Darryl's Choice,46,19.0
"",D,5,2,33.0,278,2025-07-14,LCTN,FTAMA,16.56,16.07,16.07,5.1,7.0,April Cruiser,25,7.5
"",D,6,1,33.0,278,2025-07-07,LCTN,INV,16.78,16.14,16.14,5.22,9.25,Darryl's Choice,6,5.5
"",D,1,4,32.8,278,2025-07-01,LCTN,MI4/5MA,16.09,16.09,15.91,5.03,3.75,It's A Scotch,1,1.55
"",D,8,6,33.1,340,2025-06-24,HOBT,5,19.9,19.54,19.3,5.15,5.25,Simply Danger,8,16.0
7. Blackpool Betty,B,5,10,26.3,340,2025-07-22,HOBT,3/4,19.96,19.33,19.33,5.3,9.0,Buzzard Zorro,25,81.0
"",B,6,4,26.3,340,2025-06-03,HOBT,4,19.97,19.54,19.54,5.31,6.0,Surveillance,26,26.0
"",B,6,5,25.8,278,2025-05-20,LCTN,4,16.65,16.03,15.9,5.22,8.75,Fisherman's Wish,6,15.0
"",B,3,1,25.9,278,2025-05-13,LCTN,MI4/5MA,16.28,16.16,15.96,5.14,1.75,Blackpool Aries,3,2.7
"",B,3,1,26.0,340,2025-05-08,HOBT,MI4/5MA,19.9,19.53,19.16,5.26,5.25,Bowser Boy,3,2.45
8. Highgate Sniper,D,3,4,31.9,278,2025-03-11,LCTN,4,16.34,15.97,15.72,5.07,5.25,Chocolate's Can,363,4.6
"",D,5,2,31.8,278,2025-02-24,LCTN,4,16.4,16.24,16.07,5.26,2.25,BLACKPOOL TRIP,5,41.0
"",D,1,6,31.6,340,2025-02-20,HOBT,5,19.48,19.48,19.41,5.09,4.75,Cruiser Danger,1,15.0
"",D,3,4,31.6,278,2025-02-10,LCTN,4,16.34,15.86,15.86,5.22,6.75,Willow Can,3,31.0
"",D,5,4,31.4,340,2025-02-06,HOBT,5,19.97,19.57,19.28,5.28,5.75,BLACKPOOL TRIP,5,8.5
9. GINGER RUSH,B,8,6,28.4,278,2025-07-29,LCTN,INV,16.44,15.84,15.83,5.21,8.5,Willow Can,8,17.0
"",B,8,9,28.0,340,2025-07-17,HOBT,4,20.53,19.66,19.23,5.17,12.25,Willow Can,8,16.0
"",B,3,1,28.1,340,2025-07-10,HOBT,4,19.59,19.47,19.3,,1.75,Pressing Matters,3,2.8
"",B,1,6,28.1,278,2025-07-07,LCTN,4,16.22,16.22,16.14,5.01,1.5,Wynburn Sweetie,1,4.2
"",B,4,2,27.8,340,2025-06-26,HOBT,4,19.57,19.34,19.25,5.1,3.25,My Girl Tenika,4,6.0
10. Upwards Onwards,D,6,8,32.5,340,2025-07-22,HOBT,5,20.07,19.4,19.33,5.28,9.5,Rogue Danger,66,41.0
"",D,6,1,32.2,340,2025-07-17,HOBT,4,20.26,19.66,19.23,5.29,8.5,Willow Can,6,61.0
"",D,8,4,32.6,278,2025-06-10,LCTN,4,16.9,15.91,15.91,5.18,14.0,Tory's Day,8,71.0
"",D,7,6,33.1,461,2025-05-22,HOBT,5,26.96,25.93,25.93,5.23,14.5,Fuel On Four,7,51.0
"",D,8,3,33.2,515,2025-05-19,LCTN,4/5,31.38,30.17,29.86,5.35,17.25,If I'M Lucky,38,20.0
