Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP,day_of_week,month,track_code
1. Gattlin Glass,D,2,5,31.4,484,2025-07-22,CASO,5,28.39,27.8,27.8,3.0,8.25,Kooringa Millie,555422,14.0,Tuesday,July,CASO
1. Gattlin Glass,D,6,7,31.5,550,2025-07-03,QOT,5,31.4,30.94,30.65,9.62,6.5,Firebird,8886,101.0,Thursday,July,QOT
1. Gattlin Glass,D,4,2,30.9,600,2025-06-23,QTT,5,35.36,34.67,34.67,9.92,9.75,Villain Of Magic,7654,61.0,Monday,June,QTT
1. Gattlin Glass,D,5,1,31.1,600,2025-06-16,QTT,5/6,35.22,34.52,34.52,9.79,10.0,Whiskey Service,7655,15.0,Monday,June,QTT
1. Gattlin Glass,D,4,4,30.8,520,2025-06-09,QTT,M5,30.34,30.09,29.43,5.83,3.5,Nope Rope,7774,18.0,Monday,June,QTT
2. Burringbar Rebel,D,1,3,31.0,450,2025-07-27,GRAF,5,25.52,25.52,25.23,9.02,4.75,Blue Milk,3111,2.7,Sunday,July,GRAF
2. Burringbar Rebel,D,6,2,31.0,450,2025-07-08,GRAF,5,26.18,25.69,25.34,9.09,7.0,Striped Mac,2276,2.3,Tuesday,July,GRAF
2. Burringbar Rebel,D,8,2,30.9,484,2025-07-01,CASO,5,28.98,27.27,27.27,2.84,24.25,Apache Tiger,888888,7.5,Tuesday,July,CASO
2. Burringbar Rebel,D,2,5,31.3,484,2025-06-24,CASO,5,27.89,27.67,27.57,2.8,3.0,Western Lies,322222,4.0,Tuesday,June,CASO
2. Burringbar Rebel,D,3,3,30.6,457,2025-06-10,QOT,5,25.63,25.57,25.43,4.35,0.75,Breakout Lad,3213,10.0,Tuesday,June,QOT
3. Cookey Charisma,D,7,4,31.8,484,2025-07-15,CASO,5,28.82,27.8,27.8,2.86,14.5,Kilara Chloe,6777,2.9,Tuesday,July,CASO
3. Cookey Charisma,D,2,6,31.9,484,2025-07-01,CASO,4/5,28.14,27.78,27.27,2.82,5.25,Lady Rico,4422,2.9,Tuesday,July,CASO
3. Cookey Charisma,D,3,7,32.2,484,2025-06-24,CASO,5,28.25,27.57,27.57,2.82,9.75,Apache Tiger,43333,4.2,Tuesday,June,CASO
3. Cookey Charisma,D,1,7,32.0,484,2025-06-19,CASO,4/5,28.18,28.18,28.18,2.75,4.0,Glenreagh Burner,222111,2.1,Thursday,June,CASO
3. Cookey Charisma,D,3,4,31.9,484,2025-06-12,CASO,4/5,28.23,28.13,28.13,2.81,1.5,Lady Rico,553333,3.4,Thursday,June,CASO
4. Kingsbrae Julie,B,6,5,27.6,484,2025-07-24,CASO,4/5,28.34,27.64,27.64,2.83,10.0,Kooringa Rafael,3666,11.0,Thursday,July,CASO
