Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP,day_of_week,month,track_code
1. PAW REX,D,8,7,31.8,460,2025-07-04,GEE,Mixed 4/5,26.884,26.001,25.597,,13.25,GOLD CLASS COOL,8,3.6,Friday,July,GEE
1. PAW REX,D,8,4,31.5,435,2025-06-29,SAL,Grade 5,25.919,24.91,24.357,,15.25,PEGASUS BALE,8,1.9,Sunday,June,SAL
1. PAW REX,D,6,2,31.5,410,2025-06-03,HOR,Grade 4,24.313,23.446,23.326,,13.0,LADY JULIA,6,3.5,Tuesday,June,HOR
1. PAW REX,D,7,7,31.4,390,2025-05-28,WAR,Grade 5 Heat,22.563,21.954,21.884,,9.25,DESIRED,7,3.4,Wednesday,May,WAR
1. PAW REX,D,1,1,31.4,450,2025-05-22,WAR,Grade 5,25.374,25.374,25.303,,4.75,SANTORINI BALE,1,2.0,Thursday,May,WAR
2. PRISON BREAK,D,4,2,34.7,500,2025-07-04,BEN,Mixed 4/5,28.421,28.134,28.134,,4.5,DOONGALLA DON,4,4.6,Friday,July,BEN
2. PRISON BREAK,D,2,3,34.2,525,2025-06-28,MEA,Grade 5,30.534,30.39,29.843,5.228,2.25,MACKINAW PEACH,2,6.5,Saturday,June,MEA
2. PRISON BREAK,D,2,7,33.8,525,2025-06-21,MEA,Grade 5,30.25,30.158,30.014,5.1825,1.5,COME TO PARTY,2,3.6,Saturday,June,MEA
2. PRISON BREAK,D,2,8,33.1,525,2025-06-14,MEA,Grade 5,30.231,30.121,29.917,5.10675,1.75,Delicate,2,12.0,Saturday,June,MEA
2. PRISON BREAK,D,3,7,33.0,525,2025-06-07,MEA,Grade 5,30.312,29.925,29.914,5.10675,6.0,SHE'S WIRED,3,3.2,Saturday,June,MEA
3. Sweet Sundown,B,1,2,27.3,525,2025-06-18,MEA,Free For All,30.276,30.276,29.967,5.12,1.25,JETSTREAM ICON,1,4.8,Wednesday,June,MEA
3. Sweet Sundown,B,4,6,27.2,515,2025-06-05,SAN,Grade 5,29.956,29.586,29.344,5.12,5.75,Spritely Sian,4,4.0,Thursday,June,SAN
