Profile for _try_load_latest_model
Timestamp: 2025-08-03T23:00:08.974199
Total Time: 28.768s
CPU Time: 28.494s
I/O Time: 0.0ms
Memory Peak: 38.30MB
Function Calls: 7012220
Bottlenecks: <20>(1658.000s), /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/pandas/core/frame.py:1510(iterrows)(52.097s), /usr/local/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py:1509(info)(45.304s), /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/pandas/io/parsers/readers.py:868(read_csv)(42.057s), /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/pandas/io/parsers/readers.py:1907(read)(41.212s)

==================================================
Detailed cProfile Output:
         7012220 function calls (6860911 primitive calls) in 28.800 seconds

   Ordered by: cumulative time
   List reduced from 1658 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
6654/5104    0.375    0.000   52.097    0.010 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/pandas/core/frame.py:1510(iterrows)
  184/157    0.041    0.000   45.304    0.289 /usr/local/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py:1509(info)
  337/185    0.133    0.000   42.057    0.227 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/pandas/io/parsers/readers.py:868(read_csv)
  336/192    0.106    0.000   41.212    0.215 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/pandas/io/parsers/readers.py:1907(read)
  337/185    0.140    0.000   37.156    0.201 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/pandas/io/parsers/readers.py:583(_read)
  184/157    0.054    0.000   36.809    0.234 /usr/local/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py:1640(_log)
  178/173    0.025    0.000   29.185    0.169 /usr/local/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/pathlib/_abc.py:442(exists)
     6013    0.207    0.000   28.991    0.005 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/joblib/numpy_pickle_utils.py:234(_read_bytes)
  353/338    0.043    0.000   28.834    0.085 /usr/local/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/pathlib/_local.py:510(stat)
 9083/103    0.383    0.000   28.827    0.280 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/joblib/numpy_pickle.py:438(load_build)
    22605    0.054    0.000   27.877    0.001 /usr/local/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/pickle.py:1668(load_long_binget)
  336/188    0.094    0.000   27.089    0.144 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/pandas/io/parsers/readers.py:1575(__init__)
  336/188    0.079    0.000   25.628    0.136 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/pandas/io/parsers/readers.py:1848(_make_engine)
  337/303    0.069    0.000   25.284    0.083 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/pandas/io/parsers/readers.py:1990(__exit__)
36186/36095    0.434    0.000   25.283    0.001 {method 'read' of '_io.BufferedReader' objects}
112971/103016    1.146    0.000   20.764    0.000 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/pandas/core/series.py:1104(__getitem__)
     6039    0.026    0.000   18.160    0.003 /usr/local/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/pickle.py:1279(load_frame)
112987/110892    0.307    0.000   16.528    0.000 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/pandas/core/series.py:1229(_get_value)
  346/342    0.123    0.000   13.194    0.039 {method '__exit__' of '_io._IOBase' objects}
7511/5499    1.292    0.000   12.762    0.002 /Users/orlandolee/greyhound_racing_collector/venv/lib/python3.13/site-packages/pandas/core/series.py:389(__init__)


